date,spatial_unit,suburb,property_type,predicted_log_rent,predicted_rent
2025-07-01,albert park-middle park-west st kilda_1_bedroom_flat,albert park-middle park-west st kilda,1 bedroom flat,5.6841473304491394,294.16691091623346
2025-07-01,albert park-middle park-west st kilda_2_bedroom_flat,albert park-middle park-west st kilda,2 bedroom flat,6.425452087532026,617.3598551566673
2025-07-01,albert park-middle park-west st kilda_2_bedroom_house,albert park-middle park-west st kilda,2 bedroom house,6.606789381345942,740.1030115785076
2025-07-01,albert park-middle park-west st kilda_3_bedroom_flat,albert park-middle park-west st kilda,3 bedroom flat,6.883149748883062,975.6947183249623
2025-07-01,albert park-middle park-west st kilda_3_bedroom_house,albert park-middle park-west st kilda,3 bedroom house,7.061479262237734,1166.1689601921032
2025-07-01,albert park-middle park-west st kilda_4_bedroom_house,albert park-middle park-west st kilda,4 bedroom house,7.405202048475069,1644.5170746788192
2025-07-01,altona_1_bedroom_flat,altona,1 bedroom flat,5.522336937479839,250.21910085871164
2025-07-01,altona_2_bedroom_flat,altona,2 bedroom flat,6.211274329006313,498.3358907116307
2025-07-01,altona_2_bedroom_house,altona,2 bedroom house,6.256528995943689,521.4059932376958
2025-07-01,altona_3_bedroom_flat,altona,3 bedroom flat,6.5338268519682945,688.0261541531555
2025-07-01,altona_3_bedroom_house,altona,3 bedroom house,6.491585922558342,659.5685588527401
2025-07-01,altona_4_bedroom_house,altona,4 bedroom house,6.730884479721778,837.8880332835702
2025-07-01,armadale_1_bedroom_flat,armadale,1 bedroom flat,5.724066660767539,306.147392483665
2025-07-01,armadale_2_bedroom_flat,armadale,2 bedroom flat,6.440090133455524,626.4632625654727
2025-07-01,armadale_2_bedroom_house,armadale,2 bedroom house,6.622280911667784,751.6576079345875
2025-07-01,armadale_3_bedroom_flat,armadale,3 bedroom flat,6.917879883995082,1010.1760322398642
2025-07-01,armadale_3_bedroom_house,armadale,3 bedroom house,7.07967820954843,1187.5863030830062
2025-07-01,armadale_4_bedroom_house,armadale,4 bedroom house,7.400370464242073,1636.5906160060156
2025-07-01,aspendale-chelsea-carrum_1_bedroom_flat,aspendale-chelsea-carrum,1 bedroom flat,5.664138328316637,288.3394201294896
2025-07-01,aspendale-chelsea-carrum_2_bedroom_flat,aspendale-chelsea-carrum,2 bedroom flat,6.289035455041747,538.6335421785672
2025-07-01,aspendale-chelsea-carrum_2_bedroom_house,aspendale-chelsea-carrum,2 bedroom house,6.340378833556246,567.0110735208875
2025-07-01,aspendale-chelsea-carrum_3_bedroom_flat,aspendale-chelsea-carrum,3 bedroom flat,6.670217828044064,788.567357840773
2025-07-01,aspendale-chelsea-carrum_3_bedroom_house,aspendale-chelsea-carrum,3 bedroom house,6.6819330819004,797.8599508823304
2025-07-01,aspendale-chelsea-carrum_4_bedroom_house,aspendale-chelsea-carrum,4 bedroom house,7.003371424318072,1100.336613578221
2025-07-01,bairnsdale_1_bedroom_flat,bairnsdale,1 bedroom flat,5.34767478174008,210.11915650737865
2025-07-01,bairnsdale_2_bedroom_flat,bairnsdale,2 bedroom flat,5.986813088838344,398.1437372034633
2025-07-01,bairnsdale_2_bedroom_house,bairnsdale,2 bedroom house,6.03587522097586,418.1646359863087
2025-07-01,bairnsdale_3_bedroom_flat,bairnsdale,3 bedroom flat,6.319052299050135,555.0467248102973
2025-07-01,bairnsdale_3_bedroom_house,bairnsdale,3 bedroom house,6.351375186699743,573.2805349525254
2025-07-01,bairnsdale_4_bedroom_house,bairnsdale,4 bedroom house,6.652793734228919,774.9462981392287
2025-07-01,balwyn_1_bedroom_flat,balwyn,1 bedroom flat,5.7538299635313574,315.39630637299115
2025-07-01,balwyn_2_bedroom_flat,balwyn,2 bedroom flat,6.375397251522881,587.2186581199182
2025-07-01,balwyn_2_bedroom_house,balwyn,2 bedroom house,6.412721321597902,609.5502082142373
2025-07-01,balwyn_3_bedroom_flat,balwyn,3 bedroom flat,6.807137067313979,904.2782098586641
2025-07-01,balwyn_3_bedroom_house,balwyn,3 bedroom house,6.7268182055905665,834.4878685349817
2025-07-01,balwyn_4_bedroom_house,balwyn,4 bedroom house,7.134272477060385,1254.2241798940079
2025-07-01,bayswater_1_bedroom_flat,bayswater,1 bedroom flat,5.530707027665609,252.3222467810494
2025-07-01,bayswater_2_bedroom_flat,bayswater,2 bedroom flat,6.221221191189463,503.3175037733842
2025-07-01,bayswater_2_bedroom_house,bayswater,2 bedroom house,6.274799303764151,531.0197973883409
2025-07-01,bayswater_3_bedroom_flat,bayswater,3 bedroom flat,6.573387225549597,715.7902846683415
2025-07-01,bayswater_3_bedroom_house,bayswater,3 bedroom house,6.5577222561797806,704.6648193274325
2025-07-01,bayswater_4_bedroom_house,bayswater,4 bedroom house,6.81889019048202,914.9690050889225
2025-07-01,belmont-grovedale_1_bedroom_flat,belmont-grovedale,1 bedroom flat,5.450076619920472,232.77600050305713
2025-07-01,belmont-grovedale_2_bedroom_flat,belmont-grovedale,2 bedroom flat,6.142550558901776,465.23867752504935
2025-07-01,belmont-grovedale_2_bedroom_house,belmont-grovedale,2 bedroom house,6.199205232332457,492.35757566981937
2025-07-01,belmont-grovedale_3_bedroom_flat,belmont-grovedale,3 bedroom flat,6.44054108896022,626.7458333308492
2025-07-01,belmont-grovedale_3_bedroom_house,belmont-grovedale,3 bedroom house,6.443873549749709,628.8379232130441
2025-07-01,belmont-grovedale_4_bedroom_house,belmont-grovedale,4 bedroom house,6.681104451802886,797.1990939542122
2025-07-01,benalla_1_bedroom_flat,benalla,1 bedroom flat,5.245813993388188,189.77022408478024
2025-07-01,benalla_2_bedroom_flat,benalla,2 bedroom flat,5.982106672351555,396.2743095578291
2025-07-01,benalla_2_bedroom_house,benalla,2 bedroom house,6.033999681293025,417.3810866361958
2025-07-01,benalla_3_bedroom_house,benalla,3 bedroom house,6.339640004365631,566.5923039070252
2025-07-01,benalla_4_bedroom_house,benalla,4 bedroom house,6.624338614464465,753.2058883006978
2025-07-01,bendigo_1_bedroom_flat,bendigo,1 bedroom flat,5.405180914410353,222.5564805163389
2025-07-01,bendigo_2_bedroom_flat,bendigo,2 bedroom flat,6.099595959116764,445.67766170331953
2025-07-01,bendigo_2_bedroom_house,bendigo,2 bedroom house,6.18334852314277,484.6119769208656
2025-07-01,bendigo_3_bedroom_flat,bendigo,3 bedroom flat,6.43300527937155,622.0405474068948
2025-07-01,bendigo_3_bedroom_house,bendigo,3 bedroom house,6.40609629380311,605.5252685326669
2025-07-01,bendigo_4_bedroom_house,bendigo,4 bedroom house,6.659368964964314,780.0585375153827
2025-07-01,bentleigh_1_bedroom_flat,bentleigh,1 bedroom flat,5.649183794707194,284.05952029527657
2025-07-01,bentleigh_2_bedroom_flat,bentleigh,2 bedroom flat,6.370426758396146,584.3071336662782
2025-07-01,bentleigh_2_bedroom_house,bentleigh,2 bedroom house,6.44237879680646,627.8986680286007
2025-07-01,bentleigh_3_bedroom_flat,bentleigh,3 bedroom flat,6.776760644942668,877.2224815196267
2025-07-01,bentleigh_3_bedroom_house,bentleigh,3 bedroom house,6.745207543724613,849.9755154568626
2025-07-01,bentleigh_4_bedroom_house,bentleigh,4 bedroom house,7.152726770325714,1277.5848904570137
2025-07-01,berwick_1_bedroom_flat,berwick,1 bedroom flat,5.5469836064702065,256.46279528542016
2025-07-01,berwick_2_bedroom_flat,berwick,2 bedroom flat,6.241132287466239,513.4395430923563
2025-07-01,berwick_2_bedroom_house,berwick,2 bedroom house,6.269860861408667,528.4038513950823
2025-07-01,berwick_3_bedroom_flat,berwick,3 bedroom flat,6.505139403350875,668.5688635983834
2025-07-01,berwick_3_bedroom_house,berwick,3 bedroom house,6.531329675472858,686.3101748560636
2025-07-01,berwick_4_bedroom_house,berwick,4 bedroom house,6.7697160655538005,871.0645336494078
2025-07-01,blackburn_1_bedroom_flat,blackburn,1 bedroom flat,5.707583883283843,301.1425929436902
2025-07-01,blackburn_2_bedroom_flat,blackburn,2 bedroom flat,6.337430502061281,565.3417989114871
2025-07-01,blackburn_2_bedroom_house,blackburn,2 bedroom house,6.371539704273549,584.9577978917009
2025-07-01,blackburn_3_bedroom_flat,blackburn,3 bedroom flat,6.665362020749596,784.7475084443117
2025-07-01,blackburn_3_bedroom_house,blackburn,3 bedroom house,6.600583352425762,735.5241339045735
2025-07-01,blackburn_4_bedroom_house,blackburn,4 bedroom house,6.918258452693307,1010.5585256608174
2025-07-01,boronia_1_bedroom_flat,boronia,1 bedroom flat,5.643420714861927,282.4271707971979
2025-07-01,boronia_2_bedroom_flat,boronia,2 bedroom flat,6.2509748511222565,518.5180562746008
2025-07-01,boronia_2_bedroom_house,boronia,2 bedroom house,6.261820623857563,524.1723926689649
2025-07-01,boronia_3_bedroom_flat,boronia,3 bedroom flat,6.565915348613216,710.461918985101
2025-07-01,boronia_3_bedroom_house,boronia,3 bedroom house,6.554605413710796,702.4719093449249
2025-07-01,boronia_4_bedroom_house,boronia,4 bedroom house,6.812552834562493,909.188855625769
2025-07-01,box hill_1_bedroom_flat,box hill,1 bedroom flat,5.779343221157004,323.54662204359744
2025-07-01,box hill_2_bedroom_flat,box hill,2 bedroom flat,6.417048170192172,612.193353797499
2025-07-01,box hill_2_bedroom_house,box hill,2 bedroom house,6.31338776667376,551.9115327488961
2025-07-01,box hill_3_bedroom_flat,box hill,3 bedroom flat,6.740186444345664,845.718400566542
2025-07-01,box hill_3_bedroom_house,box hill,3 bedroom house,6.645740416329878,769.4995868178124
2025-07-01,box hill_4_bedroom_house,box hill,4 bedroom house,6.969116574856556,1063.283004560771
2025-07-01,brighton_1_bedroom_flat,brighton,1 bedroom flat,5.691761970810804,296.4154361399951
2025-07-01,brighton_2_bedroom_flat,brighton,2 bedroom flat,6.452301704305536,634.160263668966
2025-07-01,brighton_2_bedroom_house,brighton,2 bedroom house,6.616735433762078,747.5008435521603
2025-07-01,brighton_3_bedroom_flat,brighton,3 bedroom flat,6.963689777478592,1057.5284117669148
2025-07-01,brighton_3_bedroom_house,brighton,3 bedroom house,7.077592428214013,1185.1118392313767
2025-07-01,brighton_4_bedroom_house,brighton,4 bedroom house,7.515069761006854,1835.495517842894
2025-07-01,brighton east_1_bedroom_flat,brighton east,1 bedroom flat,5.348862606254414,210.36888948252133
2025-07-01,brighton east_2_bedroom_flat,brighton east,2 bedroom flat,6.431674381670409,621.213225734709
2025-07-01,brighton east_2_bedroom_house,brighton east,2 bedroom house,6.500070830089762,665.1887467544494
2025-07-01,brighton east_3_bedroom_flat,brighton east,3 bedroom flat,6.770384487845099,871.6469672349696
2025-07-01,brighton east_3_bedroom_house,brighton east,3 bedroom house,6.90146807530912,993.7325194359477
2025-07-01,brighton east_4_bedroom_house,brighton east,4 bedroom house,7.37477187160535,1595.2278722124283
2025-07-01,broadmeadows-roxburgh park_1_bedroom_flat,broadmeadows-roxburgh park,1 bedroom flat,5.48731731953283,241.6081791373217
2025-07-01,broadmeadows-roxburgh park_2_bedroom_flat,broadmeadows-roxburgh park,2 bedroom flat,6.200068540769743,492.7828156492766
2025-07-01,broadmeadows-roxburgh park_2_bedroom_house,broadmeadows-roxburgh park,2 bedroom house,6.218754642782988,502.0775765853446
2025-07-01,broadmeadows-roxburgh park_3_bedroom_flat,broadmeadows-roxburgh park,3 bedroom flat,6.470740402893615,645.9618219539036
2025-07-01,broadmeadows-roxburgh park_3_bedroom_house,broadmeadows-roxburgh park,3 bedroom house,6.45006118356973,632.7410049813662
2025-07-01,broadmeadows-roxburgh park_4_bedroom_house,broadmeadows-roxburgh park,4 bedroom house,6.766854644841024,868.5756141717472
2025-07-01,brunswick_1_bedroom_flat,brunswick,1 bedroom flat,5.731620462147832,308.4687254858879
2025-07-01,brunswick_2_bedroom_flat,brunswick,2 bedroom flat,6.392695834857148,597.4650777738541
2025-07-01,brunswick_2_bedroom_house,brunswick,2 bedroom house,6.505641090576144,668.9043602066074
2025-07-01,brunswick_3_bedroom_flat,brunswick,3 bedroom flat,6.823837479265405,919.5068367111528
2025-07-01,brunswick_3_bedroom_house,brunswick,3 bedroom house,6.852869695868852,946.5934480329959
2025-07-01,brunswick_4_bedroom_house,brunswick,4 bedroom house,7.182251386842523,1315.8674525192926
2025-07-01,bulleen-templestowe-doncaster_1_bedroom_flat,bulleen-templestowe-doncaster,1 bedroom flat,5.758526058567599,316.880920618205
2025-07-01,bulleen-templestowe-doncaster_2_bedroom_flat,bulleen-templestowe-doncaster,2 bedroom flat,6.383078913033603,591.7468428088521
2025-07-01,bulleen-templestowe-doncaster_2_bedroom_house,bulleen-templestowe-doncaster,2 bedroom house,6.357001435511943,576.5150444266286
2025-07-01,bulleen-templestowe-doncaster_3_bedroom_flat,bulleen-templestowe-doncaster,3 bedroom flat,6.718630030776384,827.6828344125429
2025-07-01,bulleen-templestowe-doncaster_3_bedroom_house,bulleen-templestowe-doncaster,3 bedroom house,6.656693822275946,777.9745583358948
2025-07-01,bulleen-templestowe-doncaster_4_bedroom_house,bulleen-templestowe-doncaster,4 bedroom house,6.9770861265442905,1071.7907498523757
2025-07-01,bundoora-greensborough-hurstbridge_1_bedroom_flat,bundoora-greensborough-hurstbridge,1 bedroom flat,5.6219381466700415,276.4246158362946
2025-07-01,bundoora-greensborough-hurstbridge_2_bedroom_flat,bundoora-greensborough-hurstbridge,2 bedroom flat,6.2296739038855575,507.58993339962745
2025-07-01,bundoora-greensborough-hurstbridge_2_bedroom_house,bundoora-greensborough-hurstbridge,2 bedroom house,6.289791707190753,539.0410390181258
2025-07-01,bundoora-greensborough-hurstbridge_3_bedroom_flat,bundoora-greensborough-hurstbridge,3 bedroom flat,6.567953022675898,711.9110847722832
2025-07-01,bundoora-greensborough-hurstbridge_3_bedroom_house,bundoora-greensborough-hurstbridge,3 bedroom house,6.54408940038277,695.1234115543285
2025-07-01,bundoora-greensborough-hurstbridge_4_bedroom_house,bundoora-greensborough-hurstbridge,4 bedroom house,6.762074182006867,864.4333296367504
2025-07-01,burwood-ashburton_1_bedroom_flat,burwood-ashburton,1 bedroom flat,5.620089377153321,275.9140425444604
2025-07-01,burwood-ashburton_2_bedroom_flat,burwood-ashburton,2 bedroom flat,6.362056189137604,579.4365634967197
2025-07-01,burwood-ashburton_2_bedroom_house,burwood-ashburton,2 bedroom house,6.36161468999617,579.18079921543
2025-07-01,burwood-ashburton_3_bedroom_flat,burwood-ashburton,3 bedroom flat,6.713603313143338,823.5327459144091
2025-07-01,burwood-ashburton_3_bedroom_house,burwood-ashburton,3 bedroom house,6.6636604590749995,783.413347560123
2025-07-01,burwood-ashburton_4_bedroom_house,burwood-ashburton,4 bedroom house,7.008043732987326,1105.489755036073
2025-07-01,camberwell-glen iris_1_bedroom_flat,camberwell-glen iris,1 bedroom flat,5.703568345503843,299.9357681314958
2025-07-01,camberwell-glen iris_2_bedroom_flat,camberwell-glen iris,2 bedroom flat,6.386036394226064,593.499513434858
2025-07-01,camberwell-glen iris_2_bedroom_house,camberwell-glen iris,2 bedroom house,6.483277076721459,654.1110097431385
2025-07-01,camberwell-glen iris_3_bedroom_flat,camberwell-glen iris,3 bedroom flat,6.82333743634049,919.0471587619759
2025-07-01,camberwell-glen iris_3_bedroom_house,camberwell-glen iris,3 bedroom house,6.861756513740487,955.0431414374802
2025-07-01,camberwell-glen iris_4_bedroom_house,camberwell-glen iris,4 bedroom house,7.26632349107353,1431.2786593091485
2025-07-01,canterbury-surrey hills-mont albert_1_bedroom_flat,canterbury-surrey hills-mont albert,1 bedroom flat,5.700114404374975,298.9015946611852
2025-07-01,canterbury-surrey hills-mont albert_2_bedroom_flat,canterbury-surrey hills-mont albert,2 bedroom flat,6.350804822609017,572.953649552185
2025-07-01,canterbury-surrey hills-mont albert_2_bedroom_house,canterbury-surrey hills-mont albert,2 bedroom house,6.435823953159435,623.7963501479774
2025-07-01,canterbury-surrey hills-mont albert_3_bedroom_flat,canterbury-surrey hills-mont albert,3 bedroom flat,6.746697337985274,851.2427478248632
2025-07-01,canterbury-surrey hills-mont albert_3_bedroom_house,canterbury-surrey hills-mont albert,3 bedroom house,6.806402126374513,903.6138629393495
2025-07-01,canterbury-surrey hills-mont albert_4_bedroom_house,canterbury-surrey hills-mont albert,4 bedroom house,7.205548652035663,1346.8834567092683
2025-07-01,carlton north_1_bedroom_flat,carlton north,1 bedroom flat,5.656978951248034,286.28246155413257
2025-07-01,carlton north_2_bedroom_flat,carlton north,2 bedroom flat,6.384624336798371,592.6620494513513
2025-07-01,carlton north_2_bedroom_house,carlton north,2 bedroom house,6.58142207943441,721.5647223333723
2025-07-01,carlton north_3_bedroom_flat,carlton north,3 bedroom flat,6.7590151441085,861.7930357592231
2025-07-01,carlton north_3_bedroom_house,carlton north,3 bedroom house,6.921926002149199,1014.2716038186156
2025-07-01,carlton-parkville_1_bedroom_flat,carlton-parkville,1 bedroom flat,5.788573496989667,326.54687187530146
2025-07-01,carlton-parkville_2_bedroom_flat,carlton-parkville,2 bedroom flat,6.489747230266966,658.356929476096
2025-07-01,carlton-parkville_2_bedroom_house,carlton-parkville,2 bedroom house,6.505715768205834,668.9543142639195
2025-07-01,carlton-parkville_3_bedroom_flat,carlton-parkville,3 bedroom flat,6.874423422027182,967.2175284599981
2025-07-01,carlton-parkville_3_bedroom_house,carlton-parkville,3 bedroom house,6.917072738042988,1009.3610017130829
2025-07-01,carlton-parkville_4_bedroom_house,carlton-parkville,4 bedroom house,7.292524807777513,1469.2756566858845
2025-07-01,carnegie_1_bedroom_flat,carnegie,1 bedroom flat,5.625744359829277,277.4787517069105
2025-07-01,carnegie_2_bedroom_flat,carnegie,2 bedroom flat,6.393134353632833,597.7271348825561
2025-07-01,carnegie_2_bedroom_house,carnegie,2 bedroom house,6.4290018123817365,619.555206917862
2025-07-01,carnegie_3_bedroom_flat,carnegie,3 bedroom flat,6.75698334521825,860.043823251318
2025-07-01,carnegie_3_bedroom_house,carnegie,3 bedroom house,6.772322304256118,873.3376966652344
2025-07-01,carnegie_4_bedroom_house,carnegie,4 bedroom house,7.136540693331305,1257.072260396425
2025-07-01,castlemaine_2_bedroom_flat,castlemaine,2 bedroom flat,6.042792746184677,421.0673285466612
2025-07-01,castlemaine_2_bedroom_house,castlemaine,2 bedroom house,6.141575657120017,464.785336526766
2025-07-01,castlemaine_3_bedroom_house,castlemaine,3 bedroom house,6.4016506600953385,602.8392998281889
2025-07-01,castlemaine_4_bedroom_house,castlemaine,4 bedroom house,6.657273193556408,778.4254250489256
2025-07-01,caulfield_1_bedroom_flat,caulfield,1 bedroom flat,5.790618246294123,327.2152614761486
2025-07-01,caulfield_2_bedroom_flat,caulfield,2 bedroom flat,6.416045811860178,611.5800241279331
2025-07-01,caulfield_2_bedroom_house,caulfield,2 bedroom house,6.464346220261702,641.8446012495477
2025-07-01,caulfield_3_bedroom_flat,caulfield,3 bedroom flat,6.813000590585808,909.5960415653822
2025-07-01,caulfield_3_bedroom_house,caulfield,3 bedroom house,6.861934630285782,955.2132655729529
2025-07-01,caulfield_4_bedroom_house,caulfield,4 bedroom house,7.264857412891182,1429.1818303270602
2025-07-01,chadstone-oakleigh_1_bedroom_flat,chadstone-oakleigh,1 bedroom flat,5.77093544448834,320.8377181907026
2025-07-01,chadstone-oakleigh_2_bedroom_flat,chadstone-oakleigh,2 bedroom flat,6.365168147957501,581.2425548489446
2025-07-01,chadstone-oakleigh_2_bedroom_house,chadstone-oakleigh,2 bedroom house,6.3746110760765395,586.7571826533799
2025-07-01,chadstone-oakleigh_3_bedroom_flat,chadstone-oakleigh,3 bedroom flat,6.691245865304987,805.3249538178726
2025-07-01,chadstone-oakleigh_3_bedroom_house,chadstone-oakleigh,3 bedroom house,6.636646937685562,762.5338780206275
2025-07-01,chadstone-oakleigh_4_bedroom_house,chadstone-oakleigh,4 bedroom house,6.996647064853116,1092.9623759550752
2025-07-01,cheltenham_1_bedroom_flat,cheltenham,1 bedroom flat,5.692185000769339,296.54085527581003
2025-07-01,cheltenham_2_bedroom_flat,cheltenham,2 bedroom flat,6.332974151467161,562.8280428991445
2025-07-01,cheltenham_2_bedroom_house,cheltenham,2 bedroom house,6.412045152685187,609.1381886258204
2025-07-01,cheltenham_3_bedroom_flat,cheltenham,3 bedroom flat,6.700978790587433,813.2013896243792
2025-07-01,cheltenham_3_bedroom_house,cheltenham,3 bedroom house,6.721648956633095,830.1853230356897
2025-07-01,cheltenham_4_bedroom_house,cheltenham,4 bedroom house,7.080251479109853,1188.2673053424098
2025-07-01,clayton_1_bedroom_flat,clayton,1 bedroom flat,5.731675601115516,308.48573460190204
2025-07-01,clayton_2_bedroom_flat,clayton,2 bedroom flat,6.369224183487476,583.6048829075773
2025-07-01,clayton_2_bedroom_house,clayton,2 bedroom house,6.36987930611096,583.9873409343198
2025-07-01,clayton_3_bedroom_flat,clayton,3 bedroom flat,6.652887966608419,775.0193266136561
2025-07-01,clayton_3_bedroom_house,clayton,3 bedroom house,6.601721711126155,736.3619009509869
