spatial_unit,suburb,property_type,current_rent_2025,forecast_rent_2030,absolute_growth,percentage_growth,annual_growth_rate
albert park-middle park-west st kilda_1_bedroom_flat,albert park-middle park-west st kilda,1 bedroom flat,450.0,87.4150073210821,-362.5849926789179,-80.5744428175373,-16.11488856350746
albert park-middle park-west st kilda_2_bedroom_flat,albert park-middle park-west st kilda,2 bedroom flat,640.0,627.5418894152418,-12.458110584758174,-1.9465797788684644,-0.3893159557736929
albert park-middle park-west st kilda_2_bedroom_house,albert park-middle park-west st kilda,2 bedroom house,768.0,707.0340168003645,-60.9659831996355,-7.93827906245254,-1.587655812490508
albert park-middle park-west st kilda_3_bedroom_flat,albert park-middle park-west st kilda,3 bedroom flat,825.0,1382.594428653368,557.5944286533679,67.5872034731355,13.517440694627101
albert park-middle park-west st kilda_3_bedroom_house,albert park-middle park-west st kilda,3 bedroom house,1095.0,1424.3209538593826,329.3209538593826,30.074972955194756,6.014994591038951
albert park-middle park-west st kilda_4_bedroom_house,albert park-middle park-west st kilda,4 bedroom house,1413.0,2677.4694356376713,1264.4694356376713,89.48828277690527,17.897656555381054
altona_1_bedroom_flat,altona,1 bedroom flat,360.0,96.61147699478906,-263.3885230052109,-73.16347861255859,-14.632695722511718
altona_2_bedroom_flat,altona,2 bedroom flat,470.0,689.3447952384175,219.34479523841753,46.66910536987607,9.333821073975214
altona_2_bedroom_house,altona,2 bedroom house,480.0,766.017460713746,286.017460713746,59.586970982030415,11.917394196406082
altona_3_bedroom_flat,altona,3 bedroom flat,550.0,1496.2939284274248,946.2939284274248,172.05344153225906,34.41068830645181
altona_3_bedroom_house,altona,3 bedroom house,525.0,1508.6752036479977,983.6752036479977,187.36670545676145,37.47334109135229
altona_4_bedroom_house,altona,4 bedroom house,585.0,2804.4748601040214,2219.4748601040214,379.39741198359343,75.87948239671869
armadale_1_bedroom_flat,armadale,1 bedroom flat,450.0,98.75321472471214,-351.24678527528783,-78.05484117228619,-15.610968234457237
armadale_2_bedroom_flat,armadale,2 bedroom flat,630.0,707.1913447883258,77.19134478832575,12.252594410845358,2.4505188821690718
armadale_2_bedroom_house,armadale,2 bedroom house,778.0,796.5022080119327,18.50220801193268,2.378175837009342,0.4756351674018684
armadale_3_bedroom_flat,armadale,3 bedroom flat,893.0,1559.6168467722687,666.6168467722687,74.64914297561799,14.929828595123599
armadale_3_bedroom_house,armadale,3 bedroom house,1100.0,1607.1925179324421,507.1925179324421,46.1084107211311,9.22168214422622
armadale_4_bedroom_house,armadale,4 bedroom house,1400.0,3013.201827246498,1613.201827246498,115.22870194617842,23.045740389235682
aspendale-chelsea-carrum_1_bedroom_flat,aspendale-chelsea-carrum,1 bedroom flat,433.0,98.12008896315133,-334.8799110368487,-77.33947137109669,-15.467894274219338
aspendale-chelsea-carrum_2_bedroom_flat,aspendale-chelsea-carrum,2 bedroom flat,520.0,695.030487637734,175.03048763773404,33.659709161102704,6.73194183222054
aspendale-chelsea-carrum_2_bedroom_house,aspendale-chelsea-carrum,2 bedroom house,530.0,772.8467713805068,242.84677138050677,45.82014554349184,9.164029108698369
aspendale-chelsea-carrum_3_bedroom_flat,aspendale-chelsea-carrum,3 bedroom flat,655.0,1517.5897056527388,862.5897056527388,131.6930848324792,26.33861696649584
aspendale-chelsea-carrum_3_bedroom_house,aspendale-chelsea-carrum,3 bedroom house,675.0,1539.347215804285,864.347215804285,128.0514393784126,25.61028787568252
aspendale-chelsea-carrum_4_bedroom_house,aspendale-chelsea-carrum,4 bedroom house,850.0,2888.8422797696144,2038.8422797696144,239.86379761995465,47.97275952399093
bairnsdale_1_bedroom_flat,bairnsdale,1 bedroom flat,285.0,84.3741559725609,-200.6258440274391,-70.3950329920839,-14.079006598416779
bairnsdale_2_bedroom_flat,bairnsdale,2 bedroom flat,368.0,598.7837043171036,230.78370431710357,62.71296312964771,12.542592625929542
bairnsdale_2_bedroom_house,bairnsdale,2 bedroom house,380.0,665.8653024475144,285.8653024475144,75.22771117039852,15.045542234079704
bairnsdale_3_bedroom_flat,bairnsdale,3 bedroom flat,448.0,1301.8441421475447,853.8441421475447,190.59021030079123,38.118042060158245
bairnsdale_3_bedroom_house,bairnsdale,3 bedroom house,450.0,1322.2518936639674,872.2518936639674,193.83375414754832,38.76675082950966
bairnsdale_4_bedroom_house,bairnsdale,4 bedroom house,550.0,2474.9337303508905,1924.9337303508905,349.98795097288917,69.99759019457784
balwyn_1_bedroom_flat,balwyn,1 bedroom flat,479.0,99.03302455517925,-379.9669754448207,-79.32504706572458,-15.865009413144914
balwyn_2_bedroom_flat,balwyn,2 bedroom flat,580.0,701.6693397080943,121.6693397080943,20.977472363464532,4.195494472692906
balwyn_2_bedroom_house,balwyn,2 bedroom house,600.0,778.7132100414726,178.71321004147262,29.785535006912106,5.957107001382421
balwyn_3_bedroom_flat,balwyn,3 bedroom flat,790.0,1541.0519218449924,751.0519218449924,95.06986352468259,19.013972704936517
balwyn_3_bedroom_house,balwyn,3 bedroom house,700.0,1546.799690944778,846.7996909447779,120.97138442068255,24.19427688413651
balwyn_4_bedroom_house,balwyn,4 bedroom house,980.0,2928.8713956619185,1948.8713956619185,198.8644281287672,39.77288562575344
bayswater_1_bedroom_flat,bayswater,1 bedroom flat,350.0,96.59507843512243,-253.40492156487755,-72.4014061613936,-14.480281232278719
bayswater_2_bedroom_flat,bayswater,2 bedroom flat,478.0,689.6364593590037,211.63645935900365,44.27540990774135,8.85508198154827
bayswater_2_bedroom_house,bayswater,2 bedroom house,500.0,767.460968008548,267.460968008548,53.492193601709594,10.698438720341919
bayswater_3_bedroom_flat,bayswater,3 bedroom flat,583.0,1502.1534112905185,919.1534112905185,157.65924721964296,31.531849443928593
bayswater_3_bedroom_house,bayswater,3 bedroom house,575.0,1518.4327317194932,943.4327317194932,164.07525769034663,32.815051538069326
bayswater_4_bedroom_house,bayswater,4 bedroom house,650.0,2829.3494079513607,2179.3494079513607,335.28452430020934,67.05690486004187
belmont-grovedale_1_bedroom_flat,belmont-grovedale,1 bedroom flat,320.0,95.70778153629219,-224.2922184637078,-70.09131826990868,-14.018263653981737
belmont-grovedale_2_bedroom_flat,belmont-grovedale,2 bedroom flat,425.0,683.5487475570942,258.5487475570942,60.83499942519863,12.166999885039726
belmont-grovedale_2_bedroom_house,belmont-grovedale,2 bedroom house,440.0,760.3389968099168,320.3389968099168,72.80431745679927,14.560863491359854
belmont-grovedale_3_bedroom_flat,belmont-grovedale,3 bedroom flat,480.0,1479.9223728861891,999.9223728861891,208.31716101795607,41.66343220359121
belmont-grovedale_3_bedroom_house,belmont-grovedale,3 bedroom house,490.0,1499.3633498888935,1009.3633498888935,205.9925203854885,41.198504077097695
belmont-grovedale_4_bedroom_house,belmont-grovedale,4 bedroom house,550.0,2786.5948851519756,2236.5948851519756,406.65361548217743,81.33072309643549
benalla_1_bedroom_flat,benalla,1 bedroom flat,275.0,83.43316977474095,-191.56683022525905,-69.66066553645783,-13.932133107291566
benalla_2_bedroom_flat,benalla,2 bedroom flat,360.0,598.3568749666937,238.35687496669368,66.2102430463038,13.24204860926076
benalla_2_bedroom_house,benalla,2 bedroom house,380.0,665.5813840313034,285.5813840313034,75.15299579771141,15.030599159542282
benalla_3_bedroom_house,benalla,3 bedroom house,450.0,1320.7491392087882,870.7491392087882,193.49980871306406,38.699961742612814
benalla_4_bedroom_house,benalla,4 bedroom house,530.0,2467.23804391797,1937.2380439179701,365.5166120599944,73.10332241199887
bendigo_1_bedroom_flat,bendigo,1 bedroom flat,310.0,95.2487853776179,-214.7512146223821,-69.27458536205874,-13.854917072411748
bendigo_2_bedroom_flat,bendigo,2 bedroom flat,400.0,680.0757916305499,280.07579163054993,70.01894790763748,14.003789581527496
bendigo_2_bedroom_house,bendigo,2 bedroom house,450.0,759.0298898421815,309.02988984218155,68.67330885381813,13.734661770763626
bendigo_3_bedroom_flat,bendigo,3 bedroom flat,475.0,1477.5306758489446,1002.5306758489446,211.05908965240937,42.21181793048187
bendigo_3_bedroom_house,bendigo,3 bedroom house,470.0,1492.4701310359112,1022.4701310359112,217.5468363906194,43.50936727812388
bendigo_4_bedroom_house,bendigo,4 bedroom house,550.0,2777.9814672813504,2227.9814672813504,405.0875395057001,81.01750790114002
bentleigh_1_bedroom_flat,bentleigh,1 bedroom flat,420.0,97.92178078182003,-322.07821921818,-76.68529029004286,-15.337058058008571
bentleigh_2_bedroom_flat,bentleigh,2 bedroom flat,575.0,701.3961356386715,126.39613563867147,21.98193663281243,4.396387326562486
bentleigh_2_bedroom_house,bentleigh,2 bedroom house,600.0,781.4017298217973,181.4017298217973,30.233621636966213,6.0467243273932425
bentleigh_3_bedroom_flat,bentleigh,3 bedroom flat,760.0,1536.6142200721513,776.6142200721513,102.18608158844096,20.43721631768819
bentleigh_3_bedroom_house,bentleigh,3 bedroom house,728.0,1550.673069375852,822.673069375852,113.00454249668297,22.600908499336594
bentleigh_4_bedroom_house,bentleigh,4 bedroom house,1000.0,2934.095064349256,1934.095064349256,193.40950643492562,38.68190128698512
berwick_1_bedroom_flat,berwick,1 bedroom flat,368.0,96.73222416791398,-271.26777583208604,-73.7140695195886,-14.742813903917721
berwick_2_bedroom_flat,berwick,2 bedroom flat,495.0,690.9967927349865,195.99679273498646,39.59531166363362,7.919062332726725
berwick_2_bedroom_house,berwick,2 bedroom house,490.0,766.3455442032702,276.34554420327015,56.39704983740207,11.279409967480415
berwick_3_bedroom_flat,berwick,3 bedroom flat,550.0,1490.6278879723154,940.6278879723154,171.0232523586028,34.20465047172056
berwick_3_bedroom_house,berwick,3 bedroom house,550.0,1513.9925135628384,963.9925135628384,175.27136610233427,35.054273220466854
berwick_4_bedroom_house,berwick,4 bedroom house,620.0,2814.56350320461,2194.56350320461,353.96185535558226,70.79237107111645
blackburn_1_bedroom_flat,blackburn,1 bedroom flat,450.0,98.51841593187844,-351.48158406812155,-78.10701868180479,-15.621403736360957
blackburn_2_bedroom_flat,blackburn,2 bedroom flat,550.0,698.6810824956074,148.68108249560737,27.032924090110434,5.406584818022087
blackburn_2_bedroom_house,blackburn,2 bedroom house,545.0,775.1814694773662,230.18146947736625,42.23513201419564,8.447026402839128
blackburn_3_bedroom_flat,blackburn,3 bedroom flat,650.0,1517.145309541922,867.145309541922,133.40697069875722,26.681394139751443
blackburn_3_bedroom_house,blackburn,3 bedroom house,600.0,1526.0665876198395,926.0665876198395,154.34443126997326,30.868886253994653
blackburn_4_bedroom_house,blackburn,4 bedroom house,750.0,2860.669952301284,2110.669952301284,281.4226603068378,56.284532061367564
