,croydon-lilydale,yarraville-seddon,eltham-research-montmorency,camberwell-glen iris,wanagaratta,east brunswick,flemington-kensington,murrumbeena-hughesdale,broadmeadows-roxburgh park,west brunswick,carlton-parkville,moe-newborough,glen waverley-mulgrave,mt eliza-mornington-mt martha,vermont-forest hill-burwood east,moonee ponds-ascot vale,fitzroy north-clifton hill,thomastown-lalor,nunawading-mitcham,chadstone-oakleigh,mentone-parkdale-mordialloc,seaford-carrum downs,gladstone park-tullamarine,hampton-beaumaris,newtown,albert park-middle park-west st kilda,doncaster east-donvale,sale-maffra,burwood-ashburton,keilor east-avondale heights,newport-spotswood,werribee-hoppers crossing,geelong-newcombe,ocean grove-barwon heads,bulleen-templestowe-doncaster,hastings-flinders,mill park-epping,narre warren-hampton park,belmont-grovedale,dromana-portsea,dandenong north-endeavour hills,herne hill-geelong west,ivanhoe-ivanhoe east,aspendale-chelsea-carrum,golden square-kangaroo flat,bundoora-greensborough-hurstbridge,collingwood-abbotsford,prahran-windsor,canterbury-surrey hills-mont albert,north melbourne-west melbourne,coburg-pascoe vale south,richmond-burnley,flora hill-bendigo east,wantirna-scoresby,wendouree-alfredton,oak park-glenroy-fawkner,pascoe vale-coburg north,fairfield-alphington,sebastopol-delacombe,st albans-deer park,heidelberg-heidelberg west,east st kilda,east hawthorn,mount clear-buninyong,northcote,sunbury,preston,springvale,cheltenham,port melbourne,warragul,carnegie,kew,keilor,traralgon,morwell,armadale,shepparton,frankston,castlemaine,echuca,balwyn,box hill,elsternwick,brighton east,east melbourne,mildura,ringwood,berwick,seymour,williamstown,sunshine,clayton,corio,toorak,bayswater,dandenong,wodonga,bentleigh,torquay,bendigo,melton,caulfield,noble park,south yarra,brunswick,benalla,essendon,hawthorn,st kilda,docklands,north bendigo,southbank,north geelong,rowville,warrnambool,elwood,hamilton,fitzroy,mount waverley,swan hill,carlton north,footscray,west footscray,whittlesea,blackburn,cranbourne,bairnsdale,thornbury,pakenham,lara,reservoir,malvern east,sydenham,portland,south melbourne,altona,malvern,horsham,ferntree gully,brighton,boronia,craigieburn
croydon-lilydale,7.74354883312094,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,6.864473332833401,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,5.655400533354815,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397,-0.14473873356649397
yarraville-seddon,-0.22935558891680113,5.287124243589964,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,2.275168054355313,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,0.8662934482052285,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,6.860551126243502,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,2.2235842171483666,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,1.9084344693865363,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,1.320882767998223,0.5661218223999074,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,5.346352797779357,3.849780378828153,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113,-0.22935558891680113
eltham-research-montmorency,-0.13271716342685466,-0.13271716342685466,10.16754367391478,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,3.587148864960564,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,4.82571034088431,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466,-0.13271716342685466
camberwell-glen iris,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,4.174056239089393,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,0.8652436822038376,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,6.08864312814397,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,7.847086036418865,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,0.8678677565958498,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,0.9469069803176275,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,1.1412320502551225,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,0.9430667494100132,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,2.8484472339463744,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,2.6760504346289955,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217,-0.21352331045872217
wanagaratta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
east brunswick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flemington-kensington,-0.2239857840610041,1.7239745883521078,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,5.772675975388424,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,3.237305121435345,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,6.343543230061946,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,6.216505062597272,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,0.5320341944701369,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,0.5574481648458935,-0.2239857840610041,-0.2239857840610041,1.6438682153166666,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,0.6436771643007863,2.4001481014184565,0.4949436778655131,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041,-0.2239857840610041
murrumbeena-hughesdale,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,7.296044886064252,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,7.140770216811532,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,1.9941590670901677,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,4.279017516302534,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,0.5969975701368068,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,0.7559886167875937,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,1.2897478886541394,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,2.7987782017443457,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509,-0.1937148441747509
broadmeadows-roxburgh park,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,3.1238783115416777,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,2.863036070048396,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,4.241548190736303,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,1.1869418288151568,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,9.544581707771707,2.0183057631142027,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,-0.18508955242297276,2.1938872574968533
west brunswick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
