property_id,url,rental_price,bedrooms,bathrooms,car_spaces,property_type,land_area,property_features,suburb,postcode,scraped_date,wayback_url,wayback_time
16292884,/5-86-stafford-street-abbotsford-vic-3067-16292884,$415,1,1,1,Apartment / Unit / Flat,0,"1, ,1, ,1,",ABBOTSFORD,3067,2024-03-02 16:21:04,https://web.archive.org/web/20240302162104/https://www.domain.com.au/5-86-stafford-street-abbotsford-vic-3067-16292884,20240302162104
16867174,/5-219-nicholson-st-abbotsford-vic-3067-16867174,$610 weekly,2,1,1,Apartment / Unit / Flat,0,"2, ,1, ,1,",ABBOTSFORD,3067,2024-03-02 16:21:04,https://web.archive.org/web/20240302162104/https://www.domain.com.au/5-219-nicholson-st-abbotsford-vic-3067-16867174,20240302162104
16876075,/533-20-shamrock-street-abbotsford-vic-3067-16876075,$500 Per Week,1,1,,Apartment / Unit / Flat,0,"1, ,1, ,,",ABBOTSFORD,3067,2024-03-02 16:21:04,https://web.archive.org/web/20240302162104/https://www.domain.com.au/533-20-shamrock-street-abbotsford-vic-3067-16876075,20240302162104
16876837,/c408-11-shamrock-street-abbotsford-vic-3067-16876837,$650 per week,2,2,1,Apartment / Unit / Flat,0,"2, ,2, ,1,",ABBOTSFORD,3067,2024-03-02 16:21:04,https://web.archive.org/web/20240302162104/https://www.domain.com.au/c408-11-shamrock-street-abbotsford-vic-3067-16876837,20240302162104
16882243,/14-84-trenerry-crescent-abbotsford-vic-3067-16882243,$575 weekly,1,1,1,Townhouse,0,"1, ,1, ,1,",ABBOTSFORD,3067,2024-03-02 16:21:04,https://web.archive.org/web/20240302162104/https://www.domain.com.au/14-84-trenerry-crescent-abbotsford-vic-3067-16882243,20240302162104
16885551,/4-church-street-abbotsford-vic-3067-16885551,$1850 per week,4,3,2,House,0,"4, ,3, ,2,",ABBOTSFORD,3067,2024-03-02 16:21:04,https://web.archive.org/web/20240302162104/https://www.domain.com.au/4-church-street-abbotsford-vic-3067-16885551,20240302162104
16887765,/ag10-627-victoria-street-abbotsford-vic-3067-16887765,$850 per week,2,2,2,Apartment / Unit / Flat,0,"2, ,2, ,2,",ABBOTSFORD,3067,2024-03-02 16:21:04,https://web.archive.org/web/20240302162104/https://www.domain.com.au/ag10-627-victoria-street-abbotsford-vic-3067-16887765,20240302162104
16888156,/1002-1-acacia-place-1002a-abbotsford-vic-3067-16888156,$455 per week,1,1,,Apartment / Unit / Flat,0,"1, ,1, ,,",ABBOTSFORD,3067,2024-03-02 16:21:04,https://web.archive.org/web/20240302162104/https://www.domain.com.au/1002-1-acacia-place-1002a-abbotsford-vic-3067-16888156,20240302162104
16890198,/106-8-grosvenor-street-abbotsford-vic-3067-16890198,$475 weekly,1,1,,Apartment / Unit / Flat,0,"1, ,1, ,,",ABBOTSFORD,3067,2024-03-02 16:21:04,https://web.archive.org/web/20240302162104/https://www.domain.com.au/106-8-grosvenor-street-abbotsford-vic-3067-16890198,20240302162104
16890572,/33-80-trenerry-crescent-abbotsford-vic-3067-16890572,$650 per week,2,2,2,Townhouse,0,"2, ,2, ,2,",ABBOTSFORD,3067,2024-03-02 16:21:04,https://web.archive.org/web/20240302162104/https://www.domain.com.au/33-80-trenerry-crescent-abbotsford-vic-3067-16890572,20240302162104
16893968,/e220-11-flockhart-street-abbotsford-vic-3067-16893968,$590 weekly,2,1,,Apartment / Unit / Flat,0,"2, ,1, ,,",ABBOTSFORD,3067,2024-03-02 16:21:04,https://web.archive.org/web/20240302162104/https://www.domain.com.au/e220-11-flockhart-street-abbotsford-vic-3067-16893968,20240302162104
16894498,/44-yarra-st-abbotsford-vic-3067-16894498,$875 weekly,3,1,2,House,0,"3, ,1, ,2,",ABBOTSFORD,3067,2024-03-02 16:21:04,https://web.archive.org/web/20240302162104/https://www.domain.com.au/44-yarra-st-abbotsford-vic-3067-16894498,20240302162104
16896767,/6-maugie-st-abbotsford-vic-3067-16896767,$900 weekly,3,1,1,House,0,"3, ,1, ,1,",ABBOTSFORD,3067,2024-03-02 16:21:04,https://web.archive.org/web/20240302162104/https://www.domain.com.au/6-maugie-st-abbotsford-vic-3067-16896767,20240302162104
16898142,/b401-609-victoria-street-abbotsford-vic-3067-16898142,$650 per week,2,2,1,Apartment / Unit / Flat,0,"2, ,2, ,1,",ABBOTSFORD,3067,2024-03-02 16:21:04,https://web.archive.org/web/20240302162104/https://www.domain.com.au/b401-609-victoria-street-abbotsford-vic-3067-16898142,20240302162104
16898604,/14-st-philips-street-abbotsford-vic-3067-16898604,"$1,150.00",4,2,,House,0,"4, ,2, ,,",ABBOTSFORD,3067,2024-03-02 16:21:04,https://web.archive.org/web/20240302162104/https://www.domain.com.au/14-st-philips-street-abbotsford-vic-3067-16898604,20240302162104
16899074,/204-316-johnston-street-abbotsford-vic-3067-16899074,$665 per week - Furnished,2,1,1,Apartment / Unit / Flat,0,"2, ,1, ,1,",ABBOTSFORD,3067,2024-03-02 16:21:04,https://web.archive.org/web/20240302162104/https://www.domain.com.au/204-316-johnston-street-abbotsford-vic-3067-16899074,20240302162104
16899293,/b926-631-victoria-street-abbotsford-vic-3067-16899293,$850 per week,2,2,2,Apartment / Unit / Flat,0,"2, ,2, ,2,",ABBOTSFORD,3067,2024-03-02 16:21:04,https://web.archive.org/web/20240302162104/https://www.domain.com.au/b926-631-victoria-street-abbotsford-vic-3067-16899293,20240302162104
16900464,/b520-631-victoria-street-abbotsford-vic-3067-16900464,$750 per week,2,2,1,Apartment / Unit / Flat,0,"2, ,2, ,1,",ABBOTSFORD,3067,2024-03-02 16:21:04,https://web.archive.org/web/20240302162104/https://www.domain.com.au/b520-631-victoria-street-abbotsford-vic-3067-16900464,20240302162104
16900921,/31-studley-street-abbotsford-vic-3067-16900921,$850,3,1,2,House,0,"3, ,1, ,2,",ABBOTSFORD,3067,2024-03-02 16:21:04,https://web.archive.org/web/20240302162104/https://www.domain.com.au/31-studley-street-abbotsford-vic-3067-16900921,20240302162104
16903050,/613-4-acacia-place-abbotsford-vic-3067-16903050,$525 per week,1,1,,Apartment / Unit / Flat,0,"1, ,1, ,,",ABBOTSFORD,3067,2024-03-02 16:21:04,https://web.archive.org/web/20240302162104/https://www.domain.com.au/613-4-acacia-place-abbotsford-vic-3067-16903050,20240302162104
16708637,/970-colac-ballarat-road-ondit-vic-3249-16708637,$390.00 per week,3,1,,House,0,"3, ,1, ,,",ONDIT,3249,2024-02-21 21:10:14,https://web.archive.org/web/20240221211014/https://www.domain.com.au/970-colac-ballarat-road-ondit-vic-3249-16708637,20240221211014
16850697,/110-rattrays-rd-ondit-vic-3249-16850697,Lease pending!,4,2,2,House,0,"4, ,2, ,2,",ONDIT,3249,2024-02-21 21:10:14,https://web.archive.org/web/20240221211014/https://www.domain.com.au/110-rattrays-rd-ondit-vic-3249-16850697,20240221211014
16868475,/150-nalangil-road-nalangil-vic-3249-16868475,$365,3,1,2,House,0,"3, ,1, ,2,",NALANGIL,3249,2024-02-21 21:10:14,https://web.archive.org/web/20240221211014/https://www.domain.com.au/150-nalangil-road-nalangil-vic-3249-16868475,20240221211014
16873143,/545-wool-wool-road-wool-wool-vic-3249-16873143,$495 per week,3,2,2,House,0,"3, ,2, ,2,",WOOL WOOL,3249,2024-02-21 21:10:14,https://web.archive.org/web/20240221211014/https://www.domain.com.au/545-wool-wool-road-wool-wool-vic-3249-16873143,20240221211014
13720073,/11-egret-dr-kialla-vic-3631-13720073,$580.00 Per Week,4,2,2,House,0,"4, ,2, ,2,",KIALLA,3631,2024-02-24 23:32:53,https://web.archive.org/web/20240224233253/https://www.domain.com.au/11-egret-dr-kialla-vic-3631-13720073,20240224233253
15069070,/1-mansfield-road-euroa-vic-3666-15069070,$440,3,1,2,House,0,"3, ,1, ,2,",EUROA,3666,2024-02-24 23:32:53,https://web.archive.org/web/20240224233253/https://www.domain.com.au/1-mansfield-road-euroa-vic-3666-15069070,20240224233253
16039054,/9-toolondo-court-kialla-vic-3631-16039054,$620 per week,4,2,2,House,0,"4, ,2, ,2,",KIALLA,3631,2024-02-24 23:32:53,https://web.archive.org/web/20240224233253/https://www.domain.com.au/9-toolondo-court-kialla-vic-3631-16039054,20240224233253
16105838,/12-caspian-st-kialla-vic-3631-16105838,$650.00 Per Week,5,2,2,House,0,"5, ,2, ,2,",KIALLA,3631,2024-02-24 23:32:53,https://web.archive.org/web/20240224233253/https://www.domain.com.au/12-caspian-st-kialla-vic-3631-16105838,20240224233253
16218636,/2-89-sanctuary-drive-kialla-vic-3631-16218636,$550 pw,3,2,2,House,0,"3, ,2, ,2,",KIALLA,3631,2024-02-24 23:32:53,https://web.archive.org/web/20240224233253/https://www.domain.com.au/2-89-sanctuary-drive-kialla-vic-3631-16218636,20240224233253
16782785,/6-cabernet-street-kialla-vic-3631-16782785,$600 pw,3,2,2,House,0,"3, ,2, ,2,",KIALLA,3631,2024-02-24 23:32:53,https://web.archive.org/web/20240224233253/https://www.domain.com.au/6-cabernet-street-kialla-vic-3631-16782785,20240224233253
16832072,/7-lonsdale-square-kialla-vic-3631-16832072,$550 pw,4,2,2,House,0,"4, ,2, ,2,",KIALLA,3631,2024-02-24 23:32:53,https://web.archive.org/web/20240224233253/https://www.domain.com.au/7-lonsdale-square-kialla-vic-3631-16832072,20240224233253
16838256,/7320a-goulburn-valley-highway-kialla-west-vic-3631-16838256,$340 p/w,4,2,2,House,0,"4, ,2, ,2,",KIALLA WEST,3631,2024-02-24 23:32:53,https://web.archive.org/web/20240224233253/https://www.domain.com.au/7320a-goulburn-valley-highway-kialla-west-vic-3631-16838256,20240224233253
