Statistic,Value,Suburb
Median age of persons,50.0,Adelaide Lead
Median total personal income ($/weekly),493.0,Adelaide Lead
Median total family income ($/weekly),1125.0,Adelaide Lead
Median total household income ($/weekly),1125.0,Adelaide Lead
Median mortgage repayment ($/monthly),1200.0,Adelaide Lead
Median rent ($/weekly)(a),0.0,Adelaide Lead
Average number of persons per bedroom,0.7,Adelaide Lead
Average household size,2.4,Adelaide Lead
Median age of persons,37.0,Altona North
Median total personal income ($/weekly),753.0,Altona North
Median total family income ($/weekly),2137.0,Altona North
Median total household income ($/weekly),1695.0,Altona North
Median mortgage repayment ($/monthly),2167.0,Altona North
Median rent ($/weekly)(a),400.0,Altona North
Average number of persons per bedroom,0.8,Altona North
Average household size,2.6,Altona North
Median age of persons,45.0,Nyah West
Median total personal income ($/weekly),485.0,Nyah West
Median total family income ($/weekly),1286.0,Nyah West
Median total household income ($/weekly),979.0,Nyah West
Median mortgage repayment ($/monthly),650.0,Nyah West
Median rent ($/weekly)(a),188.0,Nyah West
Average number of persons per bedroom,0.8,Nyah West
Average household size,2.3,Nyah West
Median age of persons,58.0,Cope Cope
Median total personal income ($/weekly),604.0,Cope Cope
Median total family income ($/weekly),1437.0,Cope Cope
Median total household income ($/weekly),1375.0,Cope Cope
Median mortgage repayment ($/monthly),0.0,Cope Cope
Median rent ($/weekly)(a),140.0,Cope Cope
Average number of persons per bedroom,0.9,Cope Cope
Average household size,2.5,Cope Cope
Median age of persons,53.0,Buxton (Vic.)
Median total personal income ($/weekly),698.0,Buxton (Vic.)
Median total family income ($/weekly),1759.0,Buxton (Vic.)
Median total household income ($/weekly),1367.0,Buxton (Vic.)
Median mortgage repayment ($/monthly),1733.0,Buxton (Vic.)
Median rent ($/weekly)(a),348.0,Buxton (Vic.)
Average number of persons per bedroom,0.7,Buxton (Vic.)
Average household size,2.2,Buxton (Vic.)
Median age of persons,55.0,Nowa Nowa
Median total personal income ($/weekly),558.0,Nowa Nowa
Median total family income ($/weekly),1145.0,Nowa Nowa
Median total household income ($/weekly),1012.0,Nowa Nowa
Median mortgage repayment ($/monthly),850.0,Nowa Nowa
Median rent ($/weekly)(a),210.0,Nowa Nowa
Average number of persons per bedroom,0.8,Nowa Nowa
Average household size,2.1,Nowa Nowa
Median age of persons,45.0,Yangery
Median total personal income ($/weekly),687.0,Yangery
Median total family income ($/weekly),2250.0,Yangery
Median total household income ($/weekly),1687.0,Yangery
Median mortgage repayment ($/monthly),1650.0,Yangery
Median rent ($/weekly)(a),170.0,Yangery
Average number of persons per bedroom,0.7,Yangery
Average household size,2.7,Yangery
Median age of persons,47.0,Winchelsea South
Median total personal income ($/weekly),866.0,Winchelsea South
