Price Range,15-19,20-24,25-34,35-44,45-54,55-64,65-74,75-84,85+,Total,Suburb
Negative/Nil income,3,0,0,0,0,0,5,0,0,9,Merriang
$1-$149,8,0,0,0,0,0,0,0,0,11,Merriang
$150-$299,4,0,0,0,0,0,0,0,0,11,Merriang
$300-$399,0,0,3,0,0,0,3,5,0,11,Merriang
$400-$499,0,0,0,0,0,0,0,0,0,5,Merriang
$500-$649,0,0,0,0,0,0,7,5,0,9,Merriang
$650-$799,0,3,6,0,4,5,6,0,0,15,Merriang
$800-$999 ,0,0,0,4,9,3,0,4,0,16,Merriang
"$1,000-$1,249",0,0,0,4,0,4,6,0,0,11,Merriang
"$1,250-$1,499",0,0,0,0,3,0,4,0,0,9,Merriang
"$1,500-$1,749",0,0,0,6,0,3,3,0,0,12,Merriang
"$1,750-$1,999",0,0,0,0,4,0,0,0,0,6,Merriang
"$2,000-$2,999",0,0,0,0,3,3,0,0,0,9,Merriang
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,4,Merriang
"$3,500 or more",0,0,0,0,0,0,0,0,0,0,Merriang
Personal income not stated,3,0,0,3,0,0,0,0,0,13,Merriang
Total,17,9,15,14,29,20,36,7,3,150,Merriang
Negative/Nil income,0,0,0,0,0,0,0,0,0,0,Nirranda East
$1-$149,0,0,0,0,0,0,0,0,0,0,Nirranda East
$150-$299,0,0,0,0,0,0,0,0,0,0,Nirranda East
$300-$399,0,0,0,0,0,0,0,0,0,0,Nirranda East
$400-$499,0,0,0,0,0,0,0,0,0,0,Nirranda East
$500-$649,0,0,0,0,0,0,0,0,0,0,Nirranda East
$650-$799,0,0,0,0,0,0,0,0,0,0,Nirranda East
$800-$999 ,0,0,0,0,0,0,0,0,0,0,Nirranda East
"$1,000-$1,249",0,0,0,0,0,3,0,0,0,3,Nirranda East
"$1,250-$1,499",0,0,0,0,0,0,0,0,0,0,Nirranda East
"$1,500-$1,749",0,0,0,0,0,0,0,0,0,0,Nirranda East
"$1,750-$1,999",0,0,0,0,0,0,0,0,0,0,Nirranda East
"$2,000-$2,999",0,0,0,0,0,0,0,0,0,0,Nirranda East
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Nirranda East
"$3,500 or more",0,0,0,0,0,0,0,0,0,0,Nirranda East
Personal income not stated,0,0,0,0,0,0,0,0,0,0,Nirranda East
Total,0,0,0,0,0,0,0,0,0,9,Nirranda East
Negative/Nil income,7,0,0,0,0,0,0,0,0,14,Naring
$1-$149,0,0,0,0,0,0,0,0,0,0,Naring
$150-$299,0,0,0,4,0,0,0,0,0,4,Naring
