property_id,address,longitude,latitude,coordinates,geocode_success
15901160,"Brambuk Avenue, Craigieburn, VIC 3064",144.922566,-37.570259,POINT (144.922566 -37.570259),True
10465752,"Codrington Street, Cranbourne, VIC 3977",145.285426,-38.109556,POINT (145.285426 -38.109556),True
12827534,"Woodright Circuit, Cranbourne, VIC 3977",145.261391,-38.112357,POINT (145.261391 -38.112357),True
14549961,"Lamont Crescent, Cranbourne, VIC 3977",145.270849,-38.098858,POINT (145.270849 -38.098858),True
15819476,"Clarendon Street, Cranbourne, VIC 3977",145.277272,-38.104919,POINT (145.277272 -38.104919),True
15859151,", Cranbourne, VIC 3977",145.291702,-38.137571,POINT (145.291702 -38.137571),True
15887216,"The Arcade, Cranbourne, VIC 3977",145.278456,-38.106398,POINT (145.278456 -38.106398),True
15936532,"Damian Court, Cranbourne, VIC 3977",145.274514,-38.096947,POINT (145.274514 -38.096947),True
15938234,"19 William Street, Cranbourne, VIC 3977",145.280384,-38.103219,POINT (145.280384 -38.103219),True
15941837,"20 Sarno Court, Cranbourne, VIC 3977",145.267694,-38.108757,POINT (145.267694 -38.108757),True
15945054,"Highview Avenue, Cranbourne, VIC 3977",145.280064,-38.096831,POINT (145.280064 -38.096831),True
15945357,"106 Clairmont Avenue, Cranbourne, VIC 3977",145.273418,-38.089211,POINT (145.273418 -38.089211),True
15945653,"Copley Street, Cranbourne, VIC 3977",145.257957,-38.11405,POINT (145.257957 -38.11405),True
15946404,"Chomley Street, Cranbourne, VIC 3977",145.268356,-38.09994,POINT (145.268356 -38.09994),True
15947707,"Mira Court, Cranbourne, VIC 3977",145.290336,-38.094094,POINT (145.290336 -38.094094),True
15949620,"Mayune Court, Cranbourne, VIC 3977",145.276388,-38.099651,POINT (145.276388 -38.099651),True
15955740,"49 Taylor Street, Cranbourne, VIC 3977",145.273186,-38.105398,POINT (145.273186 -38.105398),True
15958695,"Aztec Place, Cranbourne, VIC 3977",145.2894,-38.093327,POINT (145.2894 -38.093327),True
15958851,"Willowglen Boulevard, Cranbourne, VIC 3977",145.278456,-38.106398,POINT (145.278456 -38.106398),True
15960926,"9 Lamb Street, Cranbourne, VIC 3977",145.280632,-38.111539,POINT (145.280632 -38.111539),True
15962557,"Jamela Court, Cranbourne, VIC 3977",145.270068,-38.084312,POINT (145.270068 -38.084312),True
15702317,"Harvard Street Cranbourne, West, VIC 3977",145.251612,-38.095762,POINT (145.251612 -38.095762),True
15842328,"Dean Court Cranbourne, West, VIC 3977",145.256801,-38.103426,POINT (145.256801 -38.103426),True
15909022,"Forton Crescent Cranbourne, West, VIC 3977",145.245339,-38.101129,POINT (145.245339 -38.101129),True
