property_id,longitude,latitude,coordinates
15295193,144.889952,-37.791139,POINT (-37.791139 144.889952)
15624467,144.896622,-37.79868,POINT (-37.79868 144.896622)
15726089,144.884333,-37.791939,POINT (-37.791939 144.884333)
15754757,144.905187,-37.802479,POINT (-37.802479 144.905187)
15802091,144.908234,-37.801644,POINT (-37.801644 144.908234)
15812256,144.90233,-37.806019,POINT (-37.806019 144.90233)
15816862,144.894428,-37.803433,POINT (-37.803433 144.894428)
15818702,144.890916,-37.797653,POINT (-37.797653 144.890916)
15819588,144.8806,-37.799674,POINT (-37.799674 144.8806)
15821031,144.886077,-37.796257,POINT (-37.796257 144.886077)
15824941,144.909552,-37.80034,POINT (-37.80034 144.909552)
15826672,144.905203,-37.795223,POINT (-37.795223 144.905203)
15828870,144.885199,-37.796753,POINT (-37.796753 144.885199)
15831866,144.8806,-37.799674,POINT (-37.799674 144.8806)
15832041,144.889003,-37.8018,POINT (-37.8018 144.889003)
15833239,144.908234,-37.801644,POINT (-37.801644 144.908234)
15833286,144.903587,-37.798394,POINT (-37.798394 144.903587)
15834914,144.909552,-37.80034,POINT (-37.80034 144.909552)
15834988,144.892885,-37.788298,POINT (-37.788298 144.892885)
15839522,144.894838,-37.794308,POINT (-37.794308 144.894838)
15295354,145.013796,-37.811419,POINT (-37.811419 145.013796)
15302378,145.000185,-37.799751,POINT (-37.799751 145.000185)
15692820,144.996631,-37.800806,POINT (-37.800806 144.996631)
15932920,145.002003,-37.799639,POINT (-37.799639 145.002003)
15934559,144.995133,-37.801421,POINT (-37.801421 144.995133)
15934650,144.998184,-37.79793,POINT (-37.79793 144.998184)
15935244,145.007942,-37.811123,POINT (-37.811123 145.007942)
15935425,145.014143,-37.811772,POINT (-37.811772 145.014143)
15935648,145.007942,-37.811123,POINT (-37.811123 145.007942)
15936139,145.013796,-37.811419,POINT (-37.811419 145.013796)
15939405,145.007942,-37.811123,POINT (-37.811123 145.007942)
15942192,145.008213,-37.810154,POINT (-37.810154 145.008213)
15942469,145.009655,-37.811201,POINT (-37.811201 145.009655)
15943468,145.009655,-37.811201,POINT (-37.811201 145.009655)
15947166,145.014143,-37.811772,POINT (-37.811772 145.014143)
15948487,144.997321,-37.807932,POINT (-37.807932 144.997321)
15949196,144.998184,-37.79793,POINT (-37.79793 144.998184)
15949860,145.014143,-37.811772,POINT (-37.811772 145.014143)
15950381,145.014143,-37.811772,POINT (-37.811772 145.014143)
15956021,145.000152,-37.802065,POINT (-37.802065 145.000152)
15803546,144.955302,-37.841676,POINT (-37.841676 144.955302)
15850223,144.96905,-37.844014,POINT (-37.844014 144.96905)
15914080,144.946609,-37.845676,POINT (-37.845676 144.946609)
15934715,144.950892,-37.848601,POINT (-37.848601 144.950892)
15934716,144.950892,-37.848601,POINT (-37.848601 144.950892)
15937254,144.954604,-37.843333,POINT (-37.843333 144.954604)
15942526,144.956499,-37.846759,POINT (-37.846759 144.956499)
