bedrooms,property_id,year,coordinates,source,quarter,bathrooms,rental_price,suburb,longitude,car_spaces,latitude,property_type
3,17732837,2025,POINT (144.9961565 -37.796893),live,3,2,880.0,collingwood-abbotsford,144.9961565,2,-37.796893,townhouse
2,17744154,2025,POINT (145.0076834 -37.8110653),live,3,2,750.0,collingwood-abbotsford,145.0076834,1,-37.8110653,apartment / unit / flat
1,17750349,2025,POINT (145.0019064 -37.80210950000001),live,3,1,630.0,collingwood-abbotsford,145.0019064,1,-37.80210950000001,apartment / unit / flat
2,17739910,2025,POINT (144.999856 -37.8092053),live,3,1,650.0,collingwood-abbotsford,144.999856,1,-37.8092053,townhouse
2,17751219,2025,POINT (144.9939399 -37.8080424),live,3,1,750.0,collingwood-abbotsford,144.9939399,2,-37.8080424,house
2,17688466,2025,POINT (145.0020093 -37.7996262),live,3,1,825.0,collingwood-abbotsford,145.0020093,1,-37.7996262,apartment / unit / flat
2,17734920,2025,POINT (145.0068159 -37.8095856),live,3,1,600.0,collingwood-abbotsford,145.0068159,1,-37.8095856,apartment / unit / flat
1,17739942,2025,POINT (145.0008476 -37.7990015),live,3,1,520.0,collingwood-abbotsford,145.0008476,1,-37.7990015,apartment / unit / flat
2,17757992,2025,POINT (145.0067059 -37.8109899),live,3,1,580.0,collingwood-abbotsford,145.0067059,1,-37.8109899,apartment / unit / flat
4,17718788,2025,POINT (144.9937356 -37.8074901),live,3,4,1225.0,collingwood-abbotsford,144.9937356,1,-37.8074901,apartment / unit / flat
2,17698325,2025,POINT (145.0082181 -37.8101409),live,3,2,650.0,collingwood-abbotsford,145.0082181,1,-37.8101409,apartment / unit / flat
2,17697481,2025,POINT (145.0082181 -37.8101409),live,3,1,580.0,collingwood-abbotsford,145.0082181,1,-37.8101409,apartment / unit / flat
1,17706353,2025,POINT (145.008908 -37.8111571),live,3,1,520.0,collingwood-abbotsford,145.008908,1,-37.8111571,apartment / unit / flat
2,16523833,2025,POINT (145.0003906 -37.7994041),live,3,2,630.0,collingwood-abbotsford,145.0003906,1,-37.7994041,apartment / unit / flat
1,17739186,2025,POINT (145.008908 -37.8111571),live,3,1,625.0,collingwood-abbotsford,145.008908,1,-37.8111571,apartment / unit / flat
1,17750997,2025,POINT (144.9963675 -37.8089433),live,3,1,440.0,collingwood-abbotsford,144.9963675,1,-37.8089433,apartment / unit / flat
1,17751563,2025,POINT (145.009661 -37.8111881),live,3,1,480.0,collingwood-abbotsford,145.009661,1,-37.8111881,apartment / unit / flat
1,17717979,2025,POINT (144.9963675 -37.8089433),live,3,1,430.0,collingwood-abbotsford,144.9963675,1,-37.8089433,apartment / unit / flat
3,16958630,2025,POINT (144.9962008 -37.8016615),live,3,1,840.0,collingwood-abbotsford,144.9962008,2,-37.8016615,house
1,17723820,2025,POINT (144.9994937 -37.80100360000001),live,3,1,485.0,collingwood-abbotsford,144.9994937,1,-37.80100360000001,apartment / unit / flat
2,17723967,2025,POINT (145.0141491 -37.8117587),live,3,2,675.0,collingwood-abbotsford,145.0141491,1,-37.8117587,apartment / unit / flat
1,17743175,2025,POINT (145.0012379 -37.79959590000001),live,3,1,550.0,collingwood-abbotsford,145.0012379,1,-37.79959590000001,apartment / unit / flat
3,17745672,2025,POINT (145.0006435 -37.809279),live,3,2,990.0,collingwood-abbotsford,145.0006435,1,-37.809279,townhouse
3,17719363,2025,POINT (144.9956615 -37.8041915),live,3,1,875.0,collingwood-abbotsford,144.9956615,2,-37.8041915,house
3,17747035,2025,POINT (144.9948705 -37.8044158),live,3,1,895.0,collingwood-abbotsford,144.9948705,2,-37.8044158,house
1,17748919,2025,POINT (145.0078149 -37.8111312),live,3,1,550.0,collingwood-abbotsford,145.0078149,1,-37.8111312,apartment / unit / flat
2,17752174,2025,POINT (144.9969097 -37.8030997),live,3,1,800.0,collingwood-abbotsford,144.9969097,2,-37.8030997,house
2,17756065,2025,POINT (145.0102974 -37.811195),live,3,2,950.0,collingwood-abbotsford,145.0102974,1,-37.811195,apartment / unit / flat
2,17757280,2025,POINT (144.9940691 -37.8058235),live,3,1,850.0,collingwood-abbotsford,144.9940691,2,-37.8058235,house
2,17757372,2025,POINT (144.9981895 -37.7979172),live,3,1,610.0,collingwood-abbotsford,144.9981895,1,-37.7979172,apartment / unit / flat
3,9550447,2025,POINT (144.8715533 -37.721826),live,3,1,560.0,airport west,144.8715533,1,-37.721826,house
2,17754583,2025,POINT (144.9502121 -37.8425074),live,3,1,650.0,albert park-middle park-west st kilda,144.9502121,1,-37.8425074,apartment / unit / flat
2,17715519,2025,POINT (144.9495814 -37.8465045),live,3,1,735.0,albert park-middle park-west st kilda,144.9495814,1,-37.8465045,apartment / unit / flat
4,17731851,2025,POINT (143.8118528 -37.5595333),live,3,2,510.0,wendouree-alfredton,143.8118528,2,-37.5595333,house
1,16316822,2025,POINT (143.807912 -37.5526625),live,3,1,260.0,wendouree-alfredton,143.807912,2,-37.5526625,apartment / unit / flat
