bedrooms,property_id,year,coordinates,source,quarter,bathrooms,rental_price,suburb,longitude,car_spaces,latitude,property_type
4,17519803.0,2025,POINT (145.156852 -38.338784),wayback,2,2,1475.0,balnarring,145.156852,4,-38.338784,Acreage / Semi-Rural
4,16032533.0,2024,POINT (145.181874 -38.199352),wayback,3,2,900.0,baxter,145.181874,4,-38.199352,Acreage / Semi-Rural
6,14155100.0,2024,POINT (145.185613 -38.330202),wayback,3,3,1500.0,bittern,145.185613,4,-38.330202,Acreage / Semi-Rural
4,15947357.0,2022,POINT (145.275799 -38.157937),wayback,2,2,1500.0,cranbourne south,145.275799,5,-38.157937,Acreage / Semi-Rural
4,15872831.0,2022,POINT (144.736734 -37.645999),wayback,2,2,450.0,diggers rest,144.736734,2,-37.645999,Acreage / Semi-Rural
6,17154279.0,2025,POINT (144.64173 -37.485355),wayback,1,3,900.0,gisborne,144.64173,4,-37.485355,Acreage / Semi-Rural
4,17583052.0,2025,POINT (145.224368 -38.207989),wayback,2,2,1295.0,pearcedale,145.224368,2,-38.207989,Acreage / Semi-Rural
3,17631021.0,2025,POINT (144.544605 -37.375306),wayback,2,1,720.0,woodend,144.544605,6,-37.375306,Acreage / Semi-Rural
2,9907914.0,2024,POINT (144.885936 -37.716539),wayback,2,1,320.0,airport west,144.885936,1,-37.716539,Apartment / Unit / Flat
3,17076171.0,2024,POINT (144.886996 -37.73031),wayback,2,2,600.0,airport west,144.886996,1,-37.73031,Apartment / Unit / Flat
1,15934715.0,2022,POINT (144.950892 -37.848601),wayback,2,1,350.0,albert park-middle park-west st kilda,144.950892,1,-37.848601,Apartment / Unit / Flat
1,17376855.0,2025,POINT (144.949582 -37.846503),wayback,1,1,590.0,albert park-middle park-west st kilda,144.949582,1,-37.846503,Apartment / Unit / Flat
1,15951887.0,2022,POINT (144.948413 -37.847164),wayback,2,1,310.0,albert park-middle park-west st kilda,144.948413,1,-37.847164,Apartment / Unit / Flat
1,15952515.0,2022,POINT (144.950892 -37.848601),wayback,2,1,380.0,albert park-middle park-west st kilda,144.950892,1,-37.848601,Apartment / Unit / Flat
1,11533480.0,2025,POINT (144.954419 -37.85068),wayback,1,1,460.0,albert park-middle park-west st kilda,144.954419,1,-37.85068,Apartment / Unit / Flat
1,15803546.0,2022,POINT (144.955302 -37.841676),wayback,2,1,380.0,albert park-middle park-west st kilda,144.955302,1,-37.841676,Apartment / Unit / Flat
2,17582745.0,2025,POINT (144.959727 -37.852689),wayback,2,2,925.0,albert park-middle park-west st kilda,144.959727,1,-37.852689,Apartment / Unit / Flat
2,17603974.0,2025,POINT (144.966467 -37.855369),wayback,2,1,550.0,albert park-middle park-west st kilda,144.966467,1,-37.855369,Apartment / Unit / Flat
3,17449602.0,2025,POINT (144.955381 -37.844482),wayback,1,1,875.0,albert park-middle park-west st kilda,144.955381,1,-37.844482,Apartment / Unit / Flat
1,15960779.0,2022,POINT (144.85505 -37.835755),wayback,2,1,270.0,altona north,144.85505,1,-37.835755,Apartment / Unit / Flat
2,15953488.0,2022,POINT (144.862949 -37.841812),wayback,2,1,470.0,altona north,144.862949,1,-37.841812,Apartment / Unit / Flat
3,15929617.0,2022,POINT (144.853811 -37.836138),wayback,2,1,380.0,altona north,144.853811,1,-37.836138,Apartment / Unit / Flat
1,17468014.0,2025,POINT (144.83534 -37.863943),wayback,1,1,360.0,altona,144.83534,1,-37.863943,Apartment / Unit / Flat
2,17480029.0,2025,POINT (144.830048 -37.866891),wayback,1,1,440.0,altona,144.830048,1,-37.866891,Apartment / Unit / Flat
3,17490388.0,2025,POINT (144.830658 -37.86547),wayback,1,2,600.0,altona,144.830658,2,-37.86547,Apartment / Unit / Flat
1,17421816.0,2025,POINT (142.946095 -37.285139),wayback,1,1,240.0,ararat,142.946095,1,-37.285139,Apartment / Unit / Flat
2,15873427.0,2022,POINT (142.917026 -37.284455),wayback,2,1,315.0,ararat,142.917026,1,-37.284455,Apartment / Unit / Flat
2,15892353.0,2022,POINT (142.930085 -37.276812),wayback,2,2,470.0,ararat,142.930085,1,-37.276812,Apartment / Unit / Flat
2,17657501.0,2025,POINT (142.925644 -37.288119),wayback,2,1,350.0,ararat,142.925644,1,-37.288119,Apartment / Unit / Flat
3,16807809.0,2025,POINT (142.933209 -37.292227),wayback,1,1,370.0,ararat,142.933209,1,-37.292227,Apartment / Unit / Flat
1,16031045.0,2022,POINT (145.016792 -37.858471),wayback,3,1,380.0,armadale,145.016792,1,-37.858471,Apartment / Unit / Flat
1,16024992.0,2022,POINT (145.015159 -37.850297),wayback,3,1,350.0,armadale,145.015159,1,-37.850297,Apartment / Unit / Flat
1,17463062.0,2025,POINT (145.025107 -37.864199),wayback,1,1,475.0,armadale,145.025107,1,-37.864199,Apartment / Unit / Flat
1,17465660.0,2025,POINT (145.020709 -37.856834),wayback,1,1,575.0,armadale,145.020709,1,-37.856834,Apartment / Unit / Flat
1,16000477.0,2022,POINT (145.018034 -37.860881),wayback,3,1,350.0,armadale,145.018034,1,-37.860881,Apartment / Unit / Flat
2,17100502.0,2024,POINT (145.012884 -37.857135),wayback,3,1,700.0,armadale,145.012884,2,-37.857135,Apartment / Unit / Flat
2,16030517.0,2022,POINT (145.01766 -37.85527),wayback,3,1,680.0,armadale,145.01766,1,-37.85527,Apartment / Unit / Flat
2,16014790.0,2022,POINT (145.015384 -37.854644),wayback,3,2,900.0,armadale,145.015384,2,-37.854644,Apartment / Unit / Flat
2,16014317.0,2022,POINT (145.026843 -37.852801),wayback,3,1,445.0,armadale,145.026843,1,-37.852801,Apartment / Unit / Flat
2,17471734.0,2025,POINT (145.012184 -37.851516),wayback,1,2,875.0,armadale,145.012184,2,-37.851516,Apartment / Unit / Flat
2,16026024.0,2022,POINT (145.015384 -37.854644),wayback,3,2,995.0,armadale,145.015384,2,-37.854644,Apartment / Unit / Flat
2,17439062.0,2025,POINT (145.021481 -37.861653),wayback,1,2,675.0,armadale,145.021481,1,-37.861653,Apartment / Unit / Flat
2,16002976.0,2022,POINT (145.025107 -37.864199),wayback,3,1,350.0,armadale,145.025107,1,-37.864199,Apartment / Unit / Flat
2,16008468.0,2022,POINT (145.019775 -37.859558),wayback,3,1,425.0,armadale,145.019775,1,-37.859558,Apartment / Unit / Flat
2,17458021.0,2025,POINT (145.02812 -37.860249),wayback,1,1,565.0,armadale,145.02812,1,-37.860249,Apartment / Unit / Flat
2,16256686.0,2025,POINT (145.018076 -37.860611),wayback,1,1,600.0,armadale,145.018076,1,-37.860611,Apartment / Unit / Flat
2,17472737.0,2025,POINT (145.016657 -37.854846),wayback,1,1,740.0,armadale,145.016657,1,-37.854846,Apartment / Unit / Flat
3,17110061.0,2024,POINT (145.020261 -37.862678),wayback,3,2,895.0,armadale,145.020261,2,-37.862678,Apartment / Unit / Flat
3,5215310.0,2022,POINT (145.024012 -37.864324),wayback,3,1,650.0,armadale,145.024012,1,-37.864324,Apartment / Unit / Flat
3,17126740.0,2024,POINT (145.019775 -37.859558),wayback,3,1,650.0,armadale,145.019775,1,-37.859558,Apartment / Unit / Flat
3,16023282.0,2022,POINT (145.016657 -37.854846),wayback,3,2,1100.0,armadale,145.016657,2,-37.854846,Apartment / Unit / Flat
2,17513825.0,2025,POINT (145.120984 -38.053873),wayback,1,1,520.0,aspendale-chelsea-carrum,145.120984,1,-38.053873,Apartment / Unit / Flat
2,15950363.0,2022,POINT (145.100422 -38.025199),wayback,2,1,450.0,aspendale-chelsea-carrum,145.100422,1,-38.025199,Apartment / Unit / Flat
2,15951900.0,2022,POINT (145.100628 -38.025599),wayback,2,2,520.0,aspendale-chelsea-carrum,145.100628,1,-38.025599,Apartment / Unit / Flat
2,15933125.0,2022,POINT (145.091814 -38.014476),wayback,2,1,370.0,aspendale-chelsea-carrum,145.091814,1,-38.014476,Apartment / Unit / Flat
2,17143135.0,2024,POINT (145.105414 -38.034501),wayback,3,1,585.0,aspendale-chelsea-carrum,145.105414,1,-38.034501,Apartment / Unit / Flat
2,15948193.0,2022,POINT (145.091814 -38.014476),wayback,2,1,370.0,aspendale-chelsea-carrum,145.091814,1,-38.014476,Apartment / Unit / Flat
2,17515772.0,2025,POINT (145.120015 -38.047509),wayback,1,1,470.0,aspendale-chelsea-carrum,145.120015,1,-38.047509,Apartment / Unit / Flat
2,16198817.0,2024,POINT (145.122163 -38.052061),wayback,1,1,450.0,aspendale-chelsea-carrum,145.122163,1,-38.052061,Apartment / Unit / Flat
3,17488500.0,2025,POINT (145.123168 -38.046302),wayback,1,2,600.0,aspendale-chelsea-carrum,145.123168,2,-38.046302,Apartment / Unit / Flat
3,15865085.0,2022,POINT (145.100928 -38.021462),wayback,2,1,500.0,aspendale-chelsea-carrum,145.100928,2,-38.021462,Apartment / Unit / Flat
1,17418375.0,2025,POINT (144.429542 -37.677948),wayback,1,1,390.0,bacchus marsh,144.429542,1,-37.677948,Apartment / Unit / Flat
2,17543047.0,2025,POINT (144.437794 -37.681191),wayback,1,1,360.0,bacchus marsh,144.437794,1,-37.681191,Apartment / Unit / Flat
2,15940707.0,2022,POINT (144.431034 -37.672259),wayback,2,1,360.0,bacchus marsh,144.431034,1,-37.672259,Apartment / Unit / Flat
1,17523614.0,2025,POINT (147.611354 -37.826378),wayback,1,1,310.0,bairnsdale,147.611354,1,-37.826378,Apartment / Unit / Flat
1,17450540.0,2025,POINT (147.618549 -37.822275),wayback,1,1,290.0,bairnsdale,147.618549,1,-37.822275,Apartment / Unit / Flat
2,17516945.0,2025,POINT (147.610542 -37.828234),wayback,1,1,370.0,bairnsdale,147.610542,1,-37.828234,Apartment / Unit / Flat
2,16900773.0,2024,POINT (147.598313 -37.824659),wayback,1,1,320.0,bairnsdale,147.598313,1,-37.824659,Apartment / Unit / Flat
2,17484286.0,2025,POINT (147.616626 -37.821891),wayback,1,1,380.0,bairnsdale,147.616626,1,-37.821891,Apartment / Unit / Flat
2,17481631.0,2025,POINT (147.616021 -37.82571),wayback,1,1,370.0,bairnsdale,147.616021,1,-37.82571,Apartment / Unit / Flat
2,17486716.0,2025,POINT (147.599951 -37.830444),wayback,1,1,390.0,bairnsdale,147.599951,1,-37.830444,Apartment / Unit / Flat
3,15866576.0,2022,POINT (147.612564 -37.818797),wayback,2,2,390.0,bairnsdale,147.612564,1,-37.818797,Apartment / Unit / Flat
1,15876920.0,2022,POINT (144.998426 -37.869551),wayback,2,1,320.0,balaclava,144.998426,1,-37.869551,Apartment / Unit / Flat
1,17531579.0,2025,POINT (144.996637 -37.8678),wayback,1,1,575.0,balaclava,144.996637,1,-37.8678,Apartment / Unit / Flat
1,17520957.0,2025,POINT (144.998426 -37.869551),wayback,1,1,400.0,balaclava,144.998426,1,-37.869551,Apartment / Unit / Flat
1,15866826.0,2022,POINT (144.992342 -37.872508),wayback,2,1,260.0,balaclava,144.992342,1,-37.872508,Apartment / Unit / Flat
2,15841496.0,2022,POINT (144.996517 -37.87229),wayback,2,1,490.0,balaclava,144.996517,1,-37.87229,Apartment / Unit / Flat
2,11173543.0,2022,POINT (144.996653 -37.875163),wayback,2,1,346.0,balaclava,144.996653,1,-37.875163,Apartment / Unit / Flat
2,15840422.0,2022,POINT (144.994156 -37.871668),wayback,2,1,335.0,balaclava,144.994156,1,-37.871668,Apartment / Unit / Flat
2,17020878.0,2025,POINT (144.995844 -37.87313),wayback,1,1,660.0,balaclava,144.995844,2,-37.87313,Apartment / Unit / Flat
2,17404641.0,2024,POINT (144.998426 -37.869551),wayback,4,1,675.0,balaclava,144.998426,1,-37.869551,Apartment / Unit / Flat
2,15879409.0,2022,POINT (144.996077 -37.870827),wayback,2,1,390.0,balaclava,144.996077,1,-37.870827,Apartment / Unit / Flat
2,15793599.0,2022,POINT (144.996637 -37.8678),wayback,2,1,320.0,balaclava,144.996637,1,-37.8678,Apartment / Unit / Flat
2,17520782.0,2025,POINT (144.995795 -37.868254),wayback,1,1,550.0,balaclava,144.995795,1,-37.868254,Apartment / Unit / Flat
2,13296116.0,2022,POINT (144.994023 -37.870698),wayback,2,1,550.0,balaclava,144.994023,1,-37.870698,Apartment / Unit / Flat
3,17453248.0,2025,POINT (144.999259 -37.867319),wayback,1,2,780.0,balaclava,144.999259,1,-37.867319,Apartment / Unit / Flat
3,17505977.0,2025,POINT (144.996048 -37.872563),wayback,1,1,650.0,balaclava,144.996048,1,-37.872563,Apartment / Unit / Flat
1,16855385.0,2024,POINT (143.854438 -37.562251),wayback,1,1,440.0,ballarat central,143.854438,1,-37.562251,Apartment / Unit / Flat
1,17239636.0,2024,POINT (143.846013 -37.566808),wayback,3,1,320.0,ballarat central,143.846013,1,-37.566808,Apartment / Unit / Flat
2,17149448.0,2024,POINT (143.853084 -37.558044),wayback,3,1,450.0,ballarat central,143.853084,1,-37.558044,Apartment / Unit / Flat
2,17429843.0,2025,POINT (143.849625 -37.551623),wayback,1,1,340.0,ballarat central,143.849625,1,-37.551623,Apartment / Unit / Flat
2,17155947.0,2024,POINT (143.83927 -37.562736),wayback,3,1,340.0,ballarat central,143.83927,1,-37.562736,Apartment / Unit / Flat
2,16792588.0,2024,POINT (143.837617 -37.568861),wayback,1,2,450.0,ballarat central,143.837617,2,-37.568861,Apartment / Unit / Flat
2,16883857.0,2024,POINT (143.860049 -37.561895),wayback,1,1,295.0,ballarat central,143.860049,1,-37.561895,Apartment / Unit / Flat
2,15879777.0,2022,POINT (143.856996 -37.562471),wayback,2,1,500.0,ballarat central,143.856996,1,-37.562471,Apartment / Unit / Flat
3,15856115.0,2022,POINT (143.858234 -37.562938),wayback,2,2,525.0,ballarat central,143.858234,1,-37.562938,Apartment / Unit / Flat
2,15067145.0,2024,POINT (143.875994 -37.560152),wayback,2,1,270.0,ballarat east,143.875994,1,-37.560152,Apartment / Unit / Flat
