property_id,url,rental_price,bedrooms,bathrooms,car_spaces,property_type,land_area,property_features,suburb,postcode,scraped_date,period,address,coordinates
16767655,/4511-33-rose-lane-melbourne-vic-3000-16767655,$750 Per Week,2.0,2.0,1.0,Apartment / Unit / Flat,,"2, ,2, ,1,",MELBOURNE,3000,2023-12-02 19:11:26,2023_12,"33 Rose Lane, Melbourne, VIC 3000",POINT (144.9538211 -37.8151054)
16719394,/425-181-exhibition-street-melbourne-vic-3000-16719394,$600pw,2.0,1.0,1.0,Apartment / Unit / Flat,,"2, ,1, ,1,",MELBOURNE,3000,2023-12-02 19:11:26,2023_12,"181 Exhibition Street, Melbourne, VIC 3000",POINT (144.968708 -37.8076807)
16760539,/901-225-elizabeth-street-melbourne-vic-3000-16760539,$480 pw,1.0,1.0,1.0,Apartment / Unit / Flat,,"1, ,1, ,1,",MELBOURNE,3000,2023-12-02 19:11:26,2023_12,"225 Elizabeth Street, Melbourne, VIC 3000",POINT (144.9844562 -37.7255336)
16760630,/321-585-la-trobe-st-melbourne-vic-3000-16760630,$500/W Furnished,2.0,1.0,,Apartment / Unit / Flat,,"2, ,1, ,,",MELBOURNE,3000,2023-12-02 19:11:26,2023_12,"585 La Trobe St, Melbourne, VIC 3000",POINT (144.9517693 -37.8132804)
16762357,/1415-325-collins-street-melbourne-vic-3000-16762357,$585 per week,2.0,1.0,,Apartment / Unit / Flat,,"2, ,1, ,,",MELBOURNE,3000,2023-12-02 19:11:26,2023_12,"325 Collins Street, Melbourne, VIC 3000",POINT (144.96353 -37.8168615)
16762365,/16-7-drewery-lane-melbourne-vic-3000-16762365,$800 per week,2.0,2.0,1.0,Apartment / Unit / Flat,,"2, ,2, ,1,",MELBOURNE,3000,2023-12-02 19:11:26,2023_12,"7 Drewery Lane, Melbourne, VIC 3000",POINT (144.9639097 -37.811063)
16764970,/603-29-market-street-melbourne-vic-3000-16764970,$550 per week,1.0,1.0,,Apartment / Unit / Flat,,"1, ,1, ,,",MELBOURNE,3000,2023-12-02 19:11:26,2023_12,"29 Market Street, Melbourne, VIC 3000",POINT (144.9068062 -37.7450869)
16765210,/713-408-lonsdale-street-melbourne-vic-3000-16765210,$380,1.0,1.0,,Studio,,"1, ,1, ,,",MELBOURNE,3000,2023-12-02 19:11:26,2023_12,"408 Lonsdale Street, Melbourne, VIC 3000",POINT (144.9604059 -37.8125898)
16767051,/912-33-mackenzie-street-melbourne-vic-3000-16767051,$700.00,2.0,1.0,1.0,Apartment / Unit / Flat,,"2, ,1, ,1,",MELBOURNE,3000,2023-12-02 19:11:26,2023_12,"33 Mackenzie Street, Melbourne, VIC 3000",POINT (144.9669427 -37.8076309)
16771936,/513-250-elizabeth-street-melbourne-vic-3000-16771936,$475 per week,1.0,1.0,,Apartment / Unit / Flat,,"1, ,1, ,,",MELBOURNE,3000,2023-12-02 19:11:26,2023_12,"250 Elizabeth Street, Melbourne, VIC 3000",POINT (144.9625534 -37.8124101)
16771970,/36-180-little-collins-street-melbourne-vic-3000-16771970,$880 pw,2.0,2.0,1.0,Apartment / Unit / Flat,,"2, ,2, ,1,",MELBOURNE,3000,2023-12-02 19:11:26,2023_12,"180 Little Collins Street, Melbourne, VIC 3000",POINT (144.9678467 -37.8137806)
16772082,/18-487-497-flinders-lane-melbourne-vic-3000-16772082,$470,1.0,1.0,,Apartment / Unit / Flat,,"1, ,1, ,,",MELBOURNE,3000,2023-12-02 19:11:26,2023_12,"497 Flinders Lane, Melbourne, VIC 3000",POINT (144.9706706 -37.8153918)
16773572,/2803-8-sutherland-street-melbourne-vic-3000-16773572,$900 per week,3.0,2.0,,Apartment / Unit / Flat,,"3, ,2, ,,",MELBOURNE,3000,2023-12-02 19:11:26,2023_12,"8 Sutherland Street, Melbourne, VIC 3000",POINT (144.9609773 -37.8113042)
16774717,/1106-555-flinders-street-melbourne-vic-3000-16774717,$475 pw,1.0,1.0,,Apartment / Unit / Flat,,"1, ,1, ,,",MELBOURNE,3000,2023-12-02 19:11:26,2023_12,"555 Flinders Street, Melbourne, VIC 3000",POINT (144.9564841 -37.8209635)
16775573,/3609-442-450-elizabeth-street-melbourne-vic-3000-16775573,$700 Per Week,2.0,1.0,,Apartment / Unit / Flat,,"2, ,1, ,,",MELBOURNE,3000,2023-12-02 19:11:26,2023_12,"450 Elizabeth Street, Melbourne, VIC 3000",POINT (144.9581722 -37.8032637)
16775906,/901-29-market-street-melbourne-vic-3000-16775906,$820 pw,2.0,2.0,,Apartment / Unit / Flat,,"2, ,2, ,,",MELBOURNE,3000,2023-12-02 19:11:26,2023_12,"29 Market Street, Melbourne, VIC 3000",POINT (144.9068062 -37.7450869)
15556955,/506-118-franklin-street-melbourne-vic-3000-15556955,$370,1.0,1.0,,Studio,,"1, ,1, ,,",MELBOURNE,3000,2023-12-02 19:11:26,2023_12,"118 Franklin Street, Melbourne, VIC 3000",POINT (144.9590204 -37.8082087)
15397839,/513-118-franklin-street-melbourne-vic-3000-15397839,$500,2.0,1.0,,Apartment / Unit / Flat,,"2, ,1, ,,",MELBOURNE,3000,2023-12-02 19:11:26,2023_12,"118 Franklin Street, Melbourne, VIC 3000",POINT (144.9590204 -37.8082087)
14562928,/501-585-la-trobe-street-melbourne-vic-3000-14562928,$540 per week,2.0,1.0,,Apartment / Unit / Flat,,"2, ,1, ,,",MELBOURNE,3000,2023-12-02 19:11:26,2023_12,"585 La Trobe Street, Melbourne, VIC 3000",POINT (144.9517693 -37.8132804)
16775942,/602-263-franklin-street-melbourne-vic-3000-16775942,$550 pw,1.0,1.0,,Apartment / Unit / Flat,,"1, ,1, ,,",MELBOURNE,3000,2023-12-02 19:11:26,2023_12,"263 Franklin Street, Melbourne, VIC 3000",POINT (144.963385 -37.8072473)
16771966,/5-21-lansdowne-road-st-kilda-east-vic-3183-16771966,$675 per week,2.0,1.0,1.0,Townhouse,,"2, ,1, ,1,",ST KILDA EAST,3183,2023-12-02 22:15:58,2023_12,"21 Lansdowne Road, St Kilda East, VIC 3183",POINT (145.0066736 -37.8626703)
