date,year,quarter,CPI (%/y),WPI (%/y),"PPI, Final Demand (%/y)",Unemployment rate (%),SFD (%/y),GSP quarterly components (%/y),State final demand (%/y),Household consumption (pp/y),Dwelling investment (pp/y),Business investment (pp/y),Government spending (pp/y),Population (%/y),Natural increase (pp/y),Net overseas migration (pp/y),Net interstate migration (pp/y),Mortgage rates (%),Savings rates (%),Cash rate (%),quarter_id
1949-09-01,1949,3,7.9,,,,,,,,,,,,,,,,,,1949Q3
1949-12-01,1949,4,10.5,,,,,,,,,,,,,,,,,,1949Q4
1950-03-01,1950,1,10.3,,,,,,,,,,,,,,,,,,1950Q1
1950-06-01,1950,2,10.0,,,,,,,,,,,,,,,,,,1950Q2
1950-09-01,1950,3,9.8,,,,,,,,,,,,,,,,,,1950Q3
1950-12-01,1950,4,9.5,,,,,,,,,,,,,,,,,,1950Q4
1951-03-01,1951,1,14.0,,,,,,,,,,,,,,,,,,1951Q1
1951-06-01,1951,2,15.9,,,,,,,,,,,,,,,,,,1951Q2
1951-09-01,1951,3,20.0,,,,,,,,,,,,,,,,,,1951Q3
1951-12-01,1951,4,26.1,,,,,,,,,,,,,,,,,,1951Q4
1952-03-01,1952,1,20.4,,,,,,,,,,,,,,,,,,1952Q1
1952-06-01,1952,2,21.6,,,,,,,,,,,,,,,,,,1952Q2
1952-09-01,1952,3,16.7,,,,,,,,,,,,,,,,,,1952Q3
1952-12-01,1952,4,8.6,,,,,,,,,,,,,,,,,,1952Q4
1953-03-01,1953,1,8.5,,,,,,,,,,,,,,,,,,1953Q1
1953-06-01,1953,2,4.8,,,,,,,,,,,,,,,,,,1953Q2
1953-09-01,1953,3,3.2,,,,,,,,,,,,,,,,,,1953Q3
1953-12-01,1953,4,3.2,,,,,,,,,,,,,,,,,,1953Q4
1954-03-01,1954,1,1.6,,,,,,,,,,,,,,,,,,1954Q1
1954-06-01,1954,2,0.0,,,,,,,,,,,,,,,,,,1954Q2
1954-09-01,1954,3,-1.5,,,,,,,,,,,,,,,,,,1954Q3
1954-12-01,1954,4,-1.5,,,,,,,,,,,,,,,,,,1954Q4
