5min,10min,15min,property_id,coordinates
,,,9278371.0,POINT (-37.680196 145.015103)
,,,17499601.0,POINT (-37.676537 144.989585)
,,,15908140.0,POINT (-37.679992 145.009696)
,,,17374500.0,POINT (-37.674994 145.027908)
,,,15943438.0,POINT (-37.666251 145.015864)
,,,17124475.0,POINT (-37.677635 145.009555)
,,,17538340.0,POINT (-37.678027 144.995562)
,,,17402038.0,POINT (-37.671911 145.019197)
,,,15965665.0,POINT (-37.665738 145.011154)
,,,17392719.0,POINT (-37.761809 144.999845)
,,,17536231.0,POINT (-37.756929 144.992015)
,,,17374557.0,POINT (-37.760959 145.007492)
,,,17390288.0,POINT (-37.753047 145.005457)
,,,15862240.0,POINT (-37.761167 144.993206)
,,,15470628.0,POINT (-37.760794 144.995445)
,,,15875101.0,POINT (-37.758901 145.023303)
,,,17661659.0,POINT (-37.756621 144.989288)
,,,17389389.0,POINT (-37.753388 145.008498)
,,,15852714.0,POINT (-37.753464 145.009402)
,,,15877172.0,POINT (-37.751716 144.983298)
,,,17147583.0,POINT (-37.761921 144.995138)
,,,17660338.0,POINT (-37.756312 145.006629)
,,,17381553.0,POINT (-37.75631 145.009126)
,,,17391032.0,POINT (-37.761147 145.004206)
,,,15862811.0,POINT (-37.756425 145.002608)
,,,16703908.0,POINT (-38.484895 142.978761)
,,,17252124.0,POINT (-37.84739 145.00419)
,,,17532136.0,POINT (-37.839582 145.013566)
,,,15966620.0,POINT (-37.847404 145.012474)
,,,17250050.0,POINT (-37.850134 145.019914)
,,,17535242.0,POINT (-37.84136 145.013682)
,,,17528450.0,POINT (-37.847248 145.010149)
,,,17582847.0,POINT (-37.842072 145.010418)
,,,17523519.0,POINT (-37.84296 145.008081)
,,,15962928.0,POINT (-37.832282 145.006586)
,,,15963694.0,POINT (-37.84646 145.004101)
,,,17517604.0,POINT (-37.848099 145.006694)
,,,15949948.0,POINT (-37.841788 145.013379)
,,,15948031.0,POINT (-37.849784 145.028072)
,,,17539989.0,POINT (-37.84863 145.008503)
,,,17582721.0,POINT (-37.838194 145.014608)
,,,15942099.0,POINT (-37.841162 145.01104)
,,,17518946.0,POINT (-37.841287 145.01207)
,,,16949239.0,POINT (-37.839752 145.015066)
,,,17579046.0,POINT (-37.8375 145.009873)
,,,16973611.0,POINT (-37.840604 145.006305)
,,,16363423.0,POINT (-37.843756 145.029744)
,,,16979172.0,POINT (-37.843736 145.030733)
