5min,10min,15min,property_id,coordinates
"POLYGON ((144.944803 -37.808848, 144.944661 -37.810192, 144.944616 -37.811857, 144.944746 -37.812193, 144.949354 -37.813027, 144.949592 -37.81292, 144.950844 -37.812231, 144.951737 -37.810731, 144.952211 -37.809659, 144.95228 -37.809462, 144.952376 -37.809193, 144.952453 -37.808127, 144.952291 -37.807806, 144.952065 -37.807715, 144.951732 -37.80764, 144.950444 -37.807353, 144.950317 -37.807329, 144.948548 -37.807059, 144.947582 -37.807097, 144.947445 -37.807103, 144.947148 -37.807114, 144.945042 -37.808049, 144.944978 -37.808144, 144.944896 -37.808379, 144.944803 -37.808848))","POLYGON ((144.941293 -37.806676, 144.940764 -37.811536, 144.940686 -37.812387, 144.940664 -37.813348, 144.940682 -37.813631, 144.940688 -37.813641, 144.940793 -37.813684, 144.942907 -37.814368, 144.944269 -37.814743, 144.944896 -37.814853, 144.946818 -37.81463, 144.952227 -37.815655, 144.952553 -37.815502, 144.952809 -37.815241, 144.956198 -37.810775, 144.956252 -37.810628, 144.956278 -37.808628, 144.955945 -37.807677, 144.955251 -37.805864, 144.955172 -37.805739, 144.953884 -37.804734, 144.952696 -37.804095, 144.952342 -37.804033, 144.952125 -37.804024, 144.947739 -37.803857, 144.945097 -37.804467, 144.94309 -37.80521, 144.94177 -37.805842, 144.941665 -37.805917, 144.941399 -37.80616, 144.941293 -37.806676))","POLYGON ((144.937642 -37.806103, 144.936662 -37.809538, 144.936588 -37.80989, 144.936461 -37.81497, 144.936546 -37.81532, 144.936624 -37.815404, 144.940757 -37.81842, 144.946365 -37.818509, 144.951078 -37.818177, 144.95335 -37.818963, 144.953857 -37.819211, 144.953965 -37.819249, 144.954023 -37.819229, 144.95428 -37.819038, 144.957742 -37.814375, 144.959177 -37.812309, 144.960652 -37.809485, 144.960376 -37.808086, 144.959818 -37.806188, 144.959703 -37.805835, 144.959611 -37.805643, 144.957607 -37.803808, 144.955053 -37.801252, 144.953928 -37.800488, 144.948575 -37.799998, 144.945574 -37.800875, 144.944116 -37.801422, 144.943458 -37.801664, 144.941296 -37.802431, 144.937753 -37.805761, 144.937642 -37.806103))",17473005.0,POINT (-37.810065 144.948442)
"POLYGON ((144.946929 -37.810986, 144.946884 -37.811185, 144.946873 -37.811268, 144.947003 -37.811604, 144.950778 -37.813424, 144.951197 -37.813554, 144.951534 -37.813621, 144.951621 -37.813637, 144.951946 -37.813482, 144.952146 -37.81328, 144.954082 -37.810401, 144.954175 -37.810053, 144.953295 -37.80879, 144.953136 -37.808725, 144.952349 -37.808422, 144.952292 -37.808401, 144.951529 -37.808182, 144.951432 -37.808154, 144.951118 -37.80809, 144.949672 -37.807814, 144.949554 -37.807797, 144.949357 -37.807773, 144.94826 -37.80765, 144.948083 -37.807848, 144.947854 -37.808126, 144.946929 -37.810986))","POLYGON ((144.943809 -37.80801, 144.942397 -37.812389, 144.942549 -37.812823, 144.942752 -37.813144, 144.947254 -37.815119, 144.952892 -37.817073, 144.952974 -37.817094, 144.953164 -37.817141, 144.953458 -37.817148, 144.953564 -37.817116, 144.956845 -37.812615, 144.957514 -37.811549, 144.957544 -37.811493, 144.958244 -37.810187, 144.958145 -37.809841, 144.957025 -37.807656, 144.956941 -37.807552, 144.955958 -37.806411, 144.955692 -37.806248, 144.952627 -37.804803, 144.952178 -37.804698, 144.952044 -37.804683, 144.947981 -37.804672, 144.9476 -37.804675, 144.945003 -37.805406, 144.944766 -37.805478, 144.944356 -37.805617, 144.944131 -37.805714, 144.94399 -37.806045, 144.943809 -37.80801))","POLYGON ((144.938167 -37.810348, 144.938176 -37.814269, 144.938322 -37.814599, 144.938451 -37.814789, 144.938967 -37.815018, 144.940874 -37.815524, 144.945531 -37.817623, 144.946247 -37.817917, 144.949828 -37.819001, 144.952301 -37.819847, 144.952397 -37.81988, 144.954487 -37.820596, 144.954571 -37.820621, 144.954791 -37.820662, 144.954857 -37.820663, 144.955183 -37.82051, 144.955521 -37.820104, 144.958529 -37.816081, 144.958696 -37.815853, 144.960005 -37.813891, 144.961856 -37.810485, 144.962532 -37.809271, 144.962688 -37.808989, 144.962685 -37.808681, 144.96265 -37.808599, 144.961058 -37.806501, 144.956617 -37.802705, 144.953207 -37.800981, 144.953147 -37.800956, 144.952775 -37.800944, 144.948242 -37.800963, 144.945855 -37.801594, 144.945444 -37.801739, 144.944354 -37.802163, 144.94355 -37.802517, 144.943429 -37.80258, 144.943288 -37.802658, 144.94226 -37.803269, 144.941979 -37.803437, 144.94124 -37.803874, 144.940565 -37.804482, 144.939662 -37.8058, 144.938167 -37.810348))",16779093.0,POINT (-37.810174 144.951061)
"POLYGON ((145.59893 -38.596289, 145.599871 -38.597887, 145.601069 -38.598358, 145.601862 -38.598421, 145.603444 -38.598563, 145.604235 -38.598642, 145.60517 -38.598093, 145.606216 -38.597393, 145.606704 -38.595359, 145.606697 -38.595285, 145.606456 -38.595017, 145.601549 -38.593458, 145.601192 -38.593411, 145.600472 -38.593827, 145.599074 -38.595914, 145.598918 -38.596238, 145.59893 -38.596289))","POLYGON ((145.595222 -38.595658, 145.595332 -38.596129, 145.596021 -38.598682, 145.596275 -38.598938, 145.599797 -38.601397, 145.600153 -38.601451, 145.604086 -38.600657, 145.609004 -38.599415, 145.609092 -38.5993, 145.609187 -38.598844, 145.610224 -38.593212, 145.610105 -38.592873, 145.609329 -38.592531, 145.608972 -38.592482, 145.606408 -38.592389, 145.601981 -38.590372, 145.60141 -38.590176, 145.601054 -38.590123, 145.599254 -38.591184, 145.596666 -38.592845, 145.595255 -38.594698, 145.595098 -38.595022, 145.595222 -38.595658))","POLYGON ((145.591144 -38.594742, 145.593295 -38.599923, 145.594327 -38.601601, 145.595963 -38.602634, 145.599342 -38.604835, 145.599658 -38.604992, 145.599667 -38.604997, 145.599856 -38.605077, 145.60045 -38.604806, 145.603352 -38.603237, 145.606525 -38.602736, 145.610109 -38.602482, 145.612912 -38.601441, 145.613064 -38.601115, 145.613115 -38.600883, 145.61245 -38.59701, 145.613592 -38.591415, 145.613889 -38.591034, 145.613969 -38.59093, 145.613684 -38.59071, 145.609861 -38.58881, 145.609506 -38.588755, 145.603544 -38.588855, 145.602102 -38.58644, 145.601984 -38.586349, 145.601729 -38.586403, 145.598574 -38.587805, 145.596306 -38.589458, 145.594487 -38.590807, 145.591154 -38.592753, 145.591002 -38.593079, 145.591144 -38.594742))",17116361.0,POINT (-38.595915 145.602643)
"POLYGON ((144.99775 -37.776812, 144.999612 -37.779647, 144.999807 -37.779949, 144.999862 -37.779989, 145.001668 -37.780456, 145.002022 -37.780521, 145.005011 -37.77915, 145.00599 -37.778644, 145.006933 -37.777921, 145.007055 -37.77782, 145.007064 -37.777767, 145.006974 -37.777563, 145.005995 -37.776327, 145.003995 -37.774314, 145.003804 -37.774155, 145.002709 -37.773912, 145.002356 -37.773842, 145.002238 -37.773894, 145.002121 -37.773947, 145.001866 -37.774066, 145.001752 -37.774132, 144.999834 -37.775246, 144.999771 -37.775281, 144.997919 -37.776375, 144.997862 -37.776411, 144.997793 -37.776455, 144.99775 -37.776812))","POLYGON ((144.9932 -37.776704, 144.99588 -37.781039, 144.995947 -37.781132, 144.997052 -37.782349, 144.998932 -37.78296, 144.999285 -37.783031, 145.003933 -37.783653, 145.004146 -37.783363, 145.005049 -37.782148, 145.009087 -37.779727, 145.010407 -37.779215, 145.011475 -37.778467, 145.011518 -37.77811, 145.011181 -37.777581, 145.008956 -37.775057, 145.00888 -37.774974, 145.006865 -37.772824, 145.005013 -37.770793, 145.004516 -37.770529, 145.004163 -37.770461, 145.001899 -37.771088, 144.999913 -37.771921, 144.99966 -37.772054, 144.996488 -37.773905, 144.996324 -37.774, 144.995189 -37.774649, 144.995087 -37.774709, 144.993447 -37.775722, 144.993085 -37.77596, 144.993055 -37.775995, 144.9932 -37.776704))","POLYGON ((144.989145 -37.775399, 144.988955 -37.776587, 144.988967 -37.77707, 144.992429 -37.78174, 144.994966 -37.785105, 144.995161 -37.785293, 144.995382 -37.785426, 144.997284 -37.785831, 144.997785 -37.785914, 144.997916 -37.78591, 145.00311 -37.785561, 145.007787 -37.784134, 145.010025 -37.782774, 145.013167 -37.78092, 145.016063 -37.779198, 145.016148 -37.779098, 145.016151 -37.778745, 145.016148 -37.778738, 145.016062 -37.778577, 145.013744 -37.775526, 145.010609 -37.771974, 145.006934 -37.768215, 145.006065 -37.767661, 145.003643 -37.767368, 145.002468 -37.767559, 144.999065 -37.769115, 144.997553 -37.769925, 144.997231 -37.770107, 144.99718 -37.770136, 144.996796 -37.77036, 144.991769 -37.773329, 144.991704 -37.773368, 144.990627 -37.774018, 144.989481 -37.77476, 144.989288 -37.774899, 144.989145 -37.775399))",15935275.0,POINT (-37.777275 145.002433)
"POLYGON ((144.995767 -37.769157, 144.995774 -37.769233, 144.997364 -37.770939, 144.998158 -37.77178, 144.998564 -37.77219, 144.998582 -37.772192, 144.999727 -37.771655, 145.004406 -37.770692, 145.004708 -37.770593, 145.005148 -37.770288, 145.005191 -37.76993, 145.005152 -37.769888, 145.00406 -37.768709, 145.001623 -37.766479, 145.001466 -37.766461, 145.000836 -37.766451, 144.999153 -37.766716, 144.998384 -37.767202, 144.998312 -37.76725, 144.995886 -37.768784, 144.995803 -37.768874, 144.995767 -37.769157))","POLYGON ((144.990995 -37.768475, 144.991081 -37.768639, 144.991867 -37.769792, 144.992751 -37.771054, 144.993731 -37.772074, 144.994491 -37.772812, 144.997635 -37.775685, 144.997987 -37.775761, 145.003777 -37.774289, 145.003868 -37.77425, 145.005104 -37.773634, 145.005961 -37.773167, 145.006085 -37.773092, 145.009249 -37.771218, 145.009836 -37.770845, 145.009879 -37.770487, 145.009817 -37.770397, 145.008264 -37.768249, 145.007756 -37.767563, 145.004313 -37.764545, 145.002947 -37.763414, 145.002546 -37.763311, 145.002191 -37.763251, 145.00128 -37.763141, 145.000139 -37.763019, 144.99996 -37.762999, 144.999787 -37.763007, 144.999666 -37.76306, 144.99955 -37.763116, 144.997215 -37.764356, 144.994535 -37.766078, 144.992033 -37.76754, 144.991265 -37.768104, 144.991 -37.76845, 144.990995 -37.768475))","POLYGON ((144.986465 -37.767999, 144.986928 -37.768833, 144.986997 -37.768957, 144.988327 -37.770643, 144.98958 -37.772134, 144.991312 -37.774035, 144.991683 -37.774443, 144.992743 -37.775614, 144.99334 -37.776197, 144.996782 -37.779366, 144.996837 -37.779409, 144.996888 -37.779415, 144.997272 -37.779456, 144.997438 -37.779389, 145.002499 -37.777433, 145.004911 -37.77698, 145.005187 -37.776846, 145.007178 -37.77583, 145.011341 -37.773378, 145.011445 -37.773314, 145.014499 -37.771407, 145.014615 -37.771066, 145.01246 -37.768026, 145.011957 -37.767497, 145.009702 -37.765179, 145.009594 -37.765073, 145.009015 -37.764517, 145.007862 -37.763546, 145.005803 -37.761852, 145.002405 -37.759575, 145.000778 -37.759323, 145.000598 -37.759303, 145.000418 -37.75929, 145.000265 -37.759292, 145.00023 -37.75931, 144.996457 -37.761446, 144.995612 -37.761948, 144.994167 -37.762803, 144.990968 -37.764752, 144.987771 -37.766629, 144.986531 -37.767584, 144.986505 -37.767641, 144.986465 -37.767999))",15954138.0,POINT (-37.769652 145.000472)
"POLYGON ((145.007577 -37.7705, 145.008888 -37.772249, 145.011099 -37.773931, 145.011452 -37.774003, 145.01189 -37.773774, 145.015784 -37.771569, 145.015825 -37.771211, 145.01442 -37.768181, 145.012233 -37.766533, 145.011878 -37.766472, 145.011809 -37.766479, 145.010402 -37.767332, 145.009779 -37.76772, 145.009731 -37.76776, 145.007619 -37.770142, 145.007577 -37.7705))","POLYGON ((145.002605 -37.769869, 145.005794 -37.773147, 145.008967 -37.776615, 145.010147 -37.777867, 145.010503 -37.777921, 145.01547 -37.775254, 145.016923 -37.774434, 145.017022 -37.774361, 145.020263 -37.771999, 145.020292 -37.771914, 145.020334 -37.771557, 145.017843 -37.767405, 145.016992 -37.766533, 145.016896 -37.766435, 145.016168 -37.765688, 145.015985 -37.765503, 145.01286 -37.762819, 145.012505 -37.762758, 145.012395 -37.762819, 145.011452 -37.763352, 145.008454 -37.765118, 145.007279 -37.765828, 145.005759 -37.766756, 145.004834 -37.767431, 145.002606 -37.769509, 145.002605 -37.769869))","POLYGON ((144.99796 -37.76934, 145.001096 -37.772587, 145.002879 -37.774546, 145.002959 -37.774636, 145.003046 -37.774731, 145.004937 -37.776817, 145.005798 -37.777738, 145.007162 -37.779144, 145.008559 -37.780367, 145.00956 -37.781215, 145.009657 -37.781281, 145.009752 -37.781322, 145.010107 -37.781386, 145.015041 -37.778854, 145.016236 -37.778272, 145.021416 -37.775624, 145.024991 -37.772572, 145.025031 -37.772214, 145.025025 -37.772092, 145.0222 -37.767499, 145.022124 -37.767401, 145.020028 -37.765244, 145.019952 -37.765165, 145.017885 -37.763039, 145.017779 -37.76293, 145.016611 -37.761789, 145.013485 -37.75906, 145.013301 -37.75904, 145.013129 -37.759044, 145.012982 -37.75909, 145.00818 -37.761911, 145.007632 -37.762223, 145.005294 -37.763589, 145.004556 -37.764026, 145.001876 -37.76566, 145.001648 -37.765798, 144.998003 -37.768983, 144.99796 -37.76934))",15952466.0,POINT (-37.770237 145.011744)
"POLYGON ((144.989088 -37.768334, 144.988861 -37.770348, 144.988817 -37.770706, 144.99007 -37.772192, 144.990579 -37.772694, 144.990932 -37.772765, 144.994036 -37.772026, 144.995566 -37.771121, 144.996026 -37.770859, 144.996069 -37.770502, 144.99598 -37.768871, 144.995976 -37.768792, 144.995056 -37.768258, 144.992248 -37.766552, 144.991895 -37.766482, 144.991591 -37.766611, 144.990795 -37.767034, 144.98921 -37.767933, 144.989136 -37.767977, 144.989088 -37.768334))","POLYGON ((144.984413 -37.767707, 144.984781 -37.771, 144.984807 -37.771146, 144.985754 -37.772497, 144.989149 -37.775763, 144.989872 -37.776491, 144.99023 -37.77645, 144.993476 -37.775711, 144.993811 -37.775591, 144.995806 -37.7743, 144.999281 -37.772275, 144.999411 -37.77206, 145.000726 -37.769675, 145.00077 -37.769438, 145.000659 -37.769265, 144.999879 -37.768286, 144.999109 -37.767405, 144.99832 -37.766574, 144.997133 -37.765537, 144.99299 -37.762866, 144.992644 -37.762767, 144.99203 -37.763011, 144.990408 -37.763928, 144.9876 -37.765527, 144.984465 -37.767351, 144.984413 -37.767707))","POLYGON ((144.97971 -37.767551, 144.98221 -37.771216, 144.983173 -37.774249, 144.986439 -37.77833, 144.986894 -37.77917, 144.987037 -37.779308, 144.987278 -37.779518, 144.98731 -37.779543, 144.987631 -37.779589, 144.991619 -37.779886, 144.992031 -37.779828, 144.996346 -37.777522, 145.001245 -37.774435, 145.004083 -37.772771, 145.005336 -37.77031, 145.005378 -37.769952, 145.005355 -37.769912, 145.002657 -37.766594, 145.002511 -37.766432, 145.00235 -37.766263, 145.001833 -37.765735, 144.998433 -37.762304, 144.997994 -37.761892, 144.993676 -37.75904, 144.993331 -37.758939, 144.992424 -37.759455, 144.992309 -37.759522, 144.991723 -37.759867, 144.986459 -37.7626, 144.983427 -37.764051, 144.980236 -37.766643, 144.979749 -37.767193, 144.97971 -37.767551))",15941373.0,POINT (-37.769755 144.992123)
"POLYGON ((145.00385 -37.777551, 145.003943 -37.77909, 145.006247 -37.780851, 145.006321 -37.780902, 145.006676 -37.780966, 145.008928 -37.780986, 145.009877 -37.780449, 145.011641 -37.77924, 145.011708 -37.779145, 145.011994 -37.778529, 145.012037 -37.778171, 145.011331 -37.777295, 145.010005 -37.775819, 145.009727 -37.775591, 145.008828 -37.774968, 145.008752 -37.774934, 145.0084 -37.774859, 145.008054 -37.774876, 145.006282 -37.775749, 145.005198 -37.776359, 145.003952 -37.77715, 145.003893 -37.777194, 145.00385 -37.777551))","POLYGON ((144.999164 -37.776983, 144.999401 -37.780027, 144.999407 -37.780034, 144.999966 -37.780371, 145.003253 -37.782352, 145.005589 -37.784216, 145.006494 -37.784148, 145.006714 -37.784128, 145.007862 -37.784018, 145.00976 -37.783803, 145.009871 -37.783748, 145.010464 -37.783437, 145.012957 -37.78203, 145.014468 -37.781076, 145.014563 -37.781016, 145.016566 -37.7792, 145.016634 -37.779099, 145.016634 -37.778739, 145.016625 -37.778679, 145.014265 -37.775584, 145.014187 -37.775498, 145.012371 -37.773552, 145.011598 -37.772824, 145.011498 -37.772737, 145.011409 -37.772661, 145.009515 -37.771123, 145.009163 -37.771051, 145.007628 -37.771866, 145.003704 -37.773918, 145.003067 -37.774286, 144.999251 -37.776537, 144.999207 -37.776626, 144.999164 -37.776983))","POLYGON ((144.994489 -37.776324, 144.994478 -37.776415, 144.995418 -37.780146, 144.995646 -37.781015, 144.995713 -37.781106, 144.996118 -37.781593, 144.996735 -37.782314, 145.001104 -37.785165, 145.001603 -37.785433, 145.001906 -37.785514, 145.003363 -37.785682, 145.008665 -37.786919, 145.009208 -37.787113, 145.009372 -37.787088, 145.009542 -37.787015, 145.009607 -37.786987, 145.011818 -37.786031, 145.015054 -37.784612, 145.015148 -37.784559, 145.019169 -37.780748, 145.02086 -37.779488, 145.021193 -37.778955, 145.021234 -37.778597, 145.02117 -37.77853, 145.021105 -37.778461, 145.020118 -37.777547, 145.016979 -37.773995, 145.016899 -37.773902, 145.014256 -37.771001, 145.013198 -37.770053, 145.010405 -37.767825, 145.009341 -37.76772, 145.006958 -37.768918, 145.006646 -37.76908, 145.004523 -37.77021, 145.002773 -37.771169, 145.001184 -37.772065, 145.001082 -37.772126, 144.998927 -37.7734, 144.998466 -37.77367, 144.994532 -37.775966, 144.994489 -37.776324))",15954526.0,POINT (-37.778286 145.007822)
"POLYGON ((144.998747 -37.773703, 144.998705 -37.774061, 144.998765 -37.774143, 144.998853 -37.774243, 144.999585 -37.774988, 145.002162 -37.7769, 145.002587 -37.776971, 145.003441 -37.776517, 145.005948 -37.775069, 145.006063 -37.774997, 145.006146 -37.774927, 145.006188 -37.774569, 145.006253 -37.772844, 145.006146 -37.772654, 145.004989 -37.771433, 145.004449 -37.770879, 145.004379 -37.770831, 145.004025 -37.770763, 145.001899 -37.771088, 144.999542 -37.771879, 144.999444 -37.771932, 144.999308 -37.772012, 144.999173 -37.772167, 144.998747 -37.773703))","POLYGON ((144.994587 -37.773729, 144.994541 -37.774086, 144.99646 -37.776563, 144.999902 -37.779589, 145.000119 -37.779765, 145.001728 -37.780128, 145.002082 -37.780193, 145.002599 -37.779963, 145.00564 -37.778535, 145.006993 -37.777834, 145.00955 -37.776479, 145.010832 -37.775473, 145.010882 -37.775116, 145.010912 -37.773386, 145.010833 -37.773206, 145.00861 -37.77078, 145.006657 -37.768524, 145.005725 -37.767884, 145.003879 -37.767647, 145.00286 -37.767772, 145.002722 -37.767798, 144.998935 -37.768883, 144.997985 -37.769438, 144.997211 -37.76988, 144.996888 -37.770065, 144.996837 -37.770095, 144.996453 -37.770319, 144.995371 -37.770996, 144.995336 -37.771024, 144.994587 -37.773729))","POLYGON ((144.990091 -37.773744, 144.992592 -37.777072, 144.996455 -37.781307, 144.997464 -37.782395, 144.997572 -37.782508, 144.998229 -37.782675, 145.003561 -37.783354, 145.003825 -37.783109, 145.005231 -37.781697, 145.010171 -37.779516, 145.010632 -37.779221, 145.015329 -37.776161, 145.015528 -37.776014, 145.015565 -37.775656, 145.015655 -37.773933, 145.015539 -37.773753, 145.014226 -37.772356, 145.010726 -37.767891, 145.010691 -37.767851, 145.010075 -37.767211, 145.009088 -37.766192, 145.0089 -37.766001, 145.008777 -37.765918, 145.00542 -37.764707, 145.004335 -37.764412, 145.00398 -37.764352, 145.00244 -37.764521, 144.999408 -37.765222, 144.999283 -37.765276, 144.999156 -37.765332, 144.998588 -37.765648, 144.998409 -37.765755, 144.99741 -37.766349, 144.997322 -37.766401, 144.993848 -37.768536, 144.992351 -37.769428, 144.992274 -37.769547, 144.990473 -37.772853, 144.990237 -37.773364, 144.990096 -37.773719, 144.990091 -37.773744))",15908857.0,POINT (-37.773557 145.002658)
"POLYGON ((145.13936 -37.906109, 145.139321 -37.906467, 145.140299 -37.907798, 145.141491 -37.908916, 145.141844 -37.908988, 145.142812 -37.908387, 145.144925 -37.907141, 145.146075 -37.904995, 145.146117 -37.904637, 145.144439 -37.902674, 145.143217 -37.901642, 145.142868 -37.901554, 145.142502 -37.901747, 145.14009 -37.903382, 145.13936 -37.906109))","POLYGON ((145.134679 -37.905808, 145.134703 -37.906023, 145.136066 -37.90803, 145.137463 -37.910066, 145.140408 -37.912495, 145.140757 -37.912583, 145.140802 -37.912594, 145.141156 -37.912661, 145.145486 -37.910529, 145.146822 -37.909422, 145.147869 -37.908567, 145.14973 -37.906418, 145.1499 -37.906189, 145.149934 -37.903278, 145.149901 -37.902919, 145.146362 -37.900166, 145.144774 -37.898699, 145.143796 -37.897996, 145.143442 -37.89793, 145.143263 -37.898008, 145.142 -37.89866, 145.138871 -37.900555, 145.138695 -37.900658, 145.13861 -37.900719, 145.138572 -37.901077, 145.134733 -37.905626, 145.134679 -37.905808))","POLYGON ((145.130003 -37.905475, 145.131106 -37.907427, 145.133671 -37.91165, 145.135537 -37.913114, 145.135826 -37.913329, 145.140051 -37.916133, 145.140308 -37.916247, 145.140422 -37.916237, 145.145256 -37.913527, 145.150183 -37.911089, 145.151557 -37.909957, 145.151598 -37.909599, 145.151198 -37.907078, 145.154755 -37.903013, 145.154798 -37.902656, 145.153505 -37.902368, 145.149134 -37.900076, 145.147967 -37.898762, 145.147179 -37.897941, 145.144564 -37.89435, 145.1445 -37.894289, 145.144239 -37.894098, 145.141788 -37.895424, 145.1373 -37.898124, 145.134659 -37.899724, 145.134172 -37.900018, 145.133994 -37.900127, 145.131875 -37.904042, 145.130047 -37.905118, 145.130003 -37.905475))",17431988.0,POINT (-37.90529 145.142502)
