5min,10min,15min,property_id,coordinates
,,,16006577.0,POINT (144.930688 -37.684764)
,,,16018797.0,POINT (144.918957 -37.692522)
,,,16020117.0,POINT (144.923498 -37.69363)
,,,16021905.0,POINT (144.930341 -37.684437)
,,,16024776.0,POINT (144.930895 -37.69039)
,,,15715971.0,POINT (145.121894 -37.921719)
,,,15915733.0,POINT (145.12923 -37.928055)
,,,15984357.0,POINT (145.111521 -37.919709)
,,,15994685.0,POINT (145.129508 -37.922477)
,,,16015180.0,POINT (145.128719 -37.918789)
,,,16019254.0,POINT (145.120527 -37.914125)
,,,16022646.0,POINT (145.132275 -37.923469)
,,,16023042.0,POINT (145.128484 -37.908391)
,,,16038825.0,POINT (145.118939 -37.924321)
,,,15981840.0,POINT (144.958267 -37.735099)
,,,16005593.0,POINT (144.950616 -37.74529)
,,,16010678.0,POINT (144.964044 -37.750594)
,,,16015406.0,POINT (144.967973 -37.74014)
,,,16018115.0,POINT (144.977197 -37.742271)
,,,16032141.0,POINT (144.950325 -37.738046)
,,,16033467.0,POINT (144.970277 -37.747651)
,,,16015389.0,POINT (143.582796 -38.362643)
,,,16016859.0,POINT (143.574184 -38.331587)
,,,16037756.0,POINT (143.572883 -38.334707)
,,,16038618.0,POINT (143.572778 -38.337236)
,,,15974597.0,POINT (144.772511 -37.773023)
,,,15979601.0,POINT (144.770389 -37.770004)
,,,16008336.0,POINT (144.77066 -37.779068)
,,,16010639.0,POINT (144.770593 -37.770043)
,,,16012921.0,POINT (144.762552 -37.769154)
,,,16013104.0,POINT (144.771032 -37.776702)
,,,16016189.0,POINT (144.77003 -37.771736)
,,,16019431.0,POINT (144.757046 -37.768227)
,,,16031369.0,POINT (144.77553 -37.757286)
,,,16012864.0,POINT (143.835168 -37.541886)
,,,16014740.0,POINT (143.80724 -37.584482)
,,,16042631.0,POINT (143.822182 -37.583679)
,,,16043031.0,POINT (143.819452 -37.584736)
,,,15801627.0,POINT (144.746994 -36.136894)
,,,15988721.0,POINT (144.75585 -36.125773)
,,,16002470.0,POINT (144.750088 -36.132184)
,,,16014815.0,POINT (144.736317 -36.142022)
,,,16022502.0,POINT (144.754304 -36.148784)
,,,16022564.0,POINT (144.72447 -36.150195)
,,,16025042.0,POINT (144.725418 -36.142459)
,,,16032878.0,POINT (144.737227 -36.137111)
,,,16046726.0,POINT (144.745571 -36.131441)
,,,16046897.0,POINT (144.759763 -36.133653)
,,,15988182.0,POINT (145.138952 -38.144454)
,,,15988947.0,POINT (145.151182 -38.156355)
,,,16002304.0,POINT (145.152022 -38.144423)
,,,16008331.0,POINT (145.129102 -38.146243)
,,,16015569.0,POINT (145.138091 -38.139791)
,,,16025323.0,POINT (145.123669 -38.136434)
,,,16030222.0,POINT (145.133792 -38.14575)
,,,16031692.0,POINT (145.164042 -38.158051)
,,,16037233.0,POINT (145.134505 -38.131861)
,,,15952008.0,POINT (144.355811 -38.140737)
,,,15968144.0,POINT (144.360049 -38.146073)
,,,15982035.0,POINT (144.355191 -38.134637)
,,,16007421.0,POINT (144.360676 -38.14902)
,,,16008606.0,POINT (144.355552 -38.15073)
,,,16019739.0,POINT (144.363051 -38.144766)
,,,16038418.0,POINT (144.351992 -38.153983)
,,,15284687.0,POINT (145.169736 -37.88128)
,,,15483057.0,POINT (145.168192 -37.867914)
,,,15986451.0,POINT (145.157172 -37.902936)
,,,16018011.0,POINT (145.150523 -37.866813)
,,,16019592.0,POINT (145.178105 -37.87821)
,,,16023912.0,POINT (145.160655 -37.881545)
,,,16025405.0,POINT (145.156333 -37.898382)
,,,16029348.0,POINT (145.168613 -37.887514)
,,,16032452.0,POINT (145.151874 -37.879971)
,,,15196082.0,POINT (144.261224 -36.757188)
,,,15981743.0,POINT (144.295099 -36.735226)
,,,16027749.0,POINT (144.285486 -36.746314)
,,,16033583.0,POINT (144.265965 -36.742799)
,,,16034571.0,POINT (144.280888 -36.738986)
,,,16035777.0,POINT (144.318562 -36.740236)
,,,16036002.0,POINT (144.313166 -36.764172)
,,,16037195.0,POINT (144.294353 -36.769266)
,,,16007249.0,POINT (145.050189 -37.761482)
,,,16015732.0,POINT (145.038416 -37.775998)
,,,16017978.0,POINT (145.036681 -37.763102)
,,,16020053.0,POINT (145.040561 -37.765658)
,,,16027544.0,POINT (145.037119 -37.759267)
,,,15983262.0,POINT (144.885061 -37.690504)
,,,15990410.0,POINT (144.877383 -37.699496)
,,,16006780.0,POINT (144.874138 -37.727272)
,,,16016558.0,POINT (144.890915 -37.735252)
,,,16019910.0,POINT (144.876579 -37.704664)
,,,16033873.0,POINT (144.875937 -37.733444)
,,,16034122.0,POINT (144.853919 -37.747476)
,,,15882593.0,POINT (144.251175 -36.737469)
,,,16040569.0,POINT (144.35076 -36.812207)
,,,16041844.0,POINT (144.27957 -36.757608)
,,,16043773.0,POINT (144.310027 -36.755704)
,,,16044307.0,POINT (144.3557 -36.810002)
,,,16045307.0,POINT (144.322669 -36.696377)
,,,14568616.0,POINT (145.064371 -37.872357)
,,,15749951.0,POINT (145.085444 -37.875017)
,,,15902441.0,POINT (145.062902 -37.884489)
,,,15988264.0,POINT (145.051396 -37.872513)
,,,16017395.0,POINT (145.047481 -37.876055)
,,,16024885.0,POINT (145.063578 -37.872968)
