5min,10min,15min,property_id,coordinates
,,,15764468.0,POINT (145.270701 -37.862534)
,,,15951802.0,POINT (145.298953 -37.853555)
,,,15943580.0,POINT (145.292412 -37.868276)
,,,15933100.0,POINT (145.288237 -37.864891)
,,,15963244.0,POINT (145.304435 -37.843415)
,,,15966028.0,POINT (145.27527 -37.856482)
,,,15965095.0,POINT (145.283745 -37.8577)
,,,15959208.0,POINT (145.276813 -37.856349)
,,,15925173.0,POINT (145.124742 -37.809458)
,,,15933449.0,POINT (145.122788 -37.813088)
,,,14703849.0,POINT (145.128283 -37.812401)
,,,15949591.0,POINT (145.139296 -37.801328)
,,,15893592.0,POINT (145.126206 -37.81165)
,,,15924163.0,POINT (145.127946 -37.812035)
,,,15827047.0,POINT (145.130625 -37.805883)
,,,15879814.0,POINT (143.918397 -37.550284)
,,,15796559.0,POINT (143.881666 -37.560249)
,,,15887132.0,POINT (143.832752 -37.543412)
,,,15882741.0,POINT (144.960709 -37.777546)
,,,15099012.0,POINT (144.969811 -37.771968)
,,,15875521.0,POINT (144.95373 -37.77321)
,,,13658714.0,POINT (144.950318 -37.765781)
,,,15878536.0,POINT (144.963567 -37.759614)
,,,15894113.0,POINT (144.972108 -37.770333)
,,,15886268.0,POINT (144.972108 -37.770333)
,,,15271314.0,POINT (144.975995 -37.777971)
,,,15881853.0,POINT (144.979469 -37.762719)
,,,15873839.0,POINT (144.974457 -37.760233)
,,,15862358.0,POINT (144.975995 -37.777971)
,,,15208495.0,POINT (145.044471 -37.695436)
,,,15513969.0,POINT (145.049591 -37.709573)
,,,15884644.0,POINT (145.049591 -37.709573)
,,,15892915.0,POINT (145.057767 -37.700548)
,,,15892752.0,POINT (145.05051 -37.71163)
,,,15891585.0,POINT (145.053288 -37.685185)
,,,15888315.0,POINT (145.055635 -37.696172)
,,,15890189.0,POINT (145.057767 -37.700548)
,,,15942099.0,POINT (145.01104 -37.841162)
,,,15963420.0,POINT (145.014778 -37.841612)
,,,7065183.0,POINT (145.017324 -37.841049)
,,,15966620.0,POINT (145.012474 -37.847404)
,,,15904230.0,POINT (144.995971 -37.819774)
,,,15899130.0,POINT (145.009515 -37.811606)
,,,7530392.0,POINT (145.013556 -37.815124)
,,,15903170.0,POINT (145.003879 -37.819635)
,,,11322568.0,POINT (144.998342 -37.824536)
,,,15904445.0,POINT (144.998618 -37.830904)
,,,15295215.0,POINT (144.995547 -37.817008)
,,,10465730.0,POINT (145.002534 -37.812876)
,,,15902627.0,POINT (144.992796 -37.811916)
,,,15893567.0,POINT (144.998618 -37.830904)
,,,15891492.0,POINT (145.00054 -37.819275)
,,,15295113.0,POINT (144.995547 -37.817008)
,,,15896259.0,POINT (145.009352 -37.812662)
,,,14593990.0,POINT (144.989158 -37.837212)
,,,15896257.0,POINT (144.997116 -37.843744)
,,,15303923.0,POINT (144.994691 -37.83777)
,,,15899524.0,POINT (144.990415 -37.835296)
,,,15335880.0,POINT (144.994691 -37.83777)
,,,15762267.0,POINT (144.994258 -37.840297)
,,,15897951.0,POINT (144.999733 -37.837292)
,,,15898316.0,POINT (144.983903 -37.834095)
,,,15851209.0,POINT (144.985634 -37.833727)
,,,15900756.0,POINT (144.984957 -37.845053)
,,,15890065.0,POINT (145.000434 -37.843406)
,,,15891146.0,POINT (144.992065 -37.836054)
,,,15516225.0,POINT (144.993941 -37.837978)
,,,15945514.0,POINT (145.034263 -37.829602)
,,,15891974.0,POINT (145.034083 -37.830545)
,,,15952986.0,POINT (145.045284 -37.820144)
,,,15954063.0,POINT (145.020669 -37.812955)
,,,15938326.0,POINT (145.031704 -37.822814)
,,,15346720.0,POINT (145.150174 -37.850535)
,,,15819001.0,POINT (145.156646 -37.856853)
,,,15917590.0,POINT (145.136505 -37.846865)
,,,15881074.0,POINT (145.149075 -37.849424)
,,,15862279.0,POINT (145.155022 -37.850093)
,,,15931733.0,POINT (145.157509 -37.859737)
,,,15950021.0,POINT (145.13533 -37.849861)
,,,15945308.0,POINT (145.152392 -37.850291)
,,,15921122.0,POINT (145.156172 -37.853967)
,,,11786965.0,POINT (144.274979 -36.742206)
,,,15914480.0,POINT (144.291486 -36.781278)
,,,15924431.0,POINT (144.2951 -36.783905)
,,,13268035.0,POINT (144.288362 -36.784153)
,,,15956765.0,POINT (144.286663 -36.779318)
,,,15601963.0,POINT (144.29401 -36.781272)
,,,15894132.0,POINT (144.292824 -36.773103)
,,,14959125.0,POINT (144.288387 -36.782601)
,,,15907048.0,POINT (144.289064 -36.795088)
,,,15882353.0,POINT (144.261332 -36.734194)
,,,15889000.0,POINT (144.255458 -36.727488)
,,,15897808.0,POINT (144.371557 -36.889348)
,,,15898056.0,POINT (144.203057 -36.749312)
,,,14036258.0,POINT (144.968011 -37.680168)
,,,15505392.0,POINT (144.956352 -37.675394)
,,,15953110.0,POINT (144.951432 -37.668252)
,,,15452993.0,POINT (144.958832 -37.538083)
,,,15478062.0,POINT (144.96658 -37.709242)
,,,15915330.0,POINT (144.968022 -37.713471)
,,,15958748.0,POINT (144.963643 -37.704838)
,,,15920800.0,POINT (144.93354 -37.595093)
,,,14663854.0,POINT (144.930421 -37.601609)
,,,15895383.0,POINT (144.933042 -37.590804)
,,,15893167.0,POINT (144.924526 -37.590662)
,,,15892824.0,POINT (144.932636 -37.576012)
,,,15899000.0,POINT (144.917232 -37.59165)
,,,15900596.0,POINT (144.933042 -37.590804)
,,,15900197.0,POINT (144.913265 -37.58084)
,,,15898701.0,POINT (144.933042 -37.590804)
,,,15937422.0,POINT (144.900432 -37.533102)
,,,15944477.0,POINT (144.98333 -37.53333)
,,,15945121.0,POINT (144.907149 -37.684294)
,,,15956430.0,POINT (144.925711 -37.650802)
,,,15906106.0,POINT (144.972278 -37.785523)
,,,15890955.0,POINT (144.973959 -37.792002)
,,,15903099.0,POINT (144.970591 -37.780529)
,,,15887320.0,POINT (144.969365 -37.790936)
,,,15904206.0,POINT (144.968591 -37.791554)
,,,15569892.0,POINT (144.747779 -37.734183)
,,,15891375.0,POINT (144.740744 -37.736201)
,,,15887303.0,POINT (144.737354 -37.710429)
,,,15845172.0,POINT (144.744061 -37.729433)
,,,15896316.0,POINT (144.733601 -37.71711)
,,,15886580.0,POINT (144.738603 -37.723809)
,,,15957119.0,POINT (144.729368 -37.73919)
,,,15890520.0,POINT (144.736158 -37.710984)
,,,15883791.0,POINT (144.74427 -37.734634)
,,,15886012.0,POINT (144.731315 -37.749454)
,,,14746957.0,POINT (144.747102 -37.729157)
,,,15892215.0,POINT (145.064727 -37.964053)
,,,15754302.0,POINT (145.056151 -37.961836)
,,,15883260.0,POINT (145.066825 -37.956739)
,,,15019098.0,POINT (145.062339 -37.972689)
,,,15885357.0,POINT (145.069881 -37.96905)
,,,14585851.0,POINT (145.132717 -37.935828)
,,,15135493.0,POINT (145.123921 -37.932451)
,,,15899620.0,POINT (145.132254 -37.959498)
,,,15834040.0,POINT (145.115148 -37.932507)
,,,15215175.0,POINT (145.130537 -37.932809)
,,,15947071.0,POINT (145.129654 -37.935136)
,,,15955788.0,POINT (145.112445 -37.930003)
,,,15950525.0,POINT (145.129869 -37.934142)
,,,15919931.0,POINT (145.113297 -37.941226)
,,,14292596.0,POINT (145.354085 -38.149821)
,,,15103250.0,POINT (145.354085 -38.149821)
,,,15940353.0,POINT (145.354085 -38.149821)
,,,15934363.0,POINT (145.354085 -38.149821)
,,,15925724.0,POINT (145.354085 -38.149821)
,,,15945736.0,POINT (145.354085 -38.149821)
,,,15948203.0,POINT (145.354085 -38.149821)
,,,15947881.0,POINT (145.354085 -38.149821)
,,,15944256.0,POINT (145.354085 -38.149821)
,,,10997441.0,POINT (145.550407 -37.954367)
,,,15964207.0,POINT (144.983626 -37.803879)
,,,15958296.0,POINT (144.985977 -37.80209)
,,,15143985.0,POINT (144.985364 -37.806799)
,,,15955608.0,POINT (144.985236 -37.794525)
,,,15945099.0,POINT (144.984509 -37.801935)
,,,15755157.0,POINT (144.991109 -37.808968)
,,,10465752.0,POINT (145.285426 -38.109556)
,,,15887216.0,POINT (145.278456 -38.106398)
,,,15945653.0,POINT (145.257957 -38.11405)
,,,12827534.0,POINT (145.261391 -38.112357)
,,,15941837.0,POINT (145.267694 -38.108757)
,,,15958695.0,POINT (145.2894 -38.093327)
,,,15819476.0,POINT (145.277272 -38.104919)
,,,15947707.0,POINT (145.290336 -38.094094)
,,,15955740.0,POINT (145.273186 -38.105398)
,,,15946548.0,POINT (145.259662 -38.092324)
,,,15947822.0,POINT (145.258091 -38.090811)
,,,15702317.0,POINT (145.251612 -38.095762)
,,,15952785.0,POINT (145.259555 -38.093582)
,,,15926444.0,POINT (145.258075 -38.092683)
,,,15942477.0,POINT (145.253778 -38.096368)
,,,15909022.0,POINT (145.245339 -38.101129)
,,,15952799.0,POINT (145.301937 -38.117612)
,,,15804110.0,POINT (144.99395 -37.826405)
,,,15898121.0,POINT (144.990442 -37.830115)
,,,15881255.0,POINT (144.956652 -37.810288)
,,,15915804.0,POINT (144.971933 -37.834663)
,,,15329764.0,POINT (144.954431 -37.818768)
,,,15918659.0,POINT (144.955471 -37.818469)
,,,15914239.0,POINT (144.96458 -37.810609)
,,,15890759.0,POINT (144.966265 -37.81022)
,,,15915396.0,POINT (144.979797 -37.853796)
,,,15507610.0,POINT (144.957419 -37.814556)
,,,15918235.0,POINT (144.962236 -37.814746)
,,,14535732.0,POINT (144.978682 -37.825071)
,,,15507760.0,POINT (144.978682 -37.825071)
,,,15914501.0,POINT (144.974057 -37.835728)
,,,15184172.0,POINT (145.217215 -37.966377)
,,,15633607.0,POINT (145.198184 -37.965366)
,,,15913619.0,POINT (145.207874 -37.962753)
,,,15961730.0,POINT (145.214179 -37.967179)
,,,15957526.0,POINT (145.213122 -37.969492)
,,,15960939.0,POINT (145.206338 -37.960661)
,,,15948669.0,POINT (145.208334 -37.96516)
,,,15960497.0,POINT (145.207405 -37.96099)
,,,15524376.0,POINT (145.263104 -38.036993)
,,,15943493.0,POINT (145.221637 -38.020442)
,,,15920065.0,POINT (145.202034 -37.994861)
,,,15951045.0,POINT (145.203924 -37.990474)
,,,15919043.0,POINT (145.204252 -37.999672)
,,,15898517.0,POINT (145.203382 -37.984021)
,,,15921848.0,POINT (145.240603 -37.997704)
,,,15895118.0,POINT (145.243561 -37.99341)
,,,15891726.0,POINT (145.240135 -37.987202)
,,,15938803.0,POINT (145.233488 -37.988659)
,,,15811997.0,POINT (145.232234 -37.99169)
,,,11459022.0,POINT (145.236151 -37.998379)
,,,15881204.0,POINT (145.238198 -37.980594)
,,,15945102.0,POINT (145.236649 -37.994929)
,,,15896515.0,POINT (145.250674 -37.990234)
,,,15892555.0,POINT (145.239757 -37.997804)
,,,15943462.0,POINT (145.268502 -38.007777)
,,,11775325.0,POINT (144.434113 -37.666761)
,,,15956224.0,POINT (144.431034 -37.672259)
,,,11625967.0,POINT (144.435286 -37.677166)
,,,15962565.0,POINT (144.431034 -37.672259)
,,,15935140.0,POINT (144.418192 -37.684526)
,,,15938177.0,POINT (144.433484 -37.683888)
,,,15965905.0,POINT (144.414206 -37.694908)
,,,15947616.0,POINT (144.432888 -37.659866)
,,,15816401.0,POINT (144.178917 -37.297008)
,,,15957709.0,POINT (144.139815 -37.341)
,,,15890717.0,POINT (145.163643 -37.675833)
,,,15889994.0,POINT (145.097665 -37.706893)
,,,15890152.0,POINT (145.095181 -37.703748)
,,,15933080.0,POINT (145.098055 -37.71849)
,,,14945942.0,POINT (145.10014 -37.692609)
,,,15894831.0,POINT (145.099204 -37.699807)
,,,15943642.0,POINT (145.125087 -37.697228)
,,,15947501.0,POINT (145.103096 -37.706689)
,,,15947442.0,POINT (145.10352 -37.705279)
,,,15939464.0,POINT (145.092042 -37.705802)
,,,15794158.0,POINT (145.145303 -37.719521)
,,,15874019.0,POINT (145.149612 -37.715961)
,,,15891154.0,POINT (145.136115 -37.731582)
,,,15899477.0,POINT (145.151264 -37.713797)
,,,15894272.0,POINT (145.118338 -37.704626)
,,,15884128.0,POINT (144.697606 -37.624537)
,,,14987622.0,POINT (144.698871 -37.620507)
,,,15892437.0,POINT (144.699836 -37.623816)
,,,15894493.0,POINT (144.703999 -37.618124)
,,,15853554.0,POINT (144.696184 -37.625961)
,,,15866305.0,POINT (144.826923 -37.723406)
,,,15878634.0,POINT (144.829117 -37.7147)
,,,15949692.0,POINT (144.561332 -37.68358)
,,,15923481.0,POINT (144.561431 -37.671709)
,,,15937431.0,POINT (144.569366 -37.674636)
,,,15872300.0,POINT (144.561431 -37.671709)
,,,15877805.0,POINT (144.658822 -37.740683)
,,,15876935.0,POINT (144.663035 -37.732955)
,,,15881271.0,POINT (144.650032 -37.734363)
,,,15872556.0,POINT (144.667669 -37.737616)
,,,15855594.0,POINT (144.667193 -37.734475)
,,,15738836.0,POINT (144.655225 -37.740275)
,,,15933483.0,POINT (144.754091 -37.580032)
,,,15934189.0,POINT (144.721875 -37.595406)
,,,15892715.0,POINT (144.706208 -37.556665)
,,,15948337.0,POINT (144.707962 -37.579307)
,,,15190014.0,POINT (144.700419 -37.592125)
,,,15910254.0,POINT (144.721889 -37.593403)
,,,13741167.0,POINT (144.703895 -37.584407)
,,,15881191.0,POINT (145.157238 -37.787525)
,,,15882520.0,POINT (145.152602 -37.789015)
,,,13704474.0,POINT (145.179728 -37.765935)
,,,15884020.0,POINT (145.172586 -37.762985)
,,,15854038.0,POINT (145.153919 -37.788384)
,,,15877478.0,POINT (145.157238 -37.787525)
,,,14164587.0,POINT (145.160395 -37.793647)
,,,12965374.0,POINT (145.19473 -37.805241)
,,,14138849.0,POINT (145.172032 -37.794821)
,,,15865530.0,POINT (145.184335 -37.790152)
,,,15863460.0,POINT (145.179198 -37.841994)
,,,15876482.0,POINT (145.17527 -37.841568)
,,,15251803.0,POINT (145.177325 -37.833987)
,,,15876840.0,POINT (145.170952 -37.837058)
,,,15806429.0,POINT (145.172708 -37.835159)
,,,15848554.0,POINT (145.168672 -37.841876)
,,,14159935.0,POINT (145.178025 -37.840901)
,,,15882276.0,POINT (145.222372 -37.811078)
,,,15886685.0,POINT (145.233863 -37.817802)
,,,15177149.0,POINT (145.221711 -37.812915)
,,,15901787.0,POINT (145.224663 -37.808251)
,,,15892631.0,POINT (145.234128 -37.814589)
,,,15901692.0,POINT (145.217614 -37.817175)
