property_id,count_childcare,count_community_centre,count_fast_food,count_fire_station,count_pharmacy,min_dist_childcare,min_dist_community_centre,min_dist_fast_food,min_dist_fire_station,min_dist_pharmacy,count_fuel,count_kindergarten,count_parking_space,min_dist_fuel,min_dist_kindergarten,min_dist_parking_space,count_cafe,count_charging_station,count_clinic,min_dist_cafe,min_dist_charging_station,min_dist_clinic,count_police,count_theatre,min_dist_police,min_dist_theatre,count_bank,min_dist_bank,count_atm,count_car_rental,count_cinema,count_college,count_events_venue,count_library,count_restaurant,count_social_facility,count_taxi,count_veterinary,min_dist_atm,min_dist_car_rental,min_dist_cinema,min_dist_college,min_dist_events_venue,min_dist_library,min_dist_restaurant,min_dist_social_facility,min_dist_taxi,min_dist_veterinary,count_doctors,min_dist_doctors,count_bar,count_social_centre,count_toy_library,count_university,min_dist_bar,min_dist_social_centre,min_dist_toy_library,min_dist_university,count_brothel,count_hospital,count_nightclub,min_dist_brothel,min_dist_hospital,min_dist_nightclub,count_coworking_space,min_dist_coworking_space,count_exhibition_centre,min_dist_exhibition_centre,count_parcel_locker,min_dist_parcel_locker,count_bus_station,min_dist_bus_station,count_former_hospital,count_motorcycle_parking,count_waste_disposal,min_dist_former_hospital,min_dist_motorcycle_parking,min_dist_waste_disposal,count_waste_transfer_station,min_dist_waste_transfer_station,count_internet_cafe,min_dist_internet_cafe,count_food_court,min_dist_food_court,count_nursing_home,min_dist_nursing_home,count_biergarten,min_dist_biergarten,count_community_hall;kindergarten,min_dist_community_hall;kindergarten,count_prison,min_dist_prison,count_meeting_point,count_music_venue,count_student_accommodation,count_tool_library,min_dist_meeting_point,min_dist_music_venue,min_dist_student_accommodation,min_dist_tool_library,count_retail,min_dist_retail,count_casino,count_juice_bar,min_dist_casino,min_dist_juice_bar,count_conference_centre,count_events_centre,min_dist_conference_centre,min_dist_events_centre,count_restaurant; cafe,min_dist_restaurant; cafe,count_courier,count_healthcare,min_dist_courier,min_dist_healthcare,count_private parking_space,min_dist_private parking_space,count_cafe;deli,min_dist_cafe;deli,count_car_wash;cafe,min_dist_car_wash;cafe,count_diused:fuel,min_dist_diused:fuel,count_restaurant;cafe,min_dist_restaurant;cafe,count_bus_station;shelter,min_dist_bus_station;shelter,count_cafe;bar,min_dist_cafe;bar
17746139.0,1.0,,3.0,,2.0,1722.627483615844,,752.6713485979452,,725.7904486575756,4.0,9.0,4.0,1389.6711494160534,636.754908439355,406.124351708213,1.0,,3.0,1430.4892144785915,,757.6471939102806,,,,,1.0,779.0030409053412,,,,,,,5.0,1.0,,1.0,,,,,,,761.5018818329825,2014.978474080881,,1926.72691945449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1368.453745956057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17747614.0,2.0,,12.0,,4.0,1291.49115415889,,1298.0118295601474,,835.643756743431,4.0,5.0,4.0,1176.752107423783,619.8968562834251,978.1857144118044,5.0,,3.0,732.5628953627988,,752.3001791321507,,1.0,,1953.7575385235264,3.0,1315.3408262430278,1.0,,,,,1.0,9.0,1.0,,,1694.8412275210776,,,,,1702.6960838927805,1303.6378766054534,1307.099486212158,,,2.0,1656.6875143875716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1948.4213033973049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17707758.0,2.0,3.0,15.0,2.0,2.0,995.0501854425096,1083.4717097920602,839.2856014658164,1202.5528560407795,924.9597909546804,9.0,4.0,,575.0343078601187,979.393556714346,,4.0,1.0,,1150.5709482525097,987.1672632354016,,,1.0,,892.9812943549583,3.0,1044.7852089724174,3.0,,,,,1.0,14.0,,,,1011.1754168796627,,,,,1036.066383832817,867.2892236114243,,,,2.0,943.1181730800108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1668.911596873494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17724572.0,2.0,1.0,12.0,,4.0,1447.7657561308995,1734.4153282767595,1242.804227808294,,1210.7814658249345,6.0,8.0,4.0,825.2906849066803,420.9953875290784,930.8130532675768,5.0,1.0,3.0,1648.3791224863537,1608.6794744553222,1217.0226904938218,,1.0,,1894.149733769608,4.0,1272.0238448307114,3.0,,,,,1.0,9.0,,,,1630.555064682474,,,,,1796.7790158491866,1252.7312562556162,,,,2.0,1717.9558899924275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1020.3595570870618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17731166.0,2.0,2.0,14.0,2.0,3.0,273.39104645427466,722.5686648560942,151.90056232540465,820.286389554724,235.74030024208065,6.0,3.0,,423.1594119007703,473.1399665492421,,9.0,,,172.03575132608114,,,,1.0,,780.5846783046686,2.0,209.65057187427112,1.0,,,,,1.0,14.0,1.0,,1.0,332.107962147053,,,,,453.8031100400877,186.05510635053912,1352.410384760884,,1642.1386025547013,2.0,516.9792718799569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17739386.0,2.0,2.0,14.0,2.0,3.0,413.9805143802577,451.6298486362218,277.3212693587687,561.6080859946594,343.8128981167979,7.0,3.0,,614.9247788297862,554.1283315176707,,9.0,,,311.4243078765625,,,,1.0,,688.3136158763975,2.0,254.8064841651938,1.0,,,,,1.0,14.0,1.0,,1.0,368.02822319252994,,,,,470.3437985813629,296.05840939149886,1622.3419501634953,,1332.219096208683,2.0,557.7630690285455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17757652.0,2.0,,12.0,,4.0,1344.2387093426314,,1122.079106073904,,1100.0589778425028,4.0,7.0,4.0,1297.3767564167636,368.9681872323605,774.7306864526735,5.0,,3.0,1084.17402420488,,1050.495190274538,,1.0,,1949.5866153540155,3.0,1144.9717263568698,1.0,,,,,1.0,9.0,1.0,,,1766.9518162870386,,,,,1749.6673235777164,1129.6742173941511,1646.049345173874,,,2.0,1689.087210069196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1593.9129523007489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17717798.0,,,3.0,1.0,,,,1146.5750427353246,1166.1196031257682,,3.0,1.0,59.0,1098.0907255589916,1115.7275190864057,900.9063249688704,4.0,1.0,,1033.1537595007442,1037.3465058206882,,1.0,,1104.8763787922055,,,,1.0,,,,,1.0,2.0,1.0,,,1081.5932450962644,,,,,1108.9159211814233,1052.6865050653687,1782.927967575613,,,2.0,1202.0826506021974,,,,,,,,,,1.0,,,1514.3933205833223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17731653.0,,1.0,3.0,1.0,,,415.8785484344683,1205.0805036060149,1348.6144712911555,,5.0,1.0,119.0,636.1109016852989,1327.4300999316551,143.4720650993769,4.0,2.0,,1088.9103304986804,1230.8814180720844,,1.0,,1265.184704484241,,,,1.0,,,,,1.0,3.0,1.0,,,1141.7532104818908,,,,,1247.3576763217968,528.687528277168,1604.8734378678014,,,2.0,1034.2850157578723,,,,,,,,,,1.0,,,708.8894609792745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17742607.0,,1.0,3.0,1.0,,,794.2121517369765,1174.155077005521,1190.980353439083,,5.0,1.0,119.0,612.9684847853425,1989.4075900952264,617.0075226446052,2.0,2.0,,1554.6751304675154,503.6319692906781,,1.0,,1275.6339613989906,,,,1.0,,,,,1.0,3.0,1.0,,,1515.149696306314,,,,,1869.2955797754064,706.8887785067402,789.6796412721887,,,2.0,1126.7093788735035,,,,,,,,,,1.0,,,1310.3338516707895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
