PropertyID,count_cafe,count_fast_food,count_parking_space,count_pharmacy,count_restaurant,count_social_facility,min_dist_cafe,min_dist_fast_food,min_dist_parking_space,min_dist_pharmacy,min_dist_restaurant,min_dist_social_facility,count_atm,count_bank,count_bar,count_car_rental,count_charging_station,count_cinema,count_clinic,count_college,count_community_centre,count_doctors,count_events_venue,count_fire_station,count_fuel,count_hospital,count_kindergarten,count_library,count_meeting_point,count_music_venue,count_nightclub,count_parcel_locker,count_police,count_social_centre,count_tool_library,count_university,count_veterinary,count_waste_transfer_station,min_dist_atm,min_dist_bank,min_dist_bar,min_dist_car_rental,min_dist_charging_station,min_dist_cinema,min_dist_clinic,min_dist_college,min_dist_community_centre,min_dist_doctors,min_dist_events_venue,min_dist_fire_station,min_dist_fuel,min_dist_hospital,min_dist_kindergarten,min_dist_library,min_dist_meeting_point,min_dist_music_venue,min_dist_nightclub,min_dist_parcel_locker,min_dist_police,min_dist_social_centre,min_dist_tool_library,min_dist_university,min_dist_veterinary,min_dist_waste_transfer_station,count_bus_station,count_food_court,count_taxi,count_theatre,min_dist_bus_station,min_dist_food_court,min_dist_taxi,min_dist_theatre,count_childcare,min_dist_childcare,count_nursing_home,min_dist_nursing_home,count_casino,count_prison,min_dist_casino,min_dist_prison,count_community_hall;kindergarten,min_dist_community_hall;kindergarten,count_brothel,min_dist_brothel,count_conference_centre,count_events_centre,count_healthcare,count_internet_cafe,count_motorcycle_parking,count_waste_disposal,min_dist_conference_centre,min_dist_events_centre,min_dist_healthcare,min_dist_internet_cafe,min_dist_motorcycle_parking,min_dist_waste_disposal,count_biergarten,min_dist_biergarten,count_coworking_space,count_toy_library,min_dist_coworking_space,min_dist_toy_library,count_exhibition_centre,count_juice_bar,min_dist_exhibition_centre,min_dist_juice_bar,count_student_accommodation,min_dist_student_accommodation,count_restaurant;cafe,min_dist_restaurant;cafe,count_bus_station;shelter,min_dist_bus_station;shelter,count_courier,min_dist_courier,count_private parking_space,min_dist_private parking_space,count_retail,min_dist_retail
17749846,1.0,1.0,45.0,1.0,1.0,1.0,1050.2918793714257,1025.1120376019855,47.74419968994451,1029.2009396926244,1921.686651614373,1419.301570424849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17749830,121.0,67.0,22.0,17.0,156.0,10.0,110.792638129703,118.99582241203474,1576.8384520953819,96.63901229881063,123.11936109046472,876.1127764467715,13.0,6.0,61.0,1.0,6.0,2.0,12.0,1.0,13.0,22.0,9.0,2.0,5.0,2.0,15.0,5.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,5.0,1.0,770.6691002260112,1482.7049908795957,113.99408507190745,1554.5572296571906,112.2423163147482,127.51175413480037,133.46743219561785,1978.6792919026532,476.7875164693039,590.9156980177061,1042.3229423882854,1357.9488700042575,592.1050228913019,1284.7690183460804,215.05985963208855,514.6805734192313,834.5261414595227,1788.89835969045,1802.4492818410913,1539.4300792718177,1702.3084266636629,1410.3691046556319,124.12461722058175,1803.3559330166634,556.0462073781143,430.5934837164203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17749819,38.0,17.0,1.0,8.0,34.0,,179.19693628908442,368.1596045497778,1585.978759668185,500.0876833772342,356.4734902789799,,4.0,12.0,1.0,,2.0,1.0,,2.0,1.0,9.0,,1.0,6.0,4.0,1.0,1.0,,,1.0,1.0,1.0,,,3.0,1.0,,1123.7931109231724,444.30904582012215,1543.5390453986038,,1450.8852605130162,1528.4336978847364,,404.0179959137909,1077.9719435604202,455.13688368501744,,486.9998511177031,406.4295105697494,145.17615462160876,251.10438873869094,1453.444350778192,,,1622.7721264320633,1803.8662097356266,1625.4871424863354,,,742.6315437164841,707.89218434274,,2.0,1.0,1.0,2.0,1661.5127708402254,1270.2867800800295,1515.9938399298765,1387.1170880060617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17749808,,2.0,,,,1.0,,1796.3762513882648,,,,2146.1238627895796,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1611.239939336828,,,,1874.9072032411784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17749794,3.0,4.0,351.0,,2.0,,1042.7096932445477,457.3447451883092,520.4174666914722,,1114.8596007657918,,,,,,,,,,1.0,,,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,551.120658177731,,,,497.46450811870784,,1044.9515981204866,,,,,,,,,,,,,,,,,,,,2.0,1173.696422811198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17749793,4.0,3.0,,1.0,1.0,,1262.7585697191012,1901.673771152275,,1956.1924467932017,1899.7579508351876,,1.0,1.0,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,1996.14513940281,1957.8118420320354,,,,,,,,,,1967.6555422418053,,,446.19467995980216,2003.7898275855257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17749789,43.0,33.0,352.0,10.0,64.0,4.0,120.96272536437672,215.35092731905536,336.90321283425277,500.6604472407241,163.09795966120063,454.8738507510222,3.0,11.0,2.0,,6.0,1.0,16.0,4.0,1.0,3.0,1.0,1.0,10.0,,7.0,2.0,,,,1.0,1.0,,,,1.0,,644.9400028261437,589.531237475697,849.2588566592831,,720.2277163422373,1082.2089674995543,288.0312066851746,542.1134404501731,1390.520339228083,1093.9439212068796,1064.6017302663595,1015.1074251073197,196.91013823338133,,294.67357015212053,495.07982058058326,,,,1539.4109554139427,444.48735239683515,,,,971.4727061921225,,1.0,,3.0,,739.7023066421216,,658.4573327873981,,4.0,1283.3524085394713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17749777,7.0,17.0,71.0,4.0,3.0,2.0,789.40952410403,608.08764181846,1217.9032471741948,615.1546349491396,1037.9576430861491,564.4745297591176,1.0,1.0,,,,,4.0,,2.0,,,1.0,6.0,1.0,3.0,,,,,1.0,,,,,,,1049.0597300491847,1046.6886578762305,,,,,1072.1092252624553,,1030.360605496898,,,1312.5975999638758,560.5869750919707,1984.945267326602,480.25135799199677,,,,,1450.5079765657374,,,,,,,,,,3.0,,,,917.9493560123606,,,2.0,1724.734921813589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17749754,10.0,14.0,433.0,4.0,25.0,5.0,770.0050253236233,1176.1926533924543,1001.7741460986578,1268.076063523796,1136.4935675051531,599.1912354110801,1.0,1.0,,1.0,,1.0,6.0,1.0,1.0,3.0,,1.0,5.0,2.0,6.0,2.0,,,,,1.0,,,1.0,1.0,,1771.6804818697544,1748.7825767442869,,1844.410490499724,,1640.312461566902,1114.6539645453113,1776.987323982093,1706.6062353781567,1285.4704670707813,,1907.5731362048462,275.6882739028185,1079.386057491433,459.5151502525682,1335.4056520157992,,,,,1894.1613772945047,,,2028.0269696176658,1481.0069563228446,,1.0,,1.0,,1626.7832909373335,,1592.335223749157,,2.0,1452.8250182157028,1.0,597.6932451303464,1.0,1.0,467.2055550466691,1018.0962537157512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17749752,20.0,12.0,23.0,5.0,41.0,17.0,260.2279349453236,1286.3229866697538,1644.7306724588002,417.0477705196154,958.5213709238409,1237.2935361286472,3.0,6.0,7.0,,3.0,,6.0,10.0,2.0,1.0,,1.0,7.0,3.0,1.0,2.0,,,2.0,,,,,4.0,,,1602.9852349456323,1612.2844302111987,719.5994409818255,,1080.723988298548,,461.2299246096667,1078.628226440869,1172.702629904158,1482.194886048779,,1164.046376225549,730.7695777842961,493.35746340175496,417.9533019769848,1076.7759445726435,,,1560.2116432650791,,,,,479.62154501501396,,,,,,3.0,,,,986.0347832357963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
