PropertyID,count_cafe,count_childcare,count_clinic,count_doctors,count_fast_food,count_fire_station,count_fuel,count_kindergarten,count_pharmacy,count_veterinary,min_dist_cafe,min_dist_childcare,min_dist_clinic,min_dist_doctors,min_dist_fast_food,min_dist_fire_station,min_dist_fuel,min_dist_kindergarten,min_dist_pharmacy,min_dist_veterinary,count_atm,count_bank,count_bar,count_brothel,count_bus_station,count_car_rental,count_casino,count_charging_station,count_cinema,count_college,count_community_centre,count_conference_centre,count_coworking_space,count_events_venue,count_exhibition_centre,count_food_court,count_hospital,count_internet_cafe,count_juice_bar,count_library,count_motorcycle_parking,count_nightclub,count_parcel_locker,count_parking_space,count_police,count_prison,count_restaurant,count_social_facility,count_student_accommodation,count_taxi,count_theatre,count_university,count_waste_disposal,min_dist_atm,min_dist_bank,min_dist_bar,min_dist_brothel,min_dist_bus_station,min_dist_car_rental,min_dist_casino,min_dist_charging_station,min_dist_cinema,min_dist_college,min_dist_community_centre,min_dist_conference_centre,min_dist_coworking_space,min_dist_events_venue,min_dist_exhibition_centre,min_dist_food_court,min_dist_hospital,min_dist_internet_cafe,min_dist_juice_bar,min_dist_library,min_dist_motorcycle_parking,min_dist_nightclub,min_dist_parcel_locker,min_dist_parking_space,min_dist_police,min_dist_prison,min_dist_restaurant,min_dist_social_facility,min_dist_student_accommodation,min_dist_taxi,min_dist_theatre,min_dist_university,min_dist_waste_disposal,count_nursing_home,count_retail,min_dist_nursing_home,min_dist_retail,count_social_centre,min_dist_social_centre,count_toy_library,min_dist_toy_library,count_waste_transfer_station,min_dist_waste_transfer_station,count_biergarten,min_dist_biergarten,count_private parking_space,min_dist_private parking_space,count_courier,count_events_centre,count_healthcare,min_dist_courier,min_dist_events_centre,min_dist_healthcare,count_meeting_point,count_music_venue,count_tool_library,min_dist_meeting_point,min_dist_music_venue,min_dist_tool_library,count_community_hall;kindergarten,min_dist_community_hall;kindergarten,count_cafe;bar,min_dist_cafe;bar
17680096,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1129.0747854570013,1909.1585448839019,1177.5229089628563,1163.3856717790175,1962.3050456614983,1953.6225051440063,178.7450866662659,1807.276492249726,1149.435464494582,1076.3032058682004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17680084,554.0,2.0,28.0,18.0,271.0,3.0,6.0,11.0,41.0,1.0,34.40783073418095,1025.9747782684944,108.64466293227865,493.2798843909413,67.60408924489641,558.6347549724604,1178.6252601819763,394.0162676603228,274.2351353194503,1288.4746325415776,70.0,49.0,189.0,1.0,1.0,12.0,3.0,21.0,7.0,13.0,13.0,2.0,2.0,60.0,1.0,15.0,18.0,3.0,1.0,20.0,25.0,14.0,7.0,433.0,10.0,2.0,789.0,10.0,7.0,9.0,38.0,20.0,4.0,157.98754078008756,147.41133941518433,60.965845442393004,589.8454039951135,1225.6552708834822,129.90716859177974,1635.2933888555997,332.7675138108876,147.20681978687514,213.89217281760662,298.0831524167882,2027.6918824292864,341.46183586182656,318.64397389550544,2015.126881172404,136.97638294490264,1072.791920531986,1011.3299035545884,1281.7648070558982,147.90248864229144,240.14485201015555,446.85182297589375,153.28112273217428,284.5051927760613,442.1414420519495,1156.596904052591,20.583119765305753,1022.0947839161288,1422.1282558190182,270.72255509831086,408.6994776797046,75.79712030807188,426.0465710992321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17680010,3.0,3.0,4.0,1.0,6.0,1.0,5.0,4.0,2.0,1.0,590.958790237955,618.3305904725263,1094.004863968949,1801.5940139124273,454.2985844428044,1167.5721245618934,367.08534550535467,621.3298338086939,1021.6589192479138,1229.0276601941891,,,,,,,,,,,,,,,,,1.0,,,,,,,1228.0,1.0,,2.0,,,,,,3.0,,,,,,,,,,,,,,,,,1769.2830283320059,,,,,,,675.3770617889579,1155.9829175445761,,1608.8382649524222,,,,,,1574.3976846283717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17679994,46.0,8.0,5.0,5.0,30.0,1.0,9.0,3.0,10.0,1.0,201.30343488625425,992.9091496941413,845.2162891971655,1020.5996845572787,315.560683880785,745.4214755394918,486.1019005095883,258.1408388010297,321.45700628258965,1980.9494451541016,2.0,7.0,7.0,,,1.0,,3.0,3.0,,8.0,,,,,,2.0,,,3.0,,,,121.0,1.0,,77.0,18.0,,1.0,1.0,4.0,,1063.0992397397533,1006.6105809296497,87.24365209902096,,,1078.6560997722486,,494.3646411844564,1009.0823546513357,,911.1143834830707,,,,,,1652.199728226686,,,804.5704122099027,,,,302.97757675031215,1441.3997078554544,,287.34119336019256,530.9750575219688,,942.6123438561463,1781.758039571535,930.3696550590342,,2.0,1.0,1291.473376510684,738.7107899581194,,,,,,,,,,,,,,,,,,,,,,,,,,
17679850,31.0,2.0,3.0,1.0,15.0,1.0,6.0,3.0,9.0,,120.72499416544346,191.08119989608315,147.3260584850784,1566.8244412102197,153.41573052704982,1556.8082588102607,197.99024543194943,815.4754740636091,121.43074844620656,,3.0,5.0,2.0,,,,,4.0,1.0,,,,,,,,5.0,,,4.0,,,1.0,177.0,1.0,,47.0,7.0,,1.0,,,,126.41223865734341,1342.744093514808,1360.1439817657997,,,,,810.6195750082635,1932.0824894273594,,,,,,,,703.3218904534359,,,347.64129938428295,,,1695.6312127246538,335.8897702747505,782.1806916508629,,119.98662608264345,544.4923331539361,,1876.1572827785556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17679848,34.0,9.0,8.0,4.0,22.0,1.0,4.0,3.0,6.0,2.0,172.44238524699335,491.4814572976393,694.3078337197163,923.5730215877297,586.3198987967901,1888.9369513743477,599.4521287288512,657.1127217384607,509.22321758697456,840.5409379574598,8.0,6.0,1.0,,1.0,,,1.0,,3.0,7.0,,,,,1.0,3.0,,,2.0,,,,54.0,1.0,,42.0,8.0,,1.0,,,,507.4156219634266,1287.9045147886045,1508.5569055560472,,1351.8306702223026,,,1195.8998962166306,,658.1664246139501,1026.5685704713362,,,,,1351.8897835456212,979.5116057769216,,,1800.5933646686767,,,,479.01177156636953,1736.2618345021497,,306.8734153523012,1092.3972748423537,,1242.9788556718688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17679834,6.0,2.0,2.0,4.0,30.0,,5.0,5.0,4.0,2.0,709.311339745306,691.9371471807133,462.53803706553236,821.0731783519823,496.0566788776328,,551.3497428519752,1079.1655739723415,868.5630342269773,1101.7704411365748,1.0,1.0,,,1.0,,,1.0,2.0,,1.0,,,,,,,,,1.0,,1.0,1.0,,1.0,,13.0,2.0,,1.0,1.0,,,1422.5761955896357,1532.3940904672256,,,1522.0325389330192,,,729.3809893606862,1618.9473097029834,,951.0265366393824,,,,,,,,,1724.549276865746,,658.0385779827726,1423.1361948505855,,558.8497676076516,,474.74491047183,925.2326551378474,,1573.1056879583693,1620.477939861355,,,,,,,1.0,1040.9291889570854,,,,,,,,,,,,,,,,,,,,,,,,
17679822,247.0,6.0,8.0,7.0,108.0,1.0,8.0,5.0,16.0,2.0,53.533350161411704,801.8836655268806,921.7636445007988,371.58048369967753,407.23973401242256,1034.0639450991569,364.21936086559106,282.5296206600074,529.4862358226501,1434.3234452083268,23.0,36.0,71.0,3.0,,10.0,3.0,12.0,3.0,7.0,6.0,2.0,3.0,8.0,1.0,6.0,1.0,,1.0,7.0,10.0,5.0,,35.0,4.0,,290.0,7.0,,8.0,24.0,8.0,2.0,487.77347413799754,657.7842819506425,243.46617649757735,210.11569677031397,,1086.3728365813447,1290.8135612478047,198.0481050580243,1385.4615434541572,135.82985490571428,496.3110100293434,1376.4203509017275,821.0027169065448,679.5580975524709,1614.2993242939185,1273.6017022510064,1962.9190987656423,,1284.8101939701558,65.17982852234319,1664.3968894706334,477.8844825207559,,566.536415306353,936.7061035079544,,16.072688689374246,773.596992677423,,571.0595063031222,561.4819541040277,729.0276617336297,1464.0012443449039,,,,,2.0,1354.1482740172112,1.0,1004.4250155492402,,,,,,,,,,,,,,,,,,,,,,
17679793,19.0,,9.0,5.0,14.0,1.0,6.0,6.0,5.0,1.0,429.3367456609048,,223.47772631830753,624.0235967419002,63.790689535279,89.33472386543447,109.7278429496863,148.31121264174405,476.6664771424564,87.84347494215241,,5.0,1.0,,,,,,,1.0,3.0,,,,,,1.0,,,3.0,,,,307.0,,,25.0,6.0,,,,,,,485.63735398748287,9.920591597514026,,,,,,,1890.559153052614,610.3454108234631,,,,,,1078.8374128448672,,,605.1838141039202,,,,209.44897726359753,,,23.42517658093971,351.45120428573716,,,,,,1.0,,1686.3238514517357,,,,,,,,,,,,,,,,,,,,,,,,,,,
17679772,,,1.0,,4.0,,2.0,,1.0,,,,1130.0197807570496,,1199.1751609715059,,1323.6915784912237,,1216.9156678524955,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,4.0,2.0,,,,,,,,,,,,,1333.8887833500692,,,1936.7411993916674,,,,,,,,,,,,,,,,1159.2244109691378,1447.8926476619995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
