PropertyID,count_atm,count_bank,count_bar,count_bus_station,count_cafe,count_car_rental,count_casino,count_charging_station,count_childcare,count_cinema,count_clinic,count_college,count_community_centre,count_conference_centre,count_coworking_space,count_doctors,count_events_venue,count_exhibition_centre,count_fast_food,count_fire_station,count_food_court,count_fuel,count_internet_cafe,count_kindergarten,count_library,count_motorcycle_parking,count_nightclub,count_parcel_locker,count_parking_space,count_pharmacy,count_police,count_prison,count_restaurant,count_social_facility,count_taxi,count_theatre,count_university,count_veterinary,count_waste_disposal,min_dist_atm,min_dist_bank,min_dist_bar,min_dist_bus_station,min_dist_cafe,min_dist_car_rental,min_dist_casino,min_dist_charging_station,min_dist_childcare,min_dist_cinema,min_dist_clinic,min_dist_college,min_dist_community_centre,min_dist_conference_centre,min_dist_coworking_space,min_dist_doctors,min_dist_events_venue,min_dist_exhibition_centre,min_dist_fast_food,min_dist_fire_station,min_dist_food_court,min_dist_fuel,min_dist_internet_cafe,min_dist_kindergarten,min_dist_library,min_dist_motorcycle_parking,min_dist_nightclub,min_dist_parcel_locker,min_dist_parking_space,min_dist_pharmacy,min_dist_police,min_dist_prison,min_dist_restaurant,min_dist_social_facility,min_dist_taxi,min_dist_theatre,min_dist_university,min_dist_veterinary,min_dist_waste_disposal,count_hospital,count_meeting_point,count_nursing_home,count_social_centre,count_tool_library,count_waste_transfer_station,min_dist_hospital,min_dist_meeting_point,min_dist_nursing_home,min_dist_social_centre,min_dist_tool_library,min_dist_waste_transfer_station,count_biergarten,count_music_venue,min_dist_biergarten,min_dist_music_venue,count_restaurant;cafe,min_dist_restaurant;cafe,count_private parking_space,min_dist_private parking_space,count_brothel,count_juice_bar,min_dist_brothel,min_dist_juice_bar,count_toy_library,min_dist_toy_library,count_student_accommodation,min_dist_student_accommodation,count_courier,count_events_centre,count_healthcare,min_dist_courier,min_dist_events_centre,min_dist_healthcare,count_car_wash;cafe,min_dist_car_wash;cafe,count_community_hall;kindergarten,min_dist_community_hall;kindergarten,count_retail,min_dist_retail,count_diused:fuel,min_dist_diused:fuel,count_bus_station;shelter,min_dist_bus_station;shelter,count_restaurant; cafe,min_dist_restaurant; cafe
17754262,34.0,21.0,56.0,1.0,263.0,10.0,3.0,16.0,1.0,2.0,10.0,8.0,8.0,1.0,2.0,7.0,7.0,1.0,160.0,1.0,10.0,2.0,1.0,2.0,5.0,12.0,3.0,6.0,380.0,17.0,5.0,2.0,305.0,2.0,5.0,3.0,5.0,2.0,2.0,72.3451326086659,171.4788377218639,48.184790487450265,1012.3127335915821,45.84737396715832,598.5148400973203,1841.8237533290153,273.45890543357103,1653.5901649866394,493.25577856024637,927.4644543669547,226.20583762641414,606.1958404105175,1562.5518131539138,248.5198134574737,735.2632008708421,92.71883105470009,1678.1553097774656,171.45159566216788,1011.1715275660133,1048.9807786494364,1595.9053825827284,1182.9939337423448,674.9109817025442,586.7245663288455,627.6010675139499,1517.9394888170143,329.5475523733948,631.5507267143252,351.1922215424091,902.1890373432004,821.5817780479115,51.37333401835518,1170.0055319092858,1078.5375083145702,1372.1044116070273,1227.86448194787,1957.2474483321116,1598.3660359214095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17754251,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389.0567412355499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17754246,12.0,3.0,40.0,,104.0,2.0,,5.0,,2.0,9.0,,15.0,,,21.0,9.0,,48.0,1.0,,6.0,,17.0,3.0,,2.0,1.0,,11.0,2.0,,119.0,6.0,,,2.0,4.0,,681.8512219060581,801.0289930094975,574.1586100667784,,226.91985657413656,1026.2290604306409,,739.7327256369596,,1171.186227904072,638.2689491150558,,249.9561731919887,,,291.9411992361974,231.49369738752802,,226.95330960252969,543.4419705806274,,617.6859308728734,,289.6351853185229,590.9473259915121,,843.16748212697,908.9665866393048,,231.47078971449517,642.3172092663071,,263.3512782240221,993.642187834668,,,1487.9667587086583,673.072157688758,,4.0,1.0,1.0,2.0,1.0,1.0,517.0619163987004,1182.425698551548,1557.3429162355544,902.004612442947,1132.706911493084,1295.392243116658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17754214,,5.0,,,5.0,,,,1.0,1.0,3.0,,1.0,,,1.0,,,12.0,,1.0,2.0,,4.0,2.0,,,,1783.0,2.0,,,8.0,2.0,,,,,3.0,,1387.2867318614942,,,654.965241510283,,,,2007.9510459975568,1347.3380150528258,658.1389530740569,,1157.7379799744067,,,1756.5286955216795,,,918.1452056470184,,1358.9174523967347,821.8409890032443,,1096.085929902061,1068.525175313889,,,,580.45821448849,948.340270217284,,,659.4426783908011,661.4217066310298,,,,,945.9354076697605,1.0,,,,,,1738.7019339765086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17754212,2.0,,,,3.0,,,,1.0,,1.0,,,,,1.0,,,3.0,1.0,,3.0,,8.0,1.0,,,,17.0,1.0,3.0,,,6.0,,,,1.0,,528.9401636487207,,,,1153.2960543957945,,,,1702.453878130781,,1152.911963664083,,,,,1514.285011694293,,,570.3105199115338,1158.1333713634663,,548.6096150459746,,311.1508884502445,1922.3979802829708,,,,278.98806402097324,546.8121342232333,795.774458671769,,,501.46318998434833,,,,613.4285557868963,,,,1.0,,,,,,752.2357687935028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17754209,,,3.0,1.0,12.0,,1.0,,2.0,1.0,6.0,,,,,1.0,,,16.0,1.0,,8.0,,4.0,3.0,,,,555.0,4.0,,1.0,20.0,5.0,1.0,,1.0,1.0,,,,1607.5981158302527,911.8920506075718,458.3351761704164,,1153.8180646514284,,1249.0133142264774,736.3005033644329,515.0390977729055,,,,,1530.8783628397641,,,515.5544044258517,1693.912858742529,,718.7061463313521,,1084.0820681789726,953.0222430629518,,,,646.0887733214661,517.2762526725066,,1474.2623497111,446.11784207531537,977.4955848327705,845.2605303746985,,1525.7613397540201,1742.9129904117963,,3.0,,1.0,,,1.0,1341.944725599773,,980.9822318061049,,,2072.2940717504184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17754207,14.0,10.0,20.0,,70.0,5.0,,1.0,6.0,1.0,5.0,5.0,6.0,,,7.0,3.0,,65.0,1.0,,9.0,1.0,9.0,3.0,,2.0,,18.0,12.0,2.0,,83.0,3.0,1.0,1.0,,2.0,,580.022183260349,677.469406394765,55.77062095466213,,118.93124533706565,894.4732208328259,,1519.7454362845888,629.980799183913,112.25300781525846,514.6477212168038,750.8409133176829,106.04577833382923,,,182.73105183827184,612.934102540324,,131.0927544372977,1089.3687653849622,,246.7640566924858,1253.058700286149,455.28722218830563,1198.1202919435327,,1761.5396951718558,,656.9379822198539,117.66323711133407,1431.1098517212738,,68.14006152764864,430.2505080050887,1742.0417073246642,149.64277035620563,,644.219163496387,,,,1.0,1.0,,1.0,,,1506.0788718238514,576.7865547557942,,1577.2231539562838,1.0,3.0,1244.7336817562839,291.7459824580393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17754204,,4.0,,,5.0,,,,,,1.0,,,,,,,,4.0,1.0,,3.0,,1.0,1.0,,,1.0,,1.0,,,4.0,1.0,,,,1.0,,,1793.4404668870907,,,1734.5211281677741,,,,,,880.4075648912454,,,,,,,,1423.898050343022,850.2899532305054,,990.1165161826151,,1023.3519632646029,1902.7317627220664,,,1878.3378076019949,,1821.1405077625295,,,1714.7112848354193,1739.0250532494806,,,,1341.4527168018446,,1.0,,,,,,1624.3145787046133,,,,,,,,,,1.0,1862.6063343826725,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17754192,2.0,,,,18.0,,,2.0,4.0,1.0,,,3.0,,,,,,6.0,,,7.0,,4.0,2.0,,,1.0,6.0,3.0,,,8.0,2.0,,6.0,2.0,1.0,,676.483388371323,,,,527.9185253038008,,,1317.8407626599023,792.5775819132514,1023.4015393341265,,,814.9145291956504,,,,,,697.1419474775872,,,670.1020439256857,,835.8232842343392,755.4768514795625,,,1661.8444253395223,1440.5091690015227,1184.2191119280676,,,634.2075894096711,2017.641739448231,,732.6333070372259,774.1494022302605,1188.3756059965729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17754188,3.0,6.0,7.0,1.0,20.0,,,2.0,,1.0,5.0,10.0,3.0,,,3.0,,,15.0,2.0,,8.0,,3.0,2.0,,2.0,,3.0,5.0,1.0,,42.0,15.0,,4.0,2.0,,,1156.542039332103,1055.2040403052226,1148.6561802187146,814.7980455108678,698.1930494023826,,,904.0262979731962,,869.3728791951868,951.0532959077789,1341.3685767566421,1440.6074859940402,,,952.7506869538498,,,677.8004824715744,1406.550383131444,,671.6556315941423,,735.1301530347457,1371.0833940015248,,1225.1279485952755,,1367.7739924166574,686.2711047249684,1221.1422067455987,,294.0878111959662,843.4870035235741,,1617.5754044791556,1707.773666630747,,,2.0,,,,,,1799.3824329292333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
