property_id,coordinates,StationID,min_route_dist_m,min_route_dur_s
17758724,POINT (144.6276339 -37.88353720000001),44395,152.63,21.98
17758700,POINT (143.8731025 -37.55971359999999),48327,360.55,52.18
17758698,POINT (144.9625034 -37.7474285),17315,495.46,68.67
17758685,POINT (144.9629522 -37.517536),27619,2235.61,190.41
17758681,POINT (147.0778957 -38.0348955),,,
17758663,POINT (144.9590061 -37.5224452),27619,1480.6,147.13
17758623,POINT (145.2740744 -38.45268799999999),44252,2361.72,452.4
17758612,POINT (145.0577659 -37.8903488),40145,174.48,40.64
17758591,POINT (144.671288 -37.8411043),6872,350.86,47.58
17758570,POINT (144.5264994 -37.36243400000001),20361,1072.07,154.02
17758567,POINT (145.4818724 -38.0776708),45622,542.46,78.16
17758560,POINT (144.9622479 -37.821961),18450,795.04,150.62
17758556,POINT (142.1985015 -36.6995048),27659,460.44,55.44
17758554,POINT (145.1438021 -38.1616315),13801,603.98,77.18
17758552,POINT (144.9258893 -37.8332859),6522,213.48,35.38
17758547,POINT (144.9627446 -37.80568),19693,64.46,9.28
17758534,POINT (145.3070049 -38.1058312),28317,804.3,118.69
17758516,POINT (144.9610041 -37.811294),46866,146.23,32.15
17758512,POINT (145.0884741 -37.8857762),1968,451.5,76.43
17758510,POINT (144.9928623 -37.8199225),19706,264.11,50.1
17758504,POINT (144.8465035 -37.7714007),47551,496.47,65.73
17758502,POINT (145.1467845 -37.9599571),2416,308.64,51.07
17758484,POINT (144.6922889 -37.7701936),,,
17758478,POINT (144.3901001 -38.166543),50826,440.9,84.97
17758477,POINT (144.9466992 -37.8146682),18183,267.1,41.63
17758471,POINT (144.953627 -37.8173833),18194,156.53,17.51
17758451,POINT (144.7146276 -37.892789),50039,590.81,57.47
17758434,POINT (144.5869652 -37.8946058),50144,3134.49,317.63
17758432,POINT (144.8897565 -37.7994778),5885,310.71,48.29
17758422,POINT (144.3277692 -38.1019672),30416,493.3,113.84
17758420,POINT (145.0214264 -37.9173947),17634,171.32,32.24
17758411,POINT (145.6488415 -35.9123114),47023,65.7,15.77
17758398,POINT (144.9161305 -37.6282207),4598,619.94,87.73
17758393,POINT (146.1059873 -37.0358346),46482,2981.97,272.99
17758392,POINT (144.8041953 -37.73683219999999),11746,124.55,11.21
17758382,POINT (144.895368 -37.8016732),3906,194.53,34.12
17758380,POINT (144.9903284 -37.8485067),19130,224.56,40.42
17758379,POINT (144.6456363 -37.8429001),28036,1078.77,146.63
17758375,POINT (145.1270091 -37.78757460000001),4358,103.14,12.88
17758369,POINT (145.0097362 -37.8597813),3947,111.32,18.33
17758358,POINT (144.6780028 -37.8223621),28017,1430.32,167.47
17758354,POINT (143.8248814 -37.5967472),50283,612.17,94.43
17758339,POINT (145.3248364 -38.08093119999999),51301,243.95,32.81
17758317,POINT (145.1619929 -37.6750107),51117,232.23,21.64
17758315,POINT (145.2380292 -37.8009531),8487,113.81,17.35
17758310,POINT (145.0403187 -37.9606088),16019,199.89,46.83
17758307,POINT (145.0170294 -37.8943626),12981,73.3,5.86
17758301,POINT (144.9852598 -37.8604098),19703,122.89,18.05
17758289,POINT (144.9574473 -37.8107257),20470,118.41,23.4
17758279,POINT (144.1614922 -38.0493451),4806,1340.29,183.34
17758273,POINT (144.9707342 -37.8074961),50835,40.2,7.93
17758234,POINT (145.1663101 -37.8483901),11481,398.12,53.83
17758214,POINT (145.013421 -37.545469),28875,1002.07,171.12
17758201,POINT (144.9566681 -37.8095025),20468,254.29,34.39
17758187,POINT (144.9331663 -37.733571),9028,459.01,84.34
17758182,POINT (145.1327805 -38.1631079),12771,116.83,22.23
17758176,POINT (145.1799838 -38.1110843),3013,272.27,60.91
17758175,POINT (144.5740172 -37.6897725),44902,371.33,68.31
17758161,POINT (144.3573871 -38.0806951),30162,406.52,64.06
17758156,POINT (144.9841693 -37.8152783),vic:rail:JLI_EN2,330.52,52.14
17758153,POINT (144.942277 -37.8145657),18037,264.68,51.08
17758151,POINT (145.2977131 -38.0686613),23334,738.04,141.16
17758141,POINT (144.986157 -37.85896899999999),19703,452.53,81.6
17758124,POINT (145.1141988 -37.9241885),6478,479.22,103.96
17758114,POINT (145.8154836 -38.6962493),,,
17758108,POINT (145.0082726 -37.8207565),19715,171.58,22.17
17758107,POINT (144.9392179 -37.7370868),40895,178.65,25.73
17758105,POINT (144.9627446 -37.80568),19693,64.46,9.28
17758092,POINT (144.2831281 -38.088541),3273,343.25,36.79
17758068,POINT (144.9566043 -37.8101911),20470,33.85,8.13
17758036,POINT (145.1610673 -37.9642547),433,233.81,35.84
17758035,POINT (144.837807 -37.719957),20151,291.71,66.06
17758028,POINT (145.0396935 -37.8555584),16876,212.11,50.9
17758026,POINT (142.5135454 -38.366444),36392,4331.06,445.38
17758019,POINT (144.9700015 -37.8120109),17891,220.46,30.27
17758003,POINT (145.0829271 -37.5864451),51045,404.33,58.25
17757998,POINT (144.9919889 -37.8557208),vic:rail:WIN,17.4,6.26
17757992,POINT (145.0067059 -37.8109899),19385,16.15,1.16
17757991,POINT (144.9504166 -37.762692),46748,103.89,18.62
17757979,POINT (144.994697 -37.8377564),18605,252.63,48.13
17757978,POINT (144.6627806 -37.887321),50174,130.03,11.63
17757975,POINT (145.1848773 -37.8381901),11495,134.37,19.35
17757956,POINT (144.9453308 -37.798119),7583,54.58,13.1
17757940,POINT (145.1965008 -38.3527444),13256,383.53,44.63
17757932,POINT (145.020807 -37.805585),138,214.7,38.36
17757928,POINT (145.1197416 -37.7945236),4938,6.79,0.44
17757900,POINT (145.0247394 -37.8198176),20780,239.51,47.59
17757898,POINT (144.911984 -37.5237359),28277,926.45,132.12
17757895,POINT (144.3859543 -38.1828314),50708,336.96,70.9
17757894,POINT (145.0257262 -37.7843051),19289,516.54,80.89
17757887,POINT (145.1210457 -38.1803553),13342,69.76,5.02
17757884,POINT (145.0002351 -37.8139295),19088,47.61,5.67
17757877,POINT (144.4260314 -37.6619104),46974,344.92,61.02
17757870,POINT (145.1314812 -37.7687312),5167,420.34,93.21
17757862,POINT (145.0395373 -37.6606301),2293,61.02,14.64
17757857,POINT (145.2728479 -37.8022409),8745,295.23,33.38
17757855,POINT (144.6622109 -37.8599552),21635,119.96,15.12
17757850,POINT (144.9087082 -37.7000992),8062,88.78,21.31
17757840,POINT (144.9838823 -37.860897),1111,173.08,23.96
17757831,POINT (145.1955294 -37.8212293),11551,386.83,51.7
17757828,POINT (144.9978583 -37.8421896),19327,296.56,43.74
17757809,POINT (145.0197572 -37.6624422),2670,143.13,16.89
17757805,POINT (145.1635986 -37.7765547),5183,257.2,54.11
17757804,POINT (145.1538576 -37.8909676),11909,430.56,92.27
17757802,POINT (145.0735185 -37.6806777),43441,237.01,28.2
17757794,POINT (145.3545398 -38.0785884),27952,568.77,90.46
17757791,POINT (143.8678602 -37.5452002),48345,298.23,50.3
17757772,POINT (145.1141349 -37.8748996),26205,155.88,37.41
17757743,POINT (145.0387373 -37.7433515),494,308.16,40.55
17757740,POINT (141.5956898 -38.367694),36367,167.92,40.3
17757736,POINT (144.9031009 -37.73961380000001),7257,230.93,38.39
17757734,POINT (145.1404692 -37.82318679999999),6201,599.05,69.74
17757726,POINT (145.3855068 -38.1023812),28967,476.36,114.32
17757725,POINT (145.0392945 -37.7520727),392,176.68,11.56
17757706,POINT (145.2345627 -37.8917753),14186,468.58,61.33
17757703,POINT (145.1149023 -37.7070443),43433,553.25,114.64
17757693,POINT (144.6517385 -37.7391679),27576,1256.42,144.6
17757691,POINT (144.6811609 -37.8902356),50198,383.35,52.02
17757683,POINT (145.0258319 -37.7846416),44950,572.32,107.64
17757679,POINT (145.0466238 -37.6136692),28082,1842.21,206.31
17757675,POINT (145.0463959 -37.6136463),28082,1822.97,201.7
17757662,POINT (145.1557998 -38.1924947),11166,298.68,68.68
17757656,POINT (144.4371586 -37.65251070000001),37747,150.85,14.86
17757641,POINT (145.398793 -38.0678701),48385,1473.92,180.53
17757640,POINT (144.9713202 -37.8340507),18221,359.92,61.71
17757630,POINT (144.964417 -37.8227349),20488,198.55,42.62
17757627,POINT (144.998952 -37.828007),19096,242.95,52.51
17757626,POINT (145.2004767 -38.1074669),51811,670.67,141.68
17757623,POINT (144.9625642 -37.8241461),654,328.3,49.76
17757618,POINT (144.3606842 -38.0810344),30162,981.63,190.15
17757617,POINT (146.005664 -36.0098069),37630,695.62,90.28
17757602,POINT (145.4465886 -38.0694679),21515,234.02,47.59
