property_id,coordinates,stationid,min_route_dist_m,min_route_dur_s
15888911,POINT (145.095632 -37.636664),7717,17.07,2.46
15896173,POINT (145.10029 -37.617811),51078,194.39,19.17
13204673,POINT (144.996249 -37.83509),19100,136.69,19.57
15303923,POINT (144.994691 -37.83777),18605,252.34,48.06
15743159,POINT (144.987765 -37.831205),1092,38.16,6.87
15762267,POINT (144.994258 -37.840297),18606,190.86,35.93
15896648,POINT (144.993551 -37.838291),vic:rail:SYR,629.35,113.28
15896694,POINT (145.003963 -37.843178),28708,131.35,17.81
15897699,POINT (144.988296 -37.831728),20712,53.56,7.45
15897750,POINT (144.993927 -37.836492),vic:rail:SYR,426.17,76.71
15898394,POINT (145.00462 -37.839884),19329,87.13,7.22
15898679,POINT (145.000185 -37.844601),14268,191.83,46.04
15899214,POINT (144.980781 -37.836669),52113,325.11,41.57
15900511,POINT (144.995784 -37.837565),18605,69.64,8.36
15900707,POINT (144.997401 -37.836859),18605,182.99,26.13
15901250,POINT (144.99022 -37.840367),19325,293.12,56.85
15902289,POINT (144.992014 -37.836395),14293,280.96,30.45
15880021,POINT (144.959009 -37.826139),343,198.09,33.31
15918540,POINT (144.968544 -37.827333),18225,414.29,94.0
15925735,POINT (144.962558 -37.824159),654,326.88,49.51
15937619,POINT (144.963784 -37.823119),18450,504.38,81.87
15944321,POINT (144.959009 -37.826139),343,198.09,33.31
15945027,POINT (144.959479 -37.826778),343,86.77,16.27
15957537,POINT (144.967936 -37.828809),18225,234.03,50.74
15958741,POINT (144.959479 -37.826778),343,86.77,16.27
12809317,POINT (144.885826 -37.82953),26284,101.27,9.54
12874964,POINT (144.883983 -37.82971),26284,250.26,20.27
13305999,POINT (144.890035 -37.831132),26284,398.42,31.87
14583062,POINT (144.889151 -37.831933),26284,435.56,48.76
14885462,POINT (144.889151 -37.831933),26284,435.56,48.76
15757613,POINT (144.889151 -37.831933),26284,435.56,48.76
15797115,POINT (144.882661 -37.829393),6030,158.39,15.51
15811014,POINT (144.882692 -37.827406),6452,177.07,25.5
15857538,POINT (144.88063 -37.828266),6453,101.94,12.57
15912084,POINT (144.96763 -37.856885),4446,370.96,53.19
15913497,POINT (144.968921 -37.856655),10087,143.8,11.5
15928639,POINT (144.973524 -37.85668),20505,536.53,41.94
15928743,POINT (144.968179 -37.857171),4446,313.22,48.58
15930953,POINT (144.971612 -37.859648),22906,244.54,43.5
15947901,POINT (144.968921 -37.856655),10087,143.8,11.5
15950144,POINT (144.968034 -37.857099),4446,328.25,49.78
10592197,POINT (144.694097 -37.562112),40200,836.66,185.15
13741167,POINT (144.703895 -37.584407),22405,76.77,6.41
14890264,POINT (144.706501 -37.579062),8611,673.86,121.57
15134765,POINT (144.7078 -37.56163),7591,279.08,27.17
15190014,POINT (144.700419 -37.592125),44082,764.86,183.56
15933483,POINT (144.754091 -37.580032),21866,417.08,82.96
15934189,POINT (144.721875 -37.595406),44421,294.89,58.06
15941570,POINT (144.720069 -37.56771),7602,81.01,15.57
15950298,POINT (144.716487 -37.584737),28504,112.62,17.72
15036400,POINT (144.67516 -37.823541),28017,1608.24,195.63
15287717,POINT (144.674583 -37.829615),28016,734.11,104.61
15784192,POINT (144.685715 -37.837557),50098,486.74,69.17
15914173,POINT (144.659504 -37.864355),21631,262.48,50.57
15946690,POINT (144.685081 -37.842363),50097,342.21,43.1
15960114,POINT (144.678391 -37.825233),28017,1663.31,203.56
15960836,POINT (144.689125 -37.838485),50204,255.61,34.03
15622717,POINT (144.751048 -37.713303),46028,629.13,134.8
15939475,POINT (144.749999 -37.706659),23302,614.33,125.91
15953123,POINT (144.737764 -37.709673),51801,125.32,15.0
15956151,POINT (144.74606 -37.721642),22659,703.85,107.81
10399082,POINT (145.280579 -37.875513),14066,570.12,75.65
13402095,POINT (145.267909 -37.882282),8268,327.88,75.96
13973489,POINT (145.261483 -37.899393),14052,450.97,64.94
15115136,POINT (145.259481 -37.888778),15608,374.54,52.21
15839392,POINT (145.297437 -37.880556),12890,358.07,58.21
15841892,POINT (145.270477 -37.87112),14962,617.38,88.9
15869951,POINT (145.261246 -37.88215),15606,367.55,50.9
15885369,POINT (145.259032 -37.88961),14045,220.95,28.59
14207090,POINT (145.102782 -37.763108),5610,681.71,106.67
14346650,POINT (145.116822 -37.767439),5558,227.43,43.8
15575234,POINT (145.103299 -37.77204),20159,241.88,15.83
15782362,POINT (145.116454 -37.770438),5592,60.32,4.34
15899186,POINT (145.107835 -37.770257),975,503.01,81.22
15931664,POINT (145.114543 -37.771914),5557,169.21,28.33
15933304,POINT (145.099814 -37.770861),970,159.89,10.47
15933494,POINT (145.096014 -37.759106),6398,59.35,14.24
15945432,POINT (145.104896 -37.76445),5539,382.38,57.22
15953013,POINT (145.105054 -37.767163),5611,8.11,1.46
15954609,POINT (145.114064 -37.771376),5557,269.74,52.46
10857088,POINT (145.026395 -37.678902),8480,170.44,25.08
11425995,POINT (145.015209 -37.67916),vic:rail:TSN_PR1,15.57,2.68
13331516,POINT (145.009555 -37.677635),10638,271.68,21.73
15917807,POINT (145.015812 -37.68168),vic:rail:TSN_BR1,205.47,34.88
15923053,POINT (145.011748 -37.675412),4744,289.28,39.9
15924329,POINT (145.023615 -37.67725),8481,197.83,23.24
15941494,POINT (145.013354 -37.677138),5062,212.43,25.34
15941495,POINT (145.013354 -37.677138),5062,212.43,25.34
15943633,POINT (145.000749 -37.693794),10841,219.23,28.03
15945864,POINT (144.999431 -37.683397),40789,344.55,42.57
15946873,POINT (145.006985 -37.683924),11718,303.19,62.81
15951720,POINT (145.026307 -37.681654),10598,77.87,18.69
15517577,POINT (145.000547 -37.760216),20980,59.69,6.14
15804210,POINT (145.005676 -37.753004),1889,14.46,2.66
15836730,POINT (145.004379 -37.760125),9717,77.58,18.62
15863647,POINT (144.997338 -37.759066),9719,6.33,0.46
15864895,POINT (145.006738 -37.756053),560,488.24,88.39
15872421,POINT (144.981361 -37.754702),8832,313.03,45.46
15873331,POINT (145.004854 -37.760427),8825,168.27,35.83
15874307,POINT (144.993534 -37.755385),4472,371.76,38.4
15875739,POINT (145.013145 -37.764553),377,30.44,7.3
15882037,POINT (144.995384 -37.75925),9719,226.73,34.27
15883233,POINT (145.018805 -37.764277),687,269.3,46.09
15886177,POINT (144.995138 -37.761921),4469,287.54,41.08
15945134,POINT (145.020963 -37.844136),19334,358.79,44.63
15947621,POINT (145.004699 -37.841577),28704,49.65,6.73
15950418,POINT (145.010151 -37.836185),20718,210.05,50.41
15951008,POINT (145.0049 -37.845232),28707,205.11,45.01
15951048,POINT (145.007575 -37.843663),19330,334.73,35.74
15952138,POINT (145.006543 -37.840635),18707,101.3,12.15
15960971,POINT (145.005341 -37.847257),3941,233.1,43.19
15965016,POINT (145.007564 -37.84479),19330,433.22,48.44
15968264,POINT (145.026191 -37.850957),18945,2.53,0.26
15864558,POINT (144.329556 -38.309155),50672,187.34,25.98
15865612,POINT (144.342629 -38.309986),23273,482.64,80.21
15878822,POINT (144.322469 -38.318023),45192,391.96,89.57
15881055,POINT (144.329054 -38.308365),50670,48.39,4.52
11773318,POINT (146.519527 -38.208896),47748,141.14,20.17
15203565,POINT (146.529407 -38.205991),46126,343.8,41.25
15925006,POINT (146.541989 -38.194175),46108,610.91,60.07
15941819,POINT (146.506674 -38.184996),46114,255.69,35.28
15945684,POINT (146.510017 -38.189829),46142,224.84,17.99
15945836,POINT (146.514781 -38.20829),46130,76.15,13.71
15946941,POINT (146.52987 -38.189219),46111,266.19,63.88
15947750,POINT (146.521398 -38.196622),46202,185.11,38.22
15948676,POINT (146.55002 -38.199826),32380,313.52,57.04
15950463,POINT (146.527227 -38.188908),32304,302.55,72.61
15952057,POINT (146.501969 -38.183378),46115,880.17,79.26
15955361,POINT (146.523979 -38.183082),46118,398.71,80.08
15956346,POINT (146.558818 -38.19853),46110,391.58,87.33
15591377,POINT (144.722676 -37.847909),44346,780.44,98.49
15813070,POINT (144.715342 -37.820558),27987,2183.19,248.66
15847970,POINT (144.75 -37.81667),47620,21.8,3.14
15866923,POINT (144.711043 -37.833641),27989,397.2,50.62
