school_name,education_sector,school_type,establishment_year,x,y,coordinates
Aireys Inlet Primary School,Government,Primary,2023,144.1,-38.5,POINT (144.1 -38.5)
Somerville Secondary College,Government,Secondary,2023,145.2,-38.2,POINT (145.2 -38.2)
Skipton Primary School,Government,Primary,2023,143.4,-37.7,POINT (143.4 -37.7)
Simpson Primary School,Government,Primary,2023,143.2,-38.5,POINT (143.2 -38.5)
Shepparton East Primary School,Government,Primary,2023,145.5,-36.4,POINT (145.5 -36.4)
Shelford Primary School,Government,Primary,2023,144.0,-38.0,POINT (144 -38)
Seymour College,Government,Pri/Sec,2023,145.1,-37.0,POINT (145.1 -37)
Seville Primary School,Government,Primary,2023,145.5,-37.8,POINT (145.5 -37.8)
Seaspray Primary School,Government,Primary,2023,147.2,-38.4,POINT (147.2 -38.4)
Sandringham College,Government,Secondary,2023,145.0,-38.0,POINT (145 -38)
Sale College,Government,Secondary,2023,147.1,-38.1,POINT (147.1 -38.1)
Sacred Heart School,Catholic,Primary,2023,145.2,-36.4,POINT (145.2 -36.4)
Son Centre Christian College,Independent,Primary,2023,143.5,-35.4,POINT (143.5 -35.4)
Sacred Heart College,Catholic,Secondary,2023,144.5,-37.3,POINT (144.5 -37.3)
Rushworth P-12 College,Government,Pri/Sec,2023,145.0,-36.6,POINT (145 -36.6)
Rupanyup Primary School,Government,Primary,2023,142.6,-36.6,POINT (142.6 -36.6)
Rubicon Outdoor School,Government,Secondary,2023,145.8,-37.3,POINT (145.8 -37.3)
Rowville Secondary College,Government,Secondary,2023,145.2,-37.9,POINT (145.2 -37.9)
Rosedale Primary School,Government,Primary,2023,146.8,-38.2,POINT (146.8 -38.2)
Rosebud Secondary College,Government,Secondary,2023,144.9,-38.4,POINT (144.9 -38.4)
Romsey Primary School,Government,Primary,2023,144.7,-37.4,POINT (144.7 -37.4)
Rokewood Primary School,Government,Primary,2023,143.7,-37.9,POINT (143.7 -37.9)
Robinvale College,Government,Pri/Sec,2023,142.8,-34.6,POINT (142.8 -34.6)
Redesdale Mia Mia Primary School,Government,Primary,2023,144.5,-37.0,POINT (144.5 -37)
Red Rock Christian College,Independent,Pri/Sec,2023,144.7,-37.5,POINT (144.7 -37.5)
Red Hill Consolidated School,Government,Primary,2023,145.0,-38.4,POINT (145 -38.4)
Rye Primary School,Government,Primary,2023,144.8,-38.4,POINT (144.8 -38.4)
Springhurst Primary School,Government,Primary,2023,146.5,-36.2,POINT (146.5 -36.2)
St Ambrose's School,Catholic,Primary,2023,144.5,-37.4,POINT (144.5 -37.4)
St Andrews Primary School,Government,Primary,2023,145.3,-37.6,POINT (145.3 -37.6)
St Liborius' School,Catholic,Primary,2023,144.3,-36.7,POINT (144.3 -36.7)
St Leonards Primary School,Government,Primary,2023,144.7,-38.2,POINT (144.7 -38.2)
St Joseph's School,Catholic,Primary,2023,144.7,-36.4,POINT (144.7 -36.4)
St Joseph's College Mildura,Catholic,Secondary,2023,142.2,-34.2,POINT (142.2 -34.2)
St John's School,Catholic,Primary,2023,142.4,-38.4,POINT (142.4 -38.4)
St Ignatius College Geelong,Catholic,Secondary,2023,,,POINT (NaN NaN)
St Francis of the Fields School,Catholic,Primary,2023,144.4,-36.8,POINT (144.4 -36.8)
St Columba's School,Catholic,Primary,2023,143.9,-37.5,POINT (143.9 -37.5)
St Colman's School,Catholic,Primary,2023,142.8,-38.1,POINT (142.8 -38.1)
St Brigid's School,Catholic,Primary,2023,144.6,-37.5,POINT (144.6 -37.5)
St Brendan's School,Catholic,Primary,2023,143.5,-38.3,POINT (143.5 -38.3)
St Brendan's Primary School,Catholic,Primary,2023,144.0,-37.6,POINT (144 -37.6)
St Augustine's School,Catholic,Primary,2023,143.9,-37.4,POINT (143.9 -37.4)
St Augustine's College,Catholic,Pri/Sec,2023,145.0,-36.3,POINT (145 -36.3)
St Arnaud Secondary College,Government,Secondary,2023,143.3,-36.6,POINT (143.3 -36.6)
St Angela of the Cross Primary School,Catholic,Primary,2023,146.0,-38.1,POINT (146 -38.1)
Red Cliffs Secondary College,Government,Secondary,2023,142.2,-34.3,POINT (142.2 -34.3)
St Malachy's School,Catholic,Primary,2023,141.3,-37.0,POINT (141.3 -37)
Raywood Primary School,Government,Primary,2023,144.2,-36.5,POINT (144.2 -36.5)
Rainbow P-12 College,Government,Pri/Sec,2023,142.0,-35.9,POINT (142 -35.9)
Northern Bay P-12 College,Government,Pri/Sec,2023,144.4,-38.1,POINT (144.4 -38.1)
Nicholson Primary School,Government,Primary,2023,147.7,-37.8,POINT (147.7 -37.8)
Nhill College,Government,Pri/Sec,2023,141.7,-36.3,POINT (141.7 -36.3)
Newstead Primary School,Government,Primary,2023,144.1,-37.1,POINT (144.1 -37.1)
Newmerella Primary School,Government,Primary,2023,148.4,-37.7,POINT (148.4 -37.7)
Newlyn Primary School,Government,Primary,2023,144.0,-37.4,POINT (144 -37.4)
Newhaven Primary School,Government,Primary,2023,145.4,-38.5,POINT (145.4 -38.5)
Newhaven College,Independent,Pri/Sec,2023,145.3,-38.5,POINT (145.3 -38.5)
Newham Primary School,Government,Primary,2023,144.6,-37.3,POINT (144.6 -37.3)
Neerim District Secondary College,Government,Secondary,2023,146.0,-38.0,POINT (146 -38)
Navarre Primary School,Government,Primary,2023,143.1,-36.9,POINT (143.1 -36.9)
Natte Yallock Primary School,Government,Primary,2023,143.5,-36.9,POINT (143.5 -36.9)
Nossal High School,Government,Secondary,2023,145.3,-38.0,POINT (145.3 -38)
Natimuk Primary School,Government,Primary,2023,142.0,-36.7,POINT (142 -36.7)
Narrawong District Primary School,Government,Primary,2023,141.7,-38.3,POINT (141.7 -38.3)
Narracan Primary School,Government,Primary,2023,146.2,-38.3,POINT (146.2 -38.3)
Napoleons Primary School,Government,Primary,2023,143.8,-37.7,POINT (143.8 -37.7)
Nanneella Estate Primary School,Government,Primary,2023,144.8,-36.3,POINT (144.8 -36.3)
Nangiloc Colignan and District Primary School,Government,Primary,2023,142.4,-34.5,POINT (142.4 -34.5)
Nambrok Denison Primary School,Government,Primary,2023,146.9,-38.1,POINT (146.9 -38.1)
Myrtleford P-12 College,Government,Pri/Sec,2023,146.7,-36.5,POINT (146.7 -36.5)
Myrrhee Primary School,Government,Primary,2023,146.3,-36.7,POINT (146.3 -36.7)
Myrniong Primary School,Government,Primary,2023,144.3,-37.6,POINT (144.3 -37.6)
Murrayville Community College,Government,Pri/Sec,2023,141.2,-35.3,POINT (141.2 -35.3)
Murrabit Group School,Government,Primary,2023,144.0,-35.5,POINT (144 -35.5)
Murchison Primary School,Government,Primary,2023,145.2,-36.6,POINT (145.2 -36.6)
