property_id,url,rental_price,bedrooms,bathrooms,car_spaces,property_type,land_area,property_features,suburb,postcode,scraped_date,wayback_url,wayback_time
14902826,/38a-high-street-yea-vic-3717-14902826,$250 p.w.,,,1,Studio,0,", ,, ,1,",YEA,3717,2024-06-22 22:47:55,https://web.archive.org/web/20240622224755/https://www.domain.com.au/38a-high-street-yea-vic-3717-14902826,20240622224755
16702678,/7-the-semi-circle-yea-vic-3717-16702678,$480 weekly,4,1,4,House,675,"4, ,1, ,4, 675,",YEA,3717,2024-06-22 22:47:55,https://web.archive.org/web/20240622224755/https://www.domain.com.au/7-the-semi-circle-yea-vic-3717-16702678,20240622224755
16890792,/1-183-burns-road-glenburn-vic-3717-16890792,$400 pw,3,2,,Apartment / Unit / Flat,0,"3, ,2, ,,",GLENBURN,3717,2024-06-22 22:47:55,https://web.archive.org/web/20240622224755/https://www.domain.com.au/1-183-burns-road-glenburn-vic-3717-16890792,20240622224755
16914840,/3558a-maroondah-highway-acheron-vic-3714-16914840,$380 pw,3,1,,House,0,"3, ,1, ,,",ACHERON,3714,2024-06-22 22:47:55,https://web.archive.org/web/20240622224755/https://www.domain.com.au/3558a-maroondah-highway-acheron-vic-3714-16914840,20240622224755
17035494,/11-high-street-yea-vic-3717-17035494,$375 pw,2,1,,House,1360,"2, ,1, ,, 1360,",YEA,3717,2024-06-22 22:47:55,https://web.archive.org/web/20240622224755/https://www.domain.com.au/11-high-street-yea-vic-3717-17035494,20240622224755
17035607,/15-broome-road-flowerdale-vic-3717-17035607,$480 pw,4,1,2,House,808,"4, ,1, ,2, 808,",FLOWERDALE,3717,2024-06-22 22:47:55,https://web.archive.org/web/20240622224755/https://www.domain.com.au/15-broome-road-flowerdale-vic-3717-17035607,20240622224755
17042889,/19-william-hovell-way-yea-vic-3717-17042889,$550,4,2,2,House,0,"4, ,2, ,2,",YEA,3717,2024-06-22 22:47:55,https://web.archive.org/web/20240622224755/https://www.domain.com.au/19-william-hovell-way-yea-vic-3717-17042889,20240622224755
17051644,/136-high-street-yea-vic-3717-17051644,$400,3,2,1,House,0,"3, ,2, ,1,",YEA,3717,2024-06-22 22:47:55,https://web.archive.org/web/20240622224755/https://www.domain.com.au/136-high-street-yea-vic-3717-17051644,20240622224755
17066067,/5-whatton-place-yea-vic-3717-17066067,$420 pw,2,2,1,Apartment / Unit / Flat,0,"2, ,2, ,1,",YEA,3717,2024-06-22 22:47:55,https://web.archive.org/web/20240622224755/https://www.domain.com.au/5-whatton-place-yea-vic-3717-17066067,20240622224755
17066188,/12-melbourne-road-road-yea-vic-3717-17066188,$465 pw,3,1,2,House,0,"3, ,1, ,2,",YEA,3717,2024-06-22 22:47:55,https://web.archive.org/web/20240622224755/https://www.domain.com.au/12-melbourne-road-road-yea-vic-3717-17066188,20240622224755
9907914,/unit-69a-moore-road-airport-west-vic-3042-9907914,$320 per week,2,1,1,Apartment / Unit / Flat,0,"2, ,1, ,1,",AIRPORT WEST,3042,2024-06-23 08:50:45,https://web.archive.org/web/20240623085045/https://www.domain.com.au/unit-69a-moore-road-airport-west-vic-3042-9907914,20240623085045
15469733,/30-woodstock-drive-gladstone-park-vic-3043-15469733,$550,3,1,3,House,0,"3, ,1, ,3,",GLADSTONE PARK,3043,2024-06-23 08:50:45,https://web.archive.org/web/20240623085045/https://www.domain.com.au/30-woodstock-drive-gladstone-park-vic-3043-15469733,20240623085045
16262399,/14-200-melrose-drive-tullamarine-vic-3043-16262399,$425,2,1,1,Apartment / Unit / Flat,0,"2, ,1, ,1,",TULLAMARINE,3043,2024-06-23 08:50:45,https://web.archive.org/web/20240623085045/https://www.domain.com.au/14-200-melrose-drive-tullamarine-vic-3043-16262399,20240623085045
16962601,/67-fraser-street-airport-west-vic-3042-16962601,$800.00,4,3,2,Townhouse,0,"4, ,3, ,2,",AIRPORT WEST,3042,2024-06-23 08:50:45,https://web.archive.org/web/20240623085045/https://www.domain.com.au/67-fraser-street-airport-west-vic-3042-16962601,20240623085045
17007739,/703-19-russell-street-essendon-north-vic-3041-17007739,$725 per week,2,2,2,Apartment / Unit / Flat,0,"2, ,2, ,2,",ESSENDON NORTH,3041,2024-06-23 08:50:45,https://web.archive.org/web/20240623085045/https://www.domain.com.au/703-19-russell-street-essendon-north-vic-3041-17007739,20240623085045
17027616,/2-70-king-street-airport-west-vic-3042-17027616,$725.00,4,3,2,Townhouse,0,"4, ,3, ,2,",AIRPORT WEST,3042,2024-06-23 08:50:45,https://web.archive.org/web/20240623085045/https://www.domain.com.au/2-70-king-street-airport-west-vic-3042-17027616,20240623085045
17029316,/3-10-highlands-avenue-airport-west-vic-3042-17029316,$550 per week,2,1,1,House,0,"2, ,1, ,1,",AIRPORT WEST,3042,2024-06-23 08:50:45,https://web.archive.org/web/20240623085045/https://www.domain.com.au/3-10-highlands-avenue-airport-west-vic-3042-17029316,20240623085045
17040327,/1-7-bowes-avenue-airport-west-vic-3042-17040327,$695.00,4,3,1,Townhouse,0,"4, ,3, ,1,",AIRPORT WEST,3042,2024-06-23 08:50:45,https://web.archive.org/web/20240623085045/https://www.domain.com.au/1-7-bowes-avenue-airport-west-vic-3042-17040327,20240623085045
17047965,/3-24-vaucluse-avenue-gladstone-park-vic-3043-17047965,"APPLICATION PENDING | $2,167 P.C.M",2,1,1,Apartment / Unit / Flat,0,"2, ,1, ,1,",GLADSTONE PARK,3043,2024-06-23 08:50:45,https://web.archive.org/web/20240623085045/https://www.domain.com.au/3-24-vaucluse-avenue-gladstone-park-vic-3043-17047965,20240623085045
17056190,/13-etzel-st-airport-west-vic-3042-17056190,$750.00,3,2,2,House,0,"3, ,2, ,2,",AIRPORT WEST,3042,2024-06-23 08:50:45,https://web.archive.org/web/20240623085045/https://www.domain.com.au/13-etzel-st-airport-west-vic-3042-17056190,20240623085045
17057571,/2a-highlawn-avenue-airport-west-vic-3042-17057571,$550pw/ $2390pcm,2,2,2,Townhouse,0,"2, ,2, ,2,",AIRPORT WEST,3042,2024-06-23 08:50:45,https://web.archive.org/web/20240623085045/https://www.domain.com.au/2a-highlawn-avenue-airport-west-vic-3042-17057571,20240623085045
17060022,/25a-dudley-street-essendon-north-vic-3041-17060022,$820.00,4,3,2,Townhouse,0,"4, ,3, ,2,",ESSENDON NORTH,3041,2024-06-23 08:50:45,https://web.archive.org/web/20240623085045/https://www.domain.com.au/25a-dudley-street-essendon-north-vic-3041-17060022,20240623085045
17067893,/16-etzel-street-airport-west-vic-3042-17067893,$800.00,4,3,1,Townhouse,0,"4, ,3, ,1,",AIRPORT WEST,3042,2024-06-23 08:50:45,https://web.archive.org/web/20240623085045/https://www.domain.com.au/16-etzel-street-airport-west-vic-3042-17067893,20240623085045
17069872,/86-bowes-avenue-airport-west-vic-3042-17069872,$640,3,2,2,House,0,"3, ,2, ,2,",AIRPORT WEST,3042,2024-06-23 08:50:45,https://web.archive.org/web/20240623085045/https://www.domain.com.au/86-bowes-avenue-airport-west-vic-3042-17069872,20240623085045
17070379,/19-south-road-airport-west-vic-3042-17070379,"APPLICATION APPROVED $910 PER WEEK | $3,944 P.C.M",5,2,3,House,0,"5, ,2, ,3,",AIRPORT WEST,3042,2024-06-23 08:50:45,https://web.archive.org/web/20240623085045/https://www.domain.com.au/19-south-road-airport-west-vic-3042-17070379,20240623085045
17070561,/8-harrington-rd-airport-west-vic-3042-17070561,$750 weekly,3,2,2,House,0,"3, ,2, ,2,",AIRPORT WEST,3042,2024-06-23 08:50:45,https://web.archive.org/web/20240623085045/https://www.domain.com.au/8-harrington-rd-airport-west-vic-3042-17070561,20240623085045
17071523,/3-90-clydesdale-road-airport-west-vic-3042-17071523,$550.00,2,2,1,Apartment / Unit / Flat,0,"2, ,2, ,1,",AIRPORT WEST,3042,2024-06-23 08:50:45,https://web.archive.org/web/20240623085045/https://www.domain.com.au/3-90-clydesdale-road-airport-west-vic-3042-17071523,20240623085045
17075133,/94-haldane-road-niddrie-vic-3042-17075133,$720pw/ $3129pcm,3,2,2,House,0,"3, ,2, ,2,",NIDDRIE,3042,2024-06-23 08:50:45,https://web.archive.org/web/20240623085045/https://www.domain.com.au/94-haldane-road-niddrie-vic-3042-17075133,20240623085045
17075798,/3-89-wyong-street-keilor-east-vic-3033-17075798,$560,2,1,2,Townhouse,113,"2, ,1, ,2, 113,",KEILOR EAST,3033,2024-06-23 08:50:45,https://web.archive.org/web/20240623085045/https://www.domain.com.au/3-89-wyong-street-keilor-east-vic-3033-17075798,20240623085045
17076171,/1-29-cameron-street-airport-west-vic-3042-17076171,$600.00,3,2,1,Apartment / Unit / Flat,0,"3, ,2, ,1,",AIRPORT WEST,3042,2024-06-23 08:50:45,https://web.archive.org/web/20240623085045/https://www.domain.com.au/1-29-cameron-street-airport-west-vic-3042-17076171,20240623085045
14869045,/27-bannister-street-alfredton-vic-3350-14869045,$400 p.w.,3,2,2,Townhouse,0,"3, ,2, ,2,",ALFREDTON,3350,2024-07-21 22:00:14,https://web.archive.org/web/20240721220014/https://www.domain.com.au/27-bannister-street-alfredton-vic-3350-14869045,20240721220014
15448477,/5-beldi-street-alfredton-vic-3350-15448477,$460.00 per week,4,2,2,House,0,"4, ,2, ,2,",ALFREDTON,3350,2024-07-21 22:00:14,https://web.archive.org/web/20240721220014/https://www.domain.com.au/5-beldi-street-alfredton-vic-3350-15448477,20240721220014
15811503,/21-kalamata-avenue-alfredton-vic-3350-15811503,$500 p/w,4,2,2,House,0,"4, ,2, ,2,",ALFREDTON,3350,2024-07-21 22:00:14,https://web.archive.org/web/20240721220014/https://www.domain.com.au/21-kalamata-avenue-alfredton-vic-3350-15811503,20240721220014
16123121,/60-willoby-drive-alfredton-vic-3350-16123121,$480.00 per week,4,2,2,House,0,"4, ,2, ,2,",ALFREDTON,3350,2024-07-21 22:00:14,https://web.archive.org/web/20240721220014/https://www.domain.com.au/60-willoby-drive-alfredton-vic-3350-16123121,20240721220014
16239437,/15-bannister-street-alfredton-vic-3350-16239437,$400.00 per week,4,2,2,House,0,"4, ,2, ,2,",ALFREDTON,3350,2024-07-21 22:00:14,https://web.archive.org/web/20240721220014/https://www.domain.com.au/15-bannister-street-alfredton-vic-3350-16239437,20240721220014
16588704,/43-walters-way-alfredton-vic-3350-16588704,$465 p.w.,4,2,2,House,0,"4, ,2, ,2,",ALFREDTON,3350,2024-07-21 22:00:14,https://web.archive.org/web/20240721220014/https://www.domain.com.au/43-walters-way-alfredton-vic-3350-16588704,20240721220014
17106754,/18-lawrence-street-alfredton-vic-3350-17106754,$350.00,3,1,1,House,0,"3, ,1, ,1,",ALFREDTON,3350,2024-07-21 22:00:14,https://web.archive.org/web/20240721220014/https://www.domain.com.au/18-lawrence-street-alfredton-vic-3350-17106754,20240721220014
17108783,/2-signature-drive-alfredton-vic-3350-17108783,$550.00 per week,4,2,2,House,0,"4, ,2, ,2,",ALFREDTON,3350,2024-07-21 22:00:14,https://web.archive.org/web/20240721220014/https://www.domain.com.au/2-signature-drive-alfredton-vic-3350-17108783,20240721220014
17109311,/10-verdale-dr-alfredton-vic-3350-17109311,$460 weekly,4,2,2,House,0,"4, ,2, ,2,",ALFREDTON,3350,2024-07-21 22:00:14,https://web.archive.org/web/20240721220014/https://www.domain.com.au/10-verdale-dr-alfredton-vic-3350-17109311,20240721220014
17109642,/7-moseley-street-alfredton-vic-3350-17109642,$580.00 per week,5,2,2,House,0,"5, ,2, ,2,",ALFREDTON,3350,2024-07-21 22:00:14,https://web.archive.org/web/20240721220014/https://www.domain.com.au/7-moseley-street-alfredton-vic-3350-17109642,20240721220014
17110038,/3-munro-street-alfredton-vic-3350-17110038,$480 p.w.,4,2,2,House,0,"4, ,2, ,2,",ALFREDTON,3350,2024-07-21 22:00:14,https://web.archive.org/web/20240721220014/https://www.domain.com.au/3-munro-street-alfredton-vic-3350-17110038,20240721220014
17110595,/42-victory-avenue-alfredton-vic-3350-17110595,$380.00,2,1,2,House,0,"2, ,1, ,2,",ALFREDTON,3350,2024-07-21 22:00:14,https://web.archive.org/web/20240721220014/https://www.domain.com.au/42-victory-avenue-alfredton-vic-3350-17110595,20240721220014
17111825,/109-dyson-drive-alfredton-vic-3350-17111825,$480.00,3,2,3,House,0,"3, ,2, ,3,",ALFREDTON,3350,2024-07-21 22:00:14,https://web.archive.org/web/20240721220014/https://www.domain.com.au/109-dyson-drive-alfredton-vic-3350-17111825,20240721220014
