property_id,rental_price,bedrooms,bathrooms,car_spaces,property_type,suburb,year,quarter,address
16436901,650.0,1,1,1,Apartment / Unit / Flat,st kilda,2025,2,"64 Fitzroy Street St, Kilda, VIC 3182"
16571453,550.0,1,1,1,Apartment / Unit / Flat,melbourne,2025,2,"9 Commercial Road, Melbourne, VIC 3004"
16981180,545.0,1,1,1,Apartment / Unit / Flat,albert park-middle park-west st kilda,2025,2,"9 Faussett Street Albert, Park, VIC 3206"
17601446,1800.0,3,3,1,House,albert park-middle park-west st kilda,2025,2,"Ashworth Street Albert, Park, VIC 3206"
17656206,870.0,3,1,2,House,albert park-middle park-west st kilda,2025,2,"Neville Street Albert, Park, VIC 3206"
17658338,725.0,2,1,2,House,albert park-middle park-west st kilda,2025,2,"Withers Street Albert, Park, VIC 3206"
17668711,2500.0,4,2,1,House,albert park-middle park-west st kilda,2025,2,"Kerferd Road Albert, Park, VIC 3206"
17671491,650.0,2,1,2,House,albert park-middle park-west st kilda,2025,2,"Carter Street Albert, Park, VIC 3206"
17676031,1200.0,3,2,1,House,albert park-middle park-west st kilda,2025,2,"Merton Street Albert, Park, VIC 3206"
17679433,750.0,2,1,1,Apartment / Unit / Flat,melbourne,2025,2,"418 St Kilda Road, Melbourne, VIC 3004"
17681721,1700.0,4,3,2,Townhouse,albert park-middle park-west st kilda,2025,2,"Graham Street Albert, Park, VIC 3206"
17682283,620.0,2,1,1,Apartment / Unit / Flat,albert park-middle park-west st kilda,2025,2,"227 Bridport Street West Albert, Park, VIC 3206"
17683733,1150.0,3,2,1,House,albert park-middle park-west st kilda,2025,2,"Ferrars Street Albert, Park, VIC 3206"
17688771,625.0,2,1,1,Apartment / Unit / Flat,melbourne,2025,2,"470 St Kilda Road, Melbourne, VIC 3004"
17689863,675.0,2,2,1,Apartment / Unit / Flat,south melbourne,2025,2,"244 Dorcas Street South, Melbourne, VIC 3205"
17690576,500.0,1,1,1,Apartment / Unit / Flat,st kilda,2025,2,"109 Inkerman St St, Kilda, VIC 3182"
