property_id,coordinates
17725068.0,POINT (-37.6066915 145.1350587)
17725072.0,POINT (-37.6065577 145.1350824)
17730018.0,POINT (-37.6016126 145.1161016)
17731799.0,POINT (-37.60970690000001 145.1138971)
17731911.0,POINT (-37.5988946 145.1299053)
17735221.0,POINT (-37.6150586 145.1253192)
15888410.0,POINT (-37.5881973 145.1173726)
17744937.0,POINT (-37.6130849 145.1349647)
17741859.0,POINT (-37.9932185 145.2337827)
15084012.0,POINT (-37.9887375 145.236214)
17758313.0,POINT (-37.9864481 145.2399077)
17694493.0,POINT (-37.9953632 145.2301541)
17706188.0,POINT (-37.9955551 145.2292549)
17708931.0,POINT (-37.9905963 145.2456717)
17711848.0,POINT (-37.9955922 145.2295765)
17714622.0,POINT (-37.9827547 145.2384193)
16113408.0,POINT (-37.9912938 145.2395806)
17727942.0,POINT (-37.991715 145.242177)
17492456.0,POINT (-37.9908806 145.2502133)
17741683.0,POINT (-37.99271299999999 145.2326161)
17741815.0,POINT (-37.9956924 145.235549)
17744011.0,POINT (-37.9924865 145.2355494)
16840642.0,POINT (-37.9917484 145.2448876)
12873883.0,POINT (-37.5959887 145.1139093)
16691190.0,POINT (-37.5799792 145.1286647)
17747721.0,POINT (-37.5789008 145.1260623)
17750134.0,POINT (-37.6104774 145.1315019)
17750597.0,POINT (-37.6076478 145.1235673)
15428464.0,POINT (-37.6028641 145.1201496)
17752229.0,POINT (-37.6035914 145.1102565)
17707480.0,POINT (-37.6069807 145.1347903)
17742378.0,POINT (-37.60537 145.1254916)
17700464.0,POINT (-37.5829042 145.1193412)
17752677.0,POINT (-37.6094009 145.1218493)
17752894.0,POINT (-37.6149522 145.1217415)
12190180.0,POINT (-37.6020333 145.1221622)
17757459.0,POINT (-37.6026578 145.1183638)
17757522.0,POINT (-37.60686940000001 145.1175379)
17758154.0,POINT (-37.5877908 145.1262272)
17735061.0,POINT (-37.6099031 145.12894)
17581314.0,POINT (-38.332476 144.9784977)
17751732.0,POINT (-38.1416739 145.8445166)
17703028.0,POINT (-38.1202917 145.860223)
16263794.0,POINT (-38.1274144 145.8637261)
14429283.0,POINT (-38.1421293 145.8411051)
17716668.0,POINT (-38.12885 145.8666925)
