property_id,coordinates,driving_5min,driving_10min,driving_15min,walking_5min,walking_10min,walking_15min
17680358,POINT (-38.0764814 145.4882202),,,,,,
17694933,POINT (-38.0593403 145.4832078),,,,,,
17730581,POINT (-38.0569926 145.4465182),,,,,,
17702094,POINT (-38.0650725 145.5046159),,,,,,
17733281,POINT (-38.0646585 145.4900668),,,,,,
17745555,POINT (-38.0579055 145.4964897),,,,,,
17453207,POINT (-38.0776708 145.4818724),,,,,,
17746703,POINT (-38.0601225 145.4946037),,,,,,
17723058,POINT (-38.0887368 145.470538),,,,,,
15401435,POINT (-38.0566766 145.4637121),,,,,,
17721849,POINT (-38.0726771 145.4913234),,,,,,
15354943,POINT (-38.0830489 145.4832691),,,,,,
17747314,POINT (-38.0552869 145.4878947),,,,,,
17729584,POINT (-38.0742978 145.4495811),,,,,,
17719857,POINT (-38.0767026 145.5152164),,,,,,
17672449,POINT (-38.0780201 145.515635),,,,,,
17678430,POINT (-38.0535098 145.4775177),,,,,,
17661929,POINT (-38.0773985 145.5157022),,,,,,
17641028,POINT (-38.0733543 145.489018),,,,,,
17757602,POINT (-38.0694679 145.4465886),,,,,,
17749361,POINT (-38.0604824 145.4865963),,,,,,
17753587,POINT (-38.0741356 145.4379409),,,,,,
17667211,POINT (-38.057595 145.4511635),,,,,,
17687475,POINT (-38.0712091 145.4847423),,,,,,
17723842,POINT (-38.0630283 145.5104305),,,,,,
17735824,POINT (-38.0884813 145.4671309),,,,,,
17604703,POINT (-38.1180282 145.485098),,,,,,
17704232,POINT (-38.0621279 145.501387),,,,,,
16922625,POINT (-38.0744874 145.44703),,,,,,
17750861,POINT (-38.0875805 145.4862067),,,,,,
16283600,POINT (-38.0775481 145.4505809),,,,,,
17691801,POINT (-38.0655174 145.4926025),,,,,,
17713323,POINT (-38.0808793 145.4515376),,,,,,
17745216,POINT (-38.0788854 145.4895984),,,,,,
17710556,POINT (-38.08018 145.4397847),,,,,,
17737289,POINT (-38.0783374 145.490679),,,,,,
17747578,POINT (-38.0673126 145.4557362),,,,,,
17750930,POINT (-38.0789672 145.4491531),,,,,,
17730447,POINT (-38.07979700000001 145.4388602),,,,,,
17744392,POINT (-38.054713 145.4668355),,,,,,
17458665,POINT (-38.00164040000001 145.4782288),,,,,,
17739528,POINT (-38.1921996 147.4212659),,,,,,
17594900,POINT (-37.7888072 145.2222707),,,,,,
17716852,POINT (-37.647753 145.2432314),,,,,,
15163589,POINT (-37.7785874 144.9392004),,,,,,
14849470,POINT (-37.7862291 144.9416219),,,,,,
17704899,POINT (-37.7779917 144.9385346),,,,,,
17707811,POINT (-37.7841588 144.9410827),,,,,,
17731082,POINT (-37.7855781 144.9571871),,,,,,
17743546,POINT (-37.7849331 144.9414956),,,,,,
15933926,POINT (-37.7935219 144.9561373),,,,,,
17707891,POINT (-37.7841588 144.9410827),,,,,,
10052357,POINT (-37.7961288 144.9544252),,,,,,
17746112,POINT (-37.7798652 144.9396855),,,,,,
11612335,POINT (-37.77754669999999 144.938237),,,,,,
17735973,POINT (-37.7855044 144.9415526),,,,,,
17698275,POINT (-37.7885998 144.9417786),,,,,,
17721452,POINT (-37.7785874 144.9392004),,,,,,
16506421,POINT (-37.7380247 144.9347392),,,,,,
