property_id,coordinates
16115210.0,POINT (-38.103597 145.12663)
16115210.0,POINT (-38.103597 145.12663)
16115210.0,POINT (-38.103597 145.12663)
16115210.0,POINT (-38.103597 145.12663)
16115210.0,POINT (-38.103597 145.12663)
16115210.0,POINT (-38.103597 145.12663)
16115210.0,POINT (-38.103597 145.12663)
16115210.0,POINT (-38.103597 145.12663)
17593651.0,POINT (-38.112341 145.13075)
17722590.0,POINT (-38.1036462 145.1448911)
15638001.0,POINT (-38.1109133 145.1324073)
17726863.0,POINT (-38.12415 145.136161)
17738087.0,POINT (-37.582656 143.8335123)
17749790.0,POINT (-37.5918265 143.8464493)
16772125.0,POINT (-37.601146 143.8249071)
17629226.0,POINT (-37.5838144 143.8303879)
17630370.0,POINT (-37.5813328 143.8309172)
17683051.0,POINT (-37.6096972 143.838862)
17683051.0,POINT (-37.6096972 143.838862)
17689760.0,POINT (-37.58832580000001 143.8398803)
17689760.0,POINT (-37.58832580000001 143.8398803)
17704445.0,POINT (-37.5842648 143.8341798)
17751852.0,POINT (-38.1237057 145.1354586)
17748551.0,POINT (-38.0891017 145.1305527)
17748551.0,POINT (-38.0891017 145.1305527)
17748551.0,POINT (-38.0891017 145.1305527)
17748551.0,POINT (-38.0891017 145.1305527)
17748551.0,POINT (-38.0891017 145.1305527)
17748551.0,POINT (-38.0891017 145.1305527)
17748551.0,POINT (-38.0891017 145.1305527)
17748551.0,POINT (-38.0891017 145.1305527)
17752584.0,POINT (-38.1114824 145.1463089)
17756892.0,POINT (-38.112376 145.125881)
17733478.0,POINT (-38.1085898 145.1526237)
17709393.0,POINT (-37.597402 143.8377852)
17709393.0,POINT (-37.597402 143.8377852)
17715299.0,POINT (-37.5823409 143.8396577)
17727724.0,POINT (-37.5944011 143.8253092)
17728666.0,POINT (-37.5878438 143.8413112)
17520636.0,POINT (-37.5957786 143.837058)
17730841.0,POINT (-37.6098383 143.8332188)
17731417.0,POINT (-37.6074629 143.8416068)
17739907.0,POINT (-37.5812999 143.8276451)
17739907.0,POINT (-37.5812999 143.8276451)
17743020.0,POINT (-37.5918964 143.8285011)
17750759.0,POINT (-37.6060814 143.8449076)
