property_id,coordinates
17758724,POINT (-37.88353720000001 144.6276339)
17758700,POINT (-37.55971359999999 143.8731025)
17758698,POINT (-37.7474285 144.9625034)
17758685,POINT (-37.517536 144.9629522)
17758681,POINT (-38.0348955 147.0778957)
17758663,POINT (-37.5224452 144.9590061)
17758623,POINT (-38.45268799999999 145.2740744)
17758612,POINT (-37.8903488 145.0577659)
17758591,POINT (-37.8411043 144.671288)
17758570,POINT (-37.36243400000001 144.5264994)
17758567,POINT (-38.0776708 145.4818724)
17758560,POINT (-37.821961 144.9622479)
17758556,POINT (-36.6995048 142.1985015)
17758554,POINT (-38.1616315 145.1438021)
17758552,POINT (-37.8332859 144.9258893)
17758547,POINT (-37.80568 144.9627446)
17758534,POINT (-38.1058312 145.3070049)
17758516,POINT (-37.811294 144.9610041)
17758512,POINT (-37.8857762 145.0884741)
17758510,POINT (-37.8199225 144.9928623)
17758504,POINT (-37.7714007 144.8465035)
17758502,POINT (-37.9599571 145.1467845)
17758484,POINT (-37.7701936 144.6922889)
17758478,POINT (-38.166543 144.3901001)
17758477,POINT (-37.8146682 144.9466992)
17758471,POINT (-37.8173833 144.953627)
17758451,POINT (-37.892789 144.7146276)
17758434,POINT (-37.8946058 144.5869652)
17758432,POINT (-37.7994778 144.8897565)
17758422,POINT (-38.1019672 144.3277692)
17758420,POINT (-37.9173947 145.0214264)
17758411,POINT (-35.9123114 145.6488415)
17758398,POINT (-37.6282207 144.9161305)
17758393,POINT (-37.0358346 146.1059873)
17758392,POINT (-37.73683219999999 144.8041953)
17758382,POINT (-37.8016732 144.895368)
17758380,POINT (-37.8485067 144.9903284)
17758379,POINT (-37.8429001 144.6456363)
17758375,POINT (-37.78757460000001 145.1270091)
17758369,POINT (-37.8597813 145.0097362)
17758358,POINT (-37.8223621 144.6780028)
17758354,POINT (-37.5967472 143.8248814)
17758339,POINT (-38.08093119999999 145.3248364)
17758317,POINT (-37.6750107 145.1619929)
17758315,POINT (-37.8009531 145.2380292)
17758310,POINT (-37.9606088 145.0403187)
17758307,POINT (-37.8943626 145.0170294)
17758301,POINT (-37.8604098 144.9852598)
17758289,POINT (-37.8107257 144.9574473)
17758279,POINT (-38.0493451 144.1614922)
17758273,POINT (-37.8074961 144.9707342)
17758234,POINT (-37.8483901 145.1663101)
17758214,POINT (-37.545469 145.013421)
17758201,POINT (-37.8095025 144.9566681)
17758187,POINT (-37.733571 144.9331663)
17758182,POINT (-38.1631079 145.1327805)
17758176,POINT (-38.1110843 145.1799838)
17758175,POINT (-37.6897725 144.5740172)
17758161,POINT (-38.0806951 144.3573871)
17758156,POINT (-37.8152783 144.9841693)
17758153,POINT (-37.8145657 144.942277)
17758151,POINT (-38.0686613 145.2977131)
17758141,POINT (-37.85896899999999 144.986157)
17758124,POINT (-37.9241885 145.1141988)
17758114,POINT (-38.6962493 145.8154836)
17758108,POINT (-37.8207565 145.0082726)
17758107,POINT (-37.7370868 144.9392179)
17758105,POINT (-37.80568 144.9627446)
17758092,POINT (-38.088541 144.2831281)
17758068,POINT (-37.8101911 144.9566043)
17758036,POINT (-37.9642547 145.1610673)
17758035,POINT (-37.719957 144.837807)
17758028,POINT (-37.8555584 145.0396935)
17758026,POINT (-38.366444 142.5135454)
17758019,POINT (-37.8120109 144.9700015)
17758003,POINT (-37.5864451 145.0829271)
17757998,POINT (-37.8557208 144.9919889)
17757992,POINT (-37.8109899 145.0067059)
17757991,POINT (-37.762692 144.9504166)
17757979,POINT (-37.8377564 144.994697)
17757978,POINT (-37.887321 144.6627806)
17757975,POINT (-37.8381901 145.1848773)
17757956,POINT (-37.798119 144.9453308)
17757940,POINT (-38.3527444 145.1965008)
17757932,POINT (-37.805585 145.020807)
17757928,POINT (-37.7945236 145.1197416)
17757900,POINT (-37.8198176 145.0247394)
17757898,POINT (-37.5237359 144.911984)
17757895,POINT (-38.1828314 144.3859543)
17757894,POINT (-37.7843051 145.0257262)
17757887,POINT (-38.1803553 145.1210457)
17757884,POINT (-37.8139295 145.0002351)
17757877,POINT (-37.6619104 144.4260314)
17757870,POINT (-37.7687312 145.1314812)
17757862,POINT (-37.6606301 145.0395373)
17757857,POINT (-37.8022409 145.2728479)
17757855,POINT (-37.8599552 144.6622109)
17757850,POINT (-37.7000992 144.9087082)
17757840,POINT (-37.860897 144.9838823)
17757831,POINT (-37.8212293 145.1955294)
17757828,POINT (-37.8421896 144.9978583)
