property_id,coordinates
16721250,POINT (145.0282007 -37.7825251)
16721064,POINT (-37.8627862 144.9805579)
16719978,POINT (-38.0003099 145.1704185)
16719893,POINT (145.1710232 -37.8363695)
16719394,POINT (144.968708 -37.8076807)
16719055,POINT (144.9528563 -37.7985648)
16717921,POINT (-38.0558972 145.4063014)
16716108,POINT (145.2236501 -38.1579667)
16712802,POINT (-36.1467786 146.8969383)
16711136,POINT (-37.8122489 144.9621762)
16710449,POINT (145.0593771 -37.7542093)
16707445,POINT (145.1204433 -37.9365459)
16704594,POINT (-37.8093086 144.9597389)
16703908,POINT (142.9787649 -38.4849042)
16703578,POINT (144.9388631 -37.7851591)
16702803,POINT (-37.5539444 144.8661199)
16702678,POINT (145.423452 -37.214672)
16700587,POINT (146.7818981 -37.8938476)
16700502,POINT (-37.8234875 145.0356476)
16699948,POINT (-38.259102 145.1905524)
16699336,POINT (-37.7390531 145.0116153)
16696570,POINT (144.7685404 -37.6972089)
16696223,POINT (144.1787296 -38.035291)
16695596,POINT (142.9739691 -38.4829183)
16692447,POINT (145.0591366 -37.9416563)
16692289,POINT (145.0812882 -37.635182)
16691190,POINT (-37.5799792 145.1286647)
16691008,POINT (145.3690424 -37.7701607)
16688860,POINT (145.3951659 -36.4018186)
16688558,POINT (-38.0690941 145.2743458)
16688434,POINT (-37.9261121 145.1515151)
16686682,POINT (145.9593879 -36.5493898)
16686512,POINT (-38.1264017 145.3513683)
16686016,POINT (145.2829793 -38.0577308)
16682253,POINT (144.8324471 -37.7856832)
16681513,POINT (-37.8095797 144.9601204)
16681510,POINT (-37.810002 144.9588181)
16678765,POINT (-38.1269727 145.348808)
16678640,POINT (-37.7528378 145.0649879)
16678440,POINT (145.1218066 -37.8169895)
16673135,POINT (145.085996 -38.0082116)
16673050,POINT (145.0805363 -37.8884655)
16672267,POINT (-37.5851878 144.90181)
16672246,POINT (-37.8220209 144.9657901)
16671789,POINT (-37.4787018 144.9646599)
16671673,POINT (145.0937116 -37.8851011)
16669764,POINT (145.1173179 -37.9310043)
16668465,POINT (146.7878323 -37.9755439)
16668458,POINT (-37.9292557 145.0679558)
16666955,POINT (147.176325 -36.7346011)
16666119,POINT (145.3988874 -36.3831633)
16665904,POINT (145.1432029 -37.9178386)
16665873,POINT (-37.817757 145.1463207)
16664389,POINT (145.0421115 -37.9492031)
16663857,POINT (145.169833 -37.9059418)
16663200,POINT (-37.2124704 145.4169697)
16662903,POINT (-37.7143696 144.7393027)
16662816,POINT (-37.852692 145.0425548)
16661655,POINT (-37.8168235 144.9530483)
16661239,POINT (-37.8247968 145.0255221)
16658962,POINT (146.7297397 -36.5574161)
16658749,POINT (-37.814958 144.9539747)
16658530,POINT (145.274605 -38.0326807)
16658397,POINT (-37.8477995 145.1341743)
16658040,POINT (-36.8001766 144.22799)
16655511,POINT (144.98333 -37.48333)
16655490,POINT (-37.8205973 144.9424283)
16653693,POINT (-37.96867 145.170593)
16653610,POINT (146.9800529 -37.9686775)
16652801,POINT (-36.7591614 144.2673632)
16652305,POINT (-37.8177868 145.1462897)
16651211,POINT (-37.8099795 144.9509744)
16649435,POINT (147.0905909 -37.9678578)
16648991,POINT (-37.8848879 145.0067786)
16647312,POINT (-37.9133785 145.0964189)
16646791,POINT (-36.403012 145.4129402)
16641627,POINT (144.4145121 -37.6875616)
16641477,POINT (-38.103238 145.2915101)
16640291,POINT (-37.8007586 144.9550317)
16638954,POINT (-38.1470437 145.9109725)
16637229,POINT (144.960121 -37.817137)
16636968,POINT (144.953168 -37.8163)
16636845,POINT (144.96245 -37.80978)
16636441,POINT (-37.8209148 144.9418643)
16634885,POINT (144.959261 -37.811267)
16634808,POINT (143.9059503 -37.5535144)
16634613,POINT (145.2832852 -37.8779624)
16634496,POINT (-37.890146 145.0468712)
16633920,POINT (144.957419 -37.814556)
16633762,POINT (-37.7084131 144.9389134)
16633339,POINT (144.711996 -37.5814417)
16633187,POINT (-37.8037281 145.0330382)
16632840,POINT (-37.56509399999999 143.8767184)
16632442,POINT (144.9424695 -37.7873607)
16631346,POINT (144.958519 -37.803182)
16630441,POINT (144.953074 -37.815584)
16628187,POINT (141.4683511 -38.0351214)
16627396,POINT (-37.8935324 144.7120956)
16625471,POINT (-37.7193331 144.5735049)
16623665,POINT (145.9400174 -38.158745)
16623516,POINT (145.036029 -37.8172781)
16620352,POINT (146.3173893 -36.3690666)
16620011,POINT (-37.82220179999999 144.9359755)
16620000,POINT (143.7801308 -37.5393387)
16619229,POINT (144.8197688 -37.8721008)
16616631,POINT (-37.7925154 145.2822383)
16614939,POINT (-37.7377878 144.9420475)
16611046,POINT (143.9204948 -35.7350602)
16609883,POINT (-37.7840953 144.9230675)
16609198,POINT (-37.7840953 144.9230675)
16608453,POINT (-37.8303224 144.9466255)
16605757,POINT (-37.9819965 145.2026588)
16605693,POINT (-37.8005616 144.9554189)
16605072,POINT (-37.897199 145.0436662)
16604798,POINT (-37.9565908 145.1971865)
16604660,POINT (-37.6519548 145.0965757)
16604447,POINT (-37.7840953 144.9230675)
16602808,POINT (144.7644787 -37.5753451)
16602741,POINT (-38.10126270000001 145.3941115)
16601987,POINT (-37.8155523 144.9379982)
16600525,POINT (144.8827231 -37.6991516)
16598765,POINT (-37.8099795 144.9509744)
16598519,POINT (-37.9244188 145.0601333)
16597637,POINT (-37.8333865 144.9688754)
16597337,POINT (-38.1636441 144.3227727)
16597263,POINT (-37.71468230000001 144.5671514)
16597255,POINT (144.9604059 -37.8125898)
16596249,POINT (141.6422995 -36.3337015)
16596171,POINT (145.2624006 -37.8447356)
16593808,POINT (143.8847235 -37.6479916)
16593514,POINT (-38.1018667 145.3931386)
16591807,POINT (144.9467232 -37.8299687)
16591727,POINT (-38.1477111 145.9385226)
16591401,POINT (-37.8179151 144.9548451)
16591352,POINT (144.9095079 -37.8003238)
16591192,POINT (-37.81990589999999 144.6713442)
16590904,POINT (-37.8199985 144.9558061)
16590724,POINT (-37.6136294 144.9063283)
16588834,POINT (-37.8056171 144.9011098)
16588779,POINT (145.2075065 -37.9780114)
16588704,POINT (143.819151 -37.552989)
16588446,POINT (145.0154456 -37.8835644)
16587956,POINT (-37.8209148 144.9418643)
16587005,POINT (145.9498233 -38.4780868)
16586635,POINT (-36.7679493 144.2816519)
16586347,POINT (146.2955778 -38.1930025)
16585827,POINT (-37.8072076 145.0938737)
16581221,POINT (-37.8377448 144.9929162)
16579538,POINT (-37.7373216 145.0456527)
16579198,POINT (-37.7439813 145.0486486)
16579134,POINT (-37.8247866 144.7486887)
16578864,POINT (-36.5421653 145.9824971)
16575392,POINT (-37.88781609999999 144.6670604)
16574777,POINT (-37.827276 144.9590268)
16574574,POINT (-37.8142474 144.9402778)
16574176,POINT (-37.8301541 144.946391)
16572606,POINT (-37.7090044 145.0497641)
16570654,POINT (-38.359201 142.4713355)
16570491,POINT (-38.3652217 142.462112)
16570337,POINT (-37.8174166 144.9536383)
16568528,POINT (144.6596883 -37.9098373)
16567660,POINT (-37.8320373 144.8575278)
16566153,POINT (145.2013855 -37.9356921)
16566039,POINT (-36.8541431 142.3951825)
16565637,POINT (145.3124768 -38.0429735)
16565524,POINT (143.9322741 -37.5636287)
16565361,POINT (-37.804005 144.965128)
16563191,POINT (-37.51702909999999 144.9575623)
16561254,POINT (-37.79114939999999 145.1126287)
16560348,POINT (-37.58872909999999 144.8936799)
16559754,POINT (145.1914908 -38.315154)
16559492,POINT (-37.7906021 145.0936828)
16559047,POINT (-36.5552792 146.7194594)
16558821,POINT (-37.9233385 145.0593328)
16558756,POINT (-37.83924469999999 144.995215)
16558367,POINT (145.9832394 -36.5474418)
16558331,POINT (144.8592444 -37.7637248)
16558003,POINT (145.1215261 -37.8519064)
16557549,POINT (-38.3097426 144.9964651)
16557326,POINT (-37.8175602 144.9585916)
16557249,POINT (-37.8006456 144.9556249)
16556691,POINT (-36.7810735 144.2907446)
16554674,POINT (-37.8174166 144.9536383)
16552525,POINT (-37.8484143 145.1344014)
16551229,POINT (-37.7737409 144.8816532)
16548587,POINT (145.0183343 -37.8942792)
16548420,POINT (-37.8330683 145.0413267)
