suburb,postcode,2022_Q1,2022_Q2,2022_Q3,2022_Q4,2023_Q1,2023_Q2,2023_Q3,2023_Q4,2024_Q1,2024_Q2,2024_Q3,2024_Q4,2025_Q1,2025_Q2,2025_Q3,2025_Q4
Abbotsford,3067,,20220627142552.0,,,,,,,20240302162104.0,,,,20250304102144.0,,,
Acheron,3714,,,,,,,,,,20240622224755.0,,,,,,
Airport West,3042,,,,,,,,,,20240623085045.0,,,,,,
Albert Park,3206,,20220630101618.0,,,,,,,,,,,20250317152502.0,20250729215205.0,,
Alfredton,3350,,20220521145158.0,,,,,,,,20240721220014.0,,,,20250625042552.0,,
Allendale,3364,,,,,,,,,,,,,20250319134234.0,,,
Alma,3465,,,,,,,,,,,,,,,20250812100734.0,
Alphington,3078,,,,,,,,,,,,20250113124311.0,,,,
Altona,3018,,,,,,,,,,,,,20250322235621.0,20250613130829.0,20250903191010.0,
Altona North,3025,,20220630041757.0,,,,,,,,,,,,,,
Alvie,3249,,,,,,,,,20240221211014.0,,,,,,,
Apollo Bay,3233,,,,,,,,,,,,20241204095723.0,,,,
Arapiles,3409,,,,,,,,,,,,,,20250716015935.0,,
Ararat,3377,,20220522085626.0,,,,,,,,,,,20250216054904.0,,,
Arcadia,3631,,,,,,,,,20240224233253.0,,,,,,,
Arcadia South,3631,,,,,,,,,20240221052038.0,,,,,,,
Ardeer,3022,,,,,,,,,,,,20250115131419.0,,,,
Armadale,3143,,,20220809174926.0,,,,,,,,20240807004305.0,,20250307003351.0,20250717103901.0,,
Ascot,3551,,,,,,,,,,,,,,20250620215946.0,,
Ashburton,3147,,20220629224827.0,,,,,,,,,,,,,,
Ashwood,3147,,,,,,,,,,,,,,,,
Aspendale,3195,,20220627105607.0,,,,,,,,,,,,,20250819192105.0,
Aspendale Gardens,3195,,,,,,,,,,,,,,,20250822100710.0,
Avenel,3664,,,,,,,,,20240303024937.0,,,,,,,
Avondale Heights,3034,,,,,,,,,,,,,,20250519223559.0,,
Bacchus Marsh,3340,,,20220814120341.0,,,,,,,,,,,,,
Baddaginnie,3670,,,,,,,,,20240221214302.0,,,,,,,
Bairnsdale,3875,,,,,,,,,,,,,20250417205315.0,,,
Bakery Hill,3350,,,,,,,,,,,,,20250207112005.0,,,
Balaclava,3183,,20220517003546.0,,,,,,,,,,,20250418063249.0,,,
